bank_txn_id,txn_date,description,reference_number,amount,balance,status
BNK-ADV-0001,2026-08-03,NEFT CR - RAZORPAY - UTR-ADV-00012824,UTR-ADV-00012824,2639.0,1500000.0,credited
BNK-ADV-0002,2026-08-04,NEFT CR - RAZORPAY - UTR-ADV-00025506,UTR-ADV-00025506,17049.0,1500000.0,credited
BNK-ADV-0003,2026-08-05,NEFT CR - RAZORPAY - UTR-ADV-00034657,UTR-ADV-00034657,10144.0,1500000.0,credited
BNK-ADV-0004,2026-08-06,NEFT CR - RAZORPAY - UTR-ADV-00042679,UTR-ADV-00042679,45348.0,1500000.0,credited
BNK-ADV-0005,2026-08-07,NEFT CR - RAZORPAY - UTR-ADV-00059935,UTR-ADV-00059935,6697.0,1500000.0,credited
BNK-ADV-0006,2026-08-08,NEFT CR - RAZORPAY - UTR-ADV-00067912,UTR-ADV-00067912,3082.0,1500000.0,credited
BNK-ADV-0007,2026-08-09,NEFT CR - RAZORPAY - UTR-ADV-00071488,UTR-ADV-00071488,7140.0,1500000.0,credited
BNK-ADV-0008,2026-08-10,NEFT CR - RAZORPAY - UTR-ADV-00084582,UTR-ADV-00084582,16247.0,1500000.0,credited
BNK-ADV-0009,2026-08-11,NEFT CR - RAZORPAY - UTR-ADV-00099279,UTR-ADV-00099279,40453.0,1500000.0,credited
BNK-ADV-0010,2026-08-12,NEFT CR - RAZORPAY - UTR-ADV-00101434,UTR-ADV-00101434,37781.0,1500000.0,credited
BNK-ADV-0011,2026-08-13,NEFT CR - RAZORPAY - UTR-ADV-00114257,UTR-ADV-00114257,47925.0,1500000.0,credited
BNK-ADV-0012,2026-08-14,NEFT CR - RAZORPAY - UTR-ADV-00129928,UTR-ADV-00129928,28493.0,1500000.0,credited
BNK-ADV-0013,2026-08-15,NEFT CR - RAZORPAY - UTR-ADV-00134611,UTR-ADV-00134611,30439.0,1500000.0,credited
BNK-ADV-0014,2026-08-16,NEFT CR - RAZORPAY - UTR-ADV-00145557,UTR-ADV-00145557,1425.0,1500000.0,credited
BNK-ADV-0015,2026-08-02,NEFT CR - RAZORPAY - UTR-ADV-00153615,UTR-ADV-00153615,46753.0,1500000.0,credited
BNK-ADV-0016,2026-08-03,NEFT CR - RAZORPAY - UTR-ADV-00167924,UTR-ADV-00167924,23298.0,1500000.0,credited
BNK-ADV-0017,2026-08-04,NEFT CR - RAZORPAY - UTR-ADV-00175552,UTR-ADV-00175552,11189.0,1500000.0,credited
BNK-ADV-0018,2026-08-05,NEFT CR - RAZORPAY - UTR-ADV-00184527,UTR-ADV-00184527,23059.0,1500000.0,credited
BNK-ADV-0019,2026-08-06,NEFT CR - RAZORPAY - UTR-ADV-00192674,UTR-ADV-00192674,7078.0,1500000.0,credited
