invoice_id,order_id,amount,invoice_date,customer_name,status
INV-ADV-0001,ORD-ADV-0001,2639.0,2026-08-02,Enterprise Client 1,paid
INV-ADV-0002,ORD-ADV-0002,17049.0,2026-08-03,Enterprise Client 2,paid
INV-ADV-0003,ORD-ADV-0003,10144.0,2026-08-04,Enterprise Client 3,paid
INV-ADV-0004,ORD-ADV-0004,45348.0,2026-08-05,Enterprise Client 4,paid
INV-ADV-0005,ORD-ADV-0005,6697.0,2026-08-06,Enterprise Client 5,paid
INV-ADV-0006,ORD-ADV-0006,3082.0,2026-08-07,Enterprise Client 6,paid
INV-ADV-0007,ORD-ADV-0007,7140.0,2026-08-08,Enterprise Client 7,paid
INV-ADV-0008,ORD-ADV-0008,16247.0,2026-08-09,Enterprise Client 8,paid
INV-ADV-0009,ORD-ADV-0009,40453.0,2026-08-10,Enterprise Client 9,paid
INV-ADV-0010,ORD-ADV-0010,37781.0,2026-08-11,Enterprise Client 10,paid
INV-ADV-0011,ORD-ADV-0011,47925.0,2026-08-12,Enterprise Client 11,paid
INV-ADV-0012,ORD-ADV-0012,28493.0,2026-08-13,Enterprise Client 12,paid
INV-ADV-0013,ORD-ADV-0013,30439.0,2026-08-14,Enterprise Client 13,paid
INV-ADV-0014,ORD-ADV-0014,1425.0,2026-08-15,Enterprise Client 14,paid
INV-ADV-0015,ORD-ADV-0015,46753.0,2026-08-01,Enterprise Client 15,paid
INV-ADV-0016,ORD-ADV-0016,23298.0,2026-08-02,Enterprise Client 16,paid
INV-ADV-0017,ORD-ADV-0017,11189.0,2026-08-03,Enterprise Client 17,paid
INV-ADV-0018,ORD-ADV-0018,23059.0,2026-08-04,Enterprise Client 18,paid
INV-ADV-0019,ORD-ADV-0019,7078.0,2026-08-05,Enterprise Client 19,paid
INV-ADV-0020,ORD-ADV-0020,7338.0,2026-08-06,Enterprise Client 20,paid
INV-ADV-0021,ORD-ADV-0021,23541.0,2026-08-07,Enterprise Client 21,paid
INV-ADV-0022,ORD-ADV-0022,3847.0,2026-08-08,Enterprise Client 22,paid
INV-ADV-0023,ORD-ADV-0023,36142.0,2026-08-09,Enterprise Client 23,paid
INV-ADV-0024,ORD-ADV-0024,25807.0,2026-08-10,Enterprise Client 24,paid
INV-ADV-0025,ORD-ADV-0025,37178.0,2026-08-11,Enterprise Client 25,paid
INV-ADV-0026,ORD-ADV-0026,42198.0,2026-08-12,Enterprise Client 26,paid
INV-ADV-0027,ORD-ADV-0027,38837.0,2026-08-13,Enterprise Client 27,paid
INV-ADV-0028,ORD-ADV-0028,47174.0,2026-08-14,Enterprise Client 28,paid
INV-ADV-0029,ORD-ADV-0029,4003.0,2026-08-15,Enterprise Client 29,paid
INV-ADV-0030,ORD-ADV-0030,19965.0,2026-08-01,Enterprise Client 30,paid
INV-ADV-0031,ORD-ADV-0031,16256.0,2026-08-02,Enterprise Client 31,paid
INV-ADV-0032,ORD-ADV-0032,25911.0,2026-08-03,Enterprise Client 32,paid
INV-ADV-0033,ORD-ADV-0033,30714.0,2026-08-04,Enterprise Client 33,paid
INV-ADV-0034,ORD-ADV-0034,11659.0,2026-08-05,Enterprise Client 34,paid
INV-ADV-0035,ORD-ADV-0035,24283.0,2026-08-06,Enterprise Client 35,paid
INV-ADV-0036,ORD-ADV-0036,44920.0,2026-08-07,Enterprise Client 36,paid
INV-ADV-0037,ORD-ADV-0037,46994.0,2026-08-08,Enterprise Client 37,paid
INV-ADV-0038,ORD-ADV-0038,40920.0,2026-08-09,Enterprise Client 38,paid
INV-ADV-0039,ORD-ADV-0039,36005.0,2026-08-10,Enterprise Client 39,paid
INV-ADV-0040,ORD-ADV-0040,11708.0,2026-08-11,Enterprise Client 40,paid
INV-ADV-0041,ORD-ADV-0041,25867.0,2026-08-12,Enterprise Client 41,paid
INV-ADV-0042,ORD-ADV-0042,42943.0,2026-08-13,Enterprise Client 42,paid
INV-ADV-0043,ORD-ADV-0043,45866.0,2026-08-14,Enterprise Client 43,paid
INV-ADV-0044,ORD-ADV-0044,4665.0,2026-08-15,Enterprise Client 44,paid
INV-ADV-0045,ORD-ADV-0045,3103.0,2026-08-01,Enterprise Client 45,paid
INV-ADV-0046,ORD-ADV-0046,27290.0,2026-08-02,Enterprise Client 46,paid
INV-ADV-0047,ORD-ADV-0047,5337.0,2026-08-03,Enterprise Client 47,paid
INV-ADV-0048,ORD-ADV-0048,38170.0,2026-08-04,Enterprise Client 48,paid
INV-ADV-0049,ORD-ADV-0049,14934.0,2026-08-05,Enterprise Client 49,paid
INV-ADV-0050,ORD-ADV-0050,26928.0,2026-08-06,Enterprise Client 50,paid
INV-ADV-0051,ORD-ADV-0051,10363.0,2026-08-07,Enterprise Client 51,paid
INV-ADV-0052,ORD-ADV-0052,10150.0,2026-08-08,Enterprise Client 52,paid
INV-ADV-0053,ORD-ADV-0053,49823.0,2026-08-09,Enterprise Client 53,paid
INV-ADV-0054,ORD-ADV-0054,18219.0,2026-08-10,Enterprise Client 54,paid
INV-ADV-0055,ORD-ADV-0055,39242.0,2026-08-11,Enterprise Client 55,paid
INV-ADV-0056,ORD-ADV-0056,24723.0,2026-08-12,Enterprise Client 56,paid
INV-ADV-0057,ORD-ADV-0057,10065.0,2026-08-13,Enterprise Client 57,paid
INV-ADV-0058,ORD-ADV-0058,33343.0,2026-08-14,Enterprise Client 58,paid
INV-ADV-0059,ORD-ADV-0059,4087.0,2026-08-15,Enterprise Client 59,paid
INV-ADV-0060,ORD-ADV-0060,11016.0,2026-08-01,Enterprise Client 60,paid
INV-ADV-0061,ORD-ADV-0061,45596.0,2026-08-02,Retail Buyer 61,paid
INV-ADV-0062,ORD-ADV-0062,40086.0,2026-08-03,Retail Buyer 62,paid
INV-ADV-0063,ORD-ADV-0063,26216.0,2026-08-04,Retail Buyer 63,paid
INV-ADV-0064,ORD-ADV-0064,40052.0,2026-08-05,Retail Buyer 64,paid
INV-ADV-0065,ORD-ADV-0065,35676.0,2026-08-06,Retail Buyer 65,paid
INV-ADV-0066,ORD-ADV-0066,37256.0,2026-08-07,Retail Buyer 66,paid
INV-ADV-0067,ORD-ADV-0067,45583.0,2026-08-08,Retail Buyer 67,paid
INV-ADV-0068,ORD-ADV-0068,45676.0,2026-08-09,Retail Buyer 68,paid
INV-ADV-0069,ORD-ADV-0069,18486.0,2026-08-10,Retail Buyer 69,paid
INV-ADV-0070,ORD-ADV-0070,8310.0,2026-08-11,Retail Buyer 70,paid
INV-ADV-0071,ORD-ADV-0071,29492.0,2026-08-12,Retail Buyer 71,paid
INV-ADV-0072,ORD-ADV-0072,30735.0,2026-08-13,Retail Buyer 72,paid
INV-ADV-0073,ORD-ADV-0073,48323.0,2026-08-14,Retail Buyer 73,paid
INV-ADV-0074,ORD-ADV-0074,33806.0,2026-08-15,Retail Buyer 74,paid
INV-ADV-0075,ORD-ADV-0075,34271.0,2026-08-01,Retail Buyer 75,paid
