settlement_id,order_id,amount,settlement_date,reference_number,status,fees,gst,tds
SET-ADV-0001,ORD-ADV-0001,2639.0,2026-08-03,UTR-ADV-00012824,settled,0.0,0.0,0.0
SET-ADV-0002,ORD-ADV-0002,17049.0,2026-08-04,UTR-ADV-00025506,settled,0.0,0.0,0.0
SET-ADV-0003,ORD-ADV-0003,10144.0,2026-08-05,UTR-ADV-00034657,settled,0.0,0.0,0.0
SET-ADV-0004,ORD-ADV-0004,45348.0,2026-08-06,UTR-ADV-00042679,settled,0.0,0.0,0.0
SET-ADV-0005,ORD-ADV-0005,6697.0,2026-08-07,UTR-ADV-00059935,settled,0.0,0.0,0.0
SET-ADV-0006,ORD-ADV-0006,3082.0,2026-08-08,UTR-ADV-00067912,settled,0.0,0.0,0.0
SET-ADV-0007,ORD-ADV-0007,7140.0,2026-08-09,UTR-ADV-00071488,settled,0.0,0.0,0.0
SET-ADV-0008,ORD-ADV-0008,16247.0,2026-08-10,UTR-ADV-00084582,settled,0.0,0.0,0.0
SET-ADV-0009,ORD-ADV-0009,40453.0,2026-08-11,UTR-ADV-00099279,settled,0.0,0.0,0.0
SET-ADV-0010,ORD-ADV-0010,37781.0,2026-08-12,UTR-ADV-00101434,settled,0.0,0.0,0.0
SET-ADV-0011,ORD-ADV-0011,47925.0,2026-08-13,UTR-ADV-00114257,settled,0.0,0.0,0.0
SET-ADV-0012,ORD-ADV-0012,28493.0,2026-08-14,UTR-ADV-00129928,settled,0.0,0.0,0.0
SET-ADV-0013,ORD-ADV-0013,30439.0,2026-08-15,UTR-ADV-00134611,settled,0.0,0.0,0.0
SET-ADV-0014,ORD-ADV-0014,1425.0,2026-08-16,UTR-ADV-00145557,settled,0.0,0.0,0.0
SET-ADV-0015,ORD-ADV-0015,46753.0,2026-08-02,UTR-ADV-00153615,settled,0.0,0.0,0.0
SET-ADV-0016,ORD-ADV-0016,23298.0,2026-08-03,UTR-ADV-00167924,settled,0.0,0.0,0.0
SET-ADV-0017,ORD-ADV-0017,11189.0,2026-08-04,UTR-ADV-00175552,settled,0.0,0.0,0.0
SET-ADV-0018,ORD-ADV-0018,23059.0,2026-08-05,UTR-ADV-00184527,settled,0.0,0.0,0.0
SET-ADV-0019,ORD-ADV-0019,7078.0,2026-08-06,UTR-ADV-00192674,settled,0.0,0.0,0.0
SET-ADV-0020,ORD-ADV-0020,7338.0,2026-08-07,UTR-ADV-00207224,settled,0.0,0.0,0.0
SET-ADV-0021,ORD-ADV-0021,23541.0,2026-08-08,UTR-ADV-00216881,settled,0.0,0.0,0.0
SET-ADV-0022,ORD-ADV-0022,3847.0,2026-08-09,UTR-ADV-00225333,settled,0.0,0.0,0.0
SET-ADV-0023,ORD-ADV-0023,36142.0,2026-08-10,UTR-ADV-00238527,settled,0.0,0.0,0.0
SET-ADV-0024,ORD-ADV-0024,25807.0,2026-08-11,UTR-ADV-00243045,settled,0.0,0.0,0.0
SET-ADV-0025,ORD-ADV-0025,37178.0,2026-08-12,UTR-ADV-00252291,settled,0.0,0.0,0.0
SET-ADV-0026,ORD-ADV-0026,42198.0,2026-08-13,UTR-ADV-00265803,settled,0.0,0.0,0.0
SET-ADV-0027,ORD-ADV-0027,38837.0,2026-08-14,UTR-ADV-00276925,settled,0.0,0.0,0.0
SET-ADV-0028,ORD-ADV-0028,47174.0,2026-08-15,UTR-ADV-00284150,settled,0.0,0.0,0.0
SET-ADV-0029,ORD-ADV-0029,4003.0,2026-08-16,UTR-ADV-00292139,settled,0.0,0.0,0.0
