bank_txn_id,txn_date,description,reference_number,amount,balance,status
BNK-0001,2026-08-02,ACH CR RAZORPAY SETTLEMENT UTR202608000001,UTR202608000001,1000.00,501000.00,credited
BNK-0002,2026-08-03,ACH CR RAZORPAY SETTLEMENT UTR202608000002,UTR202608000002,1125.50,502125.50,credited
BNK-0003,2026-08-04,ACH CR RAZORPAY SETTLEMENT UTR202608000003,UTR202608000003,1251.00,503376.50,credited
BNK-0004,2026-08-05,ACH CR RAZORPAY SETTLEMENT UTR202608000004,UTR202608000004,1376.50,504753.00,credited
BNK-0005,2026-08-06,ACH CR RAZORPAY SETTLEMENT UTR202608000005,UTR202608000005,1502.00,506255.00,credited
BNK-0006,2026-08-07,ACH CR RAZORPAY SETTLEMENT UTR202608000006,UTR202608000006,1627.50,507882.50,credited
BNK-0007,2026-08-08,ACH CR RAZORPAY SETTLEMENT UTR202608000007,UTR202608000007,1753.00,509635.50,credited
BNK-0008,2026-08-09,ACH CR RAZORPAY SETTLEMENT UTR202608000008,UTR202608000008,1878.50,511514.00,credited
BNK-0009,2026-08-10,ACH CR RAZORPAY SETTLEMENT UTR202608000009,UTR202608000009,2004.00,513518.00,credited
BNK-0010,2026-08-11,ACH CR RAZORPAY SETTLEMENT UTR202608000010,UTR202608000010,2129.50,515647.50,credited
BNK-0011,2026-08-12,ACH CR RAZORPAY SETTLEMENT UTR202608000011,UTR202608000011,2255.00,517902.50,credited
BNK-0012,2026-08-13,ACH CR RAZORPAY SETTLEMENT UTR202608000012,UTR202608000012,2380.50,520283.00,credited
BNK-0013,2026-08-14,ACH CR RAZORPAY SETTLEMENT UTR202608000013,UTR202608000013,2506.00,522789.00,credited
BNK-0014,2026-08-15,ACH CR RAZORPAY SETTLEMENT UTR202608000014,UTR202608000014,2631.50,525420.50,credited
BNK-0015,2026-08-16,ACH CR RAZORPAY SETTLEMENT UTR202608000015,UTR202608000015,2757.00,528177.50,credited
BNK-0016,2026-08-02,ACH CR RAZORPAY SETTLEMENT UTR202608000016,UTR202608000016,2882.50,531060.00,credited
BNK-0017,2026-08-03,ACH CR RAZORPAY SETTLEMENT UTR202608000017,UTR202608000017,3008.00,534068.00,credited
