scenario_id,category,expected_resolution,expected_rule,order_id,invoice_id,settlement_id,bank_txn_id,reference_number,invoice_amount,settlement_amount,bank_amount,explanation,likely_reason,evidence_field,difference_amount,exception_category
SCENARIO-0001,exact_match,rule,exact_order_id,ORD-2026-EX-0001,INV-0001,SET-0001,BNK-0001,UTR202608000001,1000.00,1000.00,1000.00,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0002,exact_match,rule,exact_order_id,ORD-2026-EX-0002,INV-0002,SET-0002,BNK-0002,UTR202608000002,1125.50,1125.50,1125.50,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0003,exact_match,rule,exact_order_id,ORD-2026-EX-0003,INV-0003,SET-0003,BNK-0003,UTR202608000003,1251.00,1251.00,1251.00,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0004,exact_match,rule,exact_order_id,ORD-2026-EX-0004,INV-0004,SET-0004,BNK-0004,UTR202608000004,1376.50,1376.50,1376.50,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0005,exact_match,rule,exact_order_id,ORD-2026-EX-0005,INV-0005,SET-0005,BNK-0005,UTR202608000005,1502.00,1502.00,1502.00,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0006,exact_match,rule,exact_order_id,ORD-2026-EX-0006,INV-0006,SET-0006,BNK-0006,UTR202608000006,1627.50,1627.50,1627.50,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0007,exact_match,rule,exact_order_id,ORD-2026-EX-0007,INV-0007,SET-0007,BNK-0007,UTR202608000007,1753.00,1753.00,1753.00,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0008,exact_match,rule,exact_order_id,ORD-2026-EX-0008,INV-0008,SET-0008,BNK-0008,UTR202608000008,1878.50,1878.50,1878.50,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0009,exact_match,rule,exact_order_id,ORD-2026-EX-0009,INV-0009,SET-0009,BNK-0009,UTR202608000009,2004.00,2004.00,2004.00,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0010,exact_match,rule,exact_order_id,ORD-2026-EX-0010,INV-0010,SET-0010,BNK-0010,UTR202608000010,2129.50,2129.50,2129.50,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0011,exact_match,rule,exact_order_id,ORD-2026-EX-0011,INV-0011,SET-0011,BNK-0011,UTR202608000011,2255.00,2255.00,2255.00,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0012,exact_match,rule,exact_order_id,ORD-2026-EX-0012,INV-0012,SET-0012,BNK-0012,UTR202608000012,2380.50,2380.50,2380.50,"Exact match across order ID, UTR, and amount.",,,,
SCENARIO-0013,exact_match,rule,exact_order_id,ORD-2026-EX-0013,INV-0013,SET-0013,BNK-0013,UTR202608000013,2506.00,2506.00,2506.00,"Exact match across order ID, UTR, and amount.",,,,
