entry_ref,booking_date,memo_text,cheque_or_utr,amount,available_funds,status
BNK-EDUC-00001,03-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000001,UTREDUC2026080000001,"₹ 3,500.00","₹ 5,003,500.00",credited
BNK-EDUC-00002,04-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000002,UTREDUC2026080000002,"₹ 5,965.00","₹ 5,009,465.00",credited
BNK-EDUC-00003,05-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000003,UTREDUC2026080000003,"₹ 8,430.00","₹ 5,017,895.00",credited
BNK-EDUC-00004,06-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000004,UTREDUC2026080000004,"₹ 10,895.00","₹ 5,028,790.00",credited
BNK-EDUC-00005,07-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000005,UTREDUC2026080000005,"₹ 13,360.00","₹ 5,042,150.00",credited
BNK-EDUC-00006,08-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000006,UTREDUC2026080000006,"₹ 15,825.00","₹ 5,057,975.00",credited
BNK-EDUC-00007,09-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000007,UTREDUC2026080000007,"₹ 18,290.00","₹ 5,076,265.00",credited
BNK-EDUC-00008,10-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000008,UTREDUC2026080000008,"₹ 20,755.00","₹ 5,097,020.00",credited
BNK-EDUC-00009,11-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000009,UTREDUC2026080000009,"₹ 23,220.00","₹ 5,120,240.00",credited
BNK-EDUC-00010,12-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000010,UTREDUC2026080000010,"₹ 25,685.00","₹ 5,145,925.00",credited
BNK-EDUC-00011,13-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000011,UTREDUC2026080000011,"₹ 28,150.00","₹ 5,174,075.00",credited
BNK-EDUC-00012,14-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000012,UTREDUC2026080000012,"₹ 30,615.00","₹ 5,204,690.00",credited
BNK-EDUC-00013,15-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000013,UTREDUC2026080000013,"₹ 33,080.00","₹ 5,237,770.00",credited
BNK-EDUC-00014,16-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000014,UTREDUC2026080000014,"₹ 35,545.00","₹ 5,273,315.00",credited
BNK-EDUC-00015,17-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000015,UTREDUC2026080000015,"₹ 38,010.00","₹ 5,311,325.00",credited
BNK-EDUC-00016,18-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000016,UTREDUC2026080000016,"₹ 40,475.00","₹ 5,351,800.00",credited
BNK-EDUC-00017,19-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000017,UTREDUC2026080000017,"₹ 42,940.00","₹ 5,394,740.00",credited
BNK-EDUC-00018,20-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000018,UTREDUC2026080000018,"₹ 45,405.00","₹ 5,440,145.00",credited
BNK-EDUC-00019,21-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000019,UTREDUC2026080000019,"₹ 47,870.00","₹ 5,488,015.00",credited
BNK-EDUC-00020,22-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000020,UTREDUC2026080000020,"₹ 50,335.00","₹ 5,538,350.00",credited
BNK-EDUC-00021,23-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000021,UTREDUC2026080000021,"₹ 52,800.00","₹ 5,591,150.00",credited
BNK-EDUC-00022,24-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000022,UTREDUC2026080000022,"₹ 55,265.00","₹ 5,646,415.00",credited
BNK-EDUC-00023,25-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000023,UTREDUC2026080000023,"₹ 57,730.00","₹ 5,704,145.00",credited
BNK-EDUC-00024,26-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000024,UTREDUC2026080000024,"₹ 60,195.00","₹ 5,764,340.00",credited
BNK-EDUC-00025,27-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000025,UTREDUC2026080000025,"₹ 62,660.00","₹ 5,827,000.00",credited
BNK-EDUC-00026,03-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000026,UTREDUC2026080000026,"₹ 65,125.00","₹ 5,892,125.00",credited
BNK-EDUC-00027,04-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000027,UTREDUC2026080000027,"₹ 67,590.00","₹ 5,959,715.00",credited
BNK-EDUC-00028,05-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000028,UTREDUC2026080000028,"₹ 70,055.00","₹ 6,029,770.00",credited
BNK-EDUC-00029,06-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000029,UTREDUC2026080000029,"₹ 72,520.00","₹ 6,102,290.00",credited
BNK-EDUC-00030,07-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000030,UTREDUC2026080000030,"₹ 74,985.00","₹ 6,177,275.00",credited
BNK-EDUC-00031,08-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000031,UTREDUC2026080000031,"₹ 77,450.00","₹ 6,254,725.00",credited
BNK-EDUC-00032,09-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000032,UTREDUC2026080000032,"₹ 79,915.00","₹ 6,334,640.00",credited
BNK-EDUC-00033,10-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000033,UTREDUC2026080000033,"₹ 82,380.00","₹ 6,417,020.00",credited
BNK-EDUC-00034,11-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000034,UTREDUC2026080000034,"₹ 84,845.00","₹ 6,501,865.00",credited
BNK-EDUC-00035,12-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000035,UTREDUC2026080000035,"₹ 87,310.00","₹ 6,589,175.00",credited
BNK-EDUC-00036,13-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000036,UTREDUC2026080000036,"₹ 89,775.00","₹ 6,678,950.00",credited
BNK-EDUC-00037,14-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000037,UTREDUC2026080000037,"₹ 92,240.00","₹ 6,771,190.00",credited
BNK-EDUC-00038,15-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000038,UTREDUC2026080000038,"₹ 94,705.00","₹ 6,865,895.00",credited
BNK-EDUC-00039,16-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000039,UTREDUC2026080000039,"₹ 97,170.00","₹ 6,963,065.00",credited
BNK-EDUC-00040,17-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000040,UTREDUC2026080000040,"₹ 99,635.00","₹ 7,062,700.00",credited
BNK-EDUC-00041,18-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000041,UTREDUC2026080000041,"₹ 102,100.00","₹ 7,164,800.00",credited
BNK-EDUC-00042,19-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000042,UTREDUC2026080000042,"₹ 104,565.00","₹ 7,269,365.00",credited
BNK-EDUC-00043,20-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000043,UTREDUC2026080000043,"₹ 107,030.00","₹ 7,376,395.00",credited
BNK-EDUC-00044,21-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000044,UTREDUC2026080000044,"₹ 109,495.00","₹ 7,485,890.00",credited
BNK-EDUC-00045,22-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000045,UTREDUC2026080000045,"₹ 111,960.00","₹ 7,597,850.00",credited
BNK-EDUC-00046,23-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000046,UTREDUC2026080000046,"₹ 114,425.00","₹ 7,712,275.00",credited
BNK-EDUC-00047,24-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000047,UTREDUC2026080000047,"₹ 116,890.00","₹ 7,829,165.00",credited
BNK-EDUC-00048,25-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000048,UTREDUC2026080000048,"₹ 119,355.00","₹ 7,948,520.00",credited
BNK-EDUC-00049,26-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000049,UTREDUC2026080000049,"₹ 121,820.00","₹ 8,070,340.00",credited
BNK-EDUC-00050,27-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000050,UTREDUC2026080000050,"₹ 124,285.00","₹ 8,194,625.00",credited
BNK-EDUC-00051,03-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000051,UTREDUC2026080000051,"₹ 126,750.00","₹ 8,321,375.00",credited
BNK-EDUC-00052,04-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000052,UTREDUC2026080000052,"₹ 129,215.00","₹ 8,450,590.00",credited
BNK-EDUC-00053,05-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000053,UTREDUC2026080000053,"₹ 131,680.00","₹ 8,582,270.00",credited
BNK-EDUC-00054,06-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000054,UTREDUC2026080000054,"₹ 134,145.00","₹ 8,716,415.00",credited
BNK-EDUC-00055,07-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000055,UTREDUC2026080000055,"₹ 136,610.00","₹ 8,853,025.00",credited
BNK-EDUC-00056,08-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000056,UTREDUC2026080000056,"₹ 139,075.00","₹ 8,992,100.00",credited
BNK-EDUC-00057,09-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000057,UTREDUC2026080000057,"₹ 141,540.00","₹ 9,133,640.00",credited
BNK-EDUC-00058,10-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000058,UTREDUC2026080000058,"₹ 144,005.00","₹ 9,277,645.00",credited
BNK-EDUC-00059,11-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000059,UTREDUC2026080000059,"₹ 146,470.00","₹ 9,424,115.00",credited
BNK-EDUC-00060,12-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000060,UTREDUC2026080000060,"₹ 148,935.00","₹ 9,573,050.00",credited
BNK-EDUC-00061,13-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000061,UTREDUC2026080000061,"₹ 151,400.00","₹ 9,724,450.00",credited
BNK-EDUC-00062,14-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTREDUC2026080000062,UTREDUC2026080000062,"₹ 153,865.00","₹ 9,878,315.00",credited
