scenario_id,merchant_type,category,expected_resolution,expected_rule,order_id,invoice_id,settlement_id,bank_txn_id,reference_number,invoice_amount,settlement_amount,bank_amount,explanation,likely_reason,exception_category
SCENARIO-EDUC-00001,education,exact_match,rule,exact_order_id,ORD-EDUC-EX-00001,INV-EDUC-00001,SET-EDUC-00001,BNK-EDUC-00001,UTREDUC2026080000001,3500.00,3500.00,3500.00,"Exact match across order ID, UTR, and amount for ZenithEd Global Learning Academy.",,
SCENARIO-EDUC-00002,education,exact_match,rule,exact_order_id,ORD-EDUC-EX-00002,INV-EDUC-00002,SET-EDUC-00002,BNK-EDUC-00002,UTREDUC2026080000002,5965.00,5965.00,5965.00,"Exact match across order ID, UTR, and amount for ZenithEd Global Learning Academy.",,
SCENARIO-EDUC-00003,education,exact_match,rule,exact_order_id,ORD-EDUC-EX-00003,INV-EDUC-00003,SET-EDUC-00003,BNK-EDUC-00003,UTREDUC2026080000003,8430.00,8430.00,8430.00,"Exact match across order ID, UTR, and amount for ZenithEd Global Learning Academy.",,
SCENARIO-EDUC-00004,education,exact_match,rule,exact_order_id,ORD-EDUC-EX-00004,INV-EDUC-00004,SET-EDUC-00004,BNK-EDUC-00004,UTREDUC2026080000004,10895.00,10895.00,10895.00,"Exact match across order ID, UTR, and amount for ZenithEd Global Learning Academy.",,
SCENARIO-EDUC-00005,education,exact_match,rule,exact_order_id,ORD-EDUC-EX-00005,INV-EDUC-00005,SET-EDUC-00005,BNK-EDUC-00005,UTREDUC2026080000005,13360.00,13360.00,13360.00,"Exact match across order ID, UTR, and amount for ZenithEd Global Learning Academy.",,
SCENARIO-EDUC-00006,education,exact_match,rule,exact_order_id,ORD-EDUC-EX-00006,INV-EDUC-00006,SET-EDUC-00006,BNK-EDUC-00006,UTREDUC2026080000006,15825.00,15825.00,15825.00,"Exact match across order ID, UTR, and amount for ZenithEd Global Learning Academy.",,
SCENARIO-EDUC-00007,education,exact_match,rule,exact_order_id,ORD-EDUC-EX-00007,INV-EDUC-00007,SET-EDUC-00007,BNK-EDUC-00007,UTREDUC2026080000007,18290.00,18290.00,18290.00,"Exact match across order ID, UTR, and amount for ZenithEd Global Learning Academy.",,
SCENARIO-EDUC-00008,education,exact_match,rule,exact_order_id,ORD-EDUC-EX-00008,INV-EDUC-00008,SET-EDUC-00008,BNK-EDUC-00008,UTREDUC2026080000008,20755.00,20755.00,20755.00,"Exact match across order ID, UTR, and amount for ZenithEd Global Learning Academy.",,
SCENARIO-EDUC-00009,education,exact_match,rule,exact_order_id,ORD-EDUC-EX-00009,INV-EDUC-00009,SET-EDUC-00009,BNK-EDUC-00009,UTREDUC2026080000009,23220.00,23220.00,23220.00,"Exact match across order ID, UTR, and amount for ZenithEd Global Learning Academy.",,
SCENARIO-EDUC-00010,education,exact_match,rule,exact_order_id,ORD-EDUC-EX-00010,INV-EDUC-00010,SET-EDUC-00010,BNK-EDUC-00010,UTREDUC2026080000010,25685.00,25685.00,25685.00,"Exact match across order ID, UTR, and amount for ZenithEd Global Learning Academy.",,
