disbursement_no,enrollment_id,settlement_amount,credit_date,cheque_or_utr,status,bank_subvention_fee,tax_on_fee,tds
SET-EDUC-00001,ORD-EDUC-EX-00001,"₹ 3,500.00",03-Aug-2026,UTREDUC2026080000001,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00002,ORD-EDUC-EX-00002,"₹ 5,965.00",04-Aug-2026,UTREDUC2026080000002,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00003,ORD-EDUC-EX-00003,"₹ 8,430.00",05-Aug-2026,UTREDUC2026080000003,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00004,ORD-EDUC-EX-00004,"₹ 10,895.00",06-Aug-2026,UTREDUC2026080000004,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00005,ORD-EDUC-EX-00005,"₹ 13,360.00",07-Aug-2026,UTREDUC2026080000005,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00006,ORD-EDUC-EX-00006,"₹ 15,825.00",08-Aug-2026,UTREDUC2026080000006,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00007,ORD-EDUC-EX-00007,"₹ 18,290.00",09-Aug-2026,UTREDUC2026080000007,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00008,ORD-EDUC-EX-00008,"₹ 20,755.00",10-Aug-2026,UTREDUC2026080000008,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00009,ORD-EDUC-EX-00009,"₹ 23,220.00",11-Aug-2026,UTREDUC2026080000009,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00010,ORD-EDUC-EX-00010,"₹ 25,685.00",12-Aug-2026,UTREDUC2026080000010,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00011,ORD-EDUC-EX-00011,"₹ 28,150.00",13-Aug-2026,UTREDUC2026080000011,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00012,ORD-EDUC-EX-00012,"₹ 30,615.00",14-Aug-2026,UTREDUC2026080000012,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00013,ORD-EDUC-EX-00013,"₹ 33,080.00",15-Aug-2026,UTREDUC2026080000013,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00014,ORD-EDUC-EX-00014,"₹ 35,545.00",16-Aug-2026,UTREDUC2026080000014,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00015,ORD-EDUC-EX-00015,"₹ 38,010.00",17-Aug-2026,UTREDUC2026080000015,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00016,ORD-EDUC-EX-00016,"₹ 40,475.00",18-Aug-2026,UTREDUC2026080000016,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00017,ORD-EDUC-EX-00017,"₹ 42,940.00",19-Aug-2026,UTREDUC2026080000017,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00018,ORD-EDUC-EX-00018,"₹ 45,405.00",20-Aug-2026,UTREDUC2026080000018,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00019,ORD-EDUC-EX-00019,"₹ 47,870.00",21-Aug-2026,UTREDUC2026080000019,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00020,ORD-EDUC-EX-00020,"₹ 50,335.00",22-Aug-2026,UTREDUC2026080000020,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00021,ORD-EDUC-EX-00021,"₹ 52,800.00",23-Aug-2026,UTREDUC2026080000021,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00022,ORD-EDUC-EX-00022,"₹ 55,265.00",24-Aug-2026,UTREDUC2026080000022,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00023,ORD-EDUC-EX-00023,"₹ 57,730.00",25-Aug-2026,UTREDUC2026080000023,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00024,ORD-EDUC-EX-00024,"₹ 60,195.00",26-Aug-2026,UTREDUC2026080000024,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00025,ORD-EDUC-EX-00025,"₹ 62,660.00",27-Aug-2026,UTREDUC2026080000025,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00026,ORD-EDUC-EX-00026,"₹ 65,125.00",03-Aug-2026,UTREDUC2026080000026,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00027,ORD-EDUC-EX-00027,"₹ 67,590.00",04-Aug-2026,UTREDUC2026080000027,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00028,ORD-EDUC-EX-00028,"₹ 70,055.00",05-Aug-2026,UTREDUC2026080000028,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00029,ORD-EDUC-EX-00029,"₹ 72,520.00",06-Aug-2026,UTREDUC2026080000029,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00030,ORD-EDUC-EX-00030,"₹ 74,985.00",07-Aug-2026,UTREDUC2026080000030,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00031,ORD-EDUC-EX-00031,"₹ 77,450.00",08-Aug-2026,UTREDUC2026080000031,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00032,ORD-EDUC-EX-00032,"₹ 79,915.00",09-Aug-2026,UTREDUC2026080000032,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00033,ORD-EDUC-EX-00033,"₹ 82,380.00",10-Aug-2026,UTREDUC2026080000033,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00034,ORD-EDUC-EX-00034,"₹ 84,845.00",11-Aug-2026,UTREDUC2026080000034,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00035,ORD-EDUC-EX-00035,"₹ 87,310.00",12-Aug-2026,UTREDUC2026080000035,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00036,ORD-EDUC-EX-00036,"₹ 89,775.00",13-Aug-2026,UTREDUC2026080000036,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00037,ORD-EDUC-EX-00037,"₹ 92,240.00",14-Aug-2026,UTREDUC2026080000037,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00038,ORD-EDUC-EX-00038,"₹ 94,705.00",15-Aug-2026,UTREDUC2026080000038,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00039,ORD-EDUC-EX-00039,"₹ 97,170.00",16-Aug-2026,UTREDUC2026080000039,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00040,ORD-EDUC-EX-00040,"₹ 99,635.00",17-Aug-2026,UTREDUC2026080000040,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-EDUC-00041,ORD-EDUC-EX-00041,"₹ 102,100.00",18-Aug-2026,UTREDUC2026080000041,settled,₹ 0.00,₹ 0.00,₹ 0.00
