line_id,booking_date,description,payment_reference,amount,ledger_balance,status
BNK-ENTE-00001,2026/08/05,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000001,UTRENTE2026080000001,"₹ 15,000.00","₹ 5,015,000.00",credited
BNK-ENTE-00002,2026/08/06,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000002,UTRENTE2026080000002,"₹ 23,350.00","₹ 5,038,350.00",credited
BNK-ENTE-00003,2026/08/07,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000003,UTRENTE2026080000003,"₹ 31,700.00","₹ 5,070,050.00",credited
BNK-ENTE-00004,2026/08/08,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000004,UTRENTE2026080000004,"₹ 40,050.00","₹ 5,110,100.00",credited
BNK-ENTE-00005,2026/08/09,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000005,UTRENTE2026080000005,"₹ 48,400.00","₹ 5,158,500.00",credited
BNK-ENTE-00006,2026/08/10,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000006,UTRENTE2026080000006,"₹ 56,750.00","₹ 5,215,250.00",credited
BNK-ENTE-00007,2026/08/11,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000007,UTRENTE2026080000007,"₹ 65,100.00","₹ 5,280,350.00",credited
BNK-ENTE-00008,2026/08/12,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000008,UTRENTE2026080000008,"₹ 73,450.00","₹ 5,353,800.00",credited
BNK-ENTE-00009,2026/08/13,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000009,UTRENTE2026080000009,"₹ 81,800.00","₹ 5,435,600.00",credited
BNK-ENTE-00010,2026/08/14,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000010,UTRENTE2026080000010,"₹ 90,150.00","₹ 5,525,750.00",credited
BNK-ENTE-00011,2026/08/15,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000011,UTRENTE2026080000011,"₹ 98,500.00","₹ 5,624,250.00",credited
BNK-ENTE-00012,2026/08/16,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000012,UTRENTE2026080000012,"₹ 106,850.00","₹ 5,731,100.00",credited
BNK-ENTE-00013,2026/08/17,ACH CR RAZORPAY SETTLEMENT UTRENTE2026080000013,UTRENTE2026080000013,"₹ 115,200.00","₹ 5,846,300.00",credited
