document_number,po_number,total_invoice_val,created_at,client_entity_name,status
INV-ENTE-00001,ORD-ENTE-EX-00001,"₹ 15,000.00",2026/08/01,Client_ENTE_1,paid
INV-ENTE-00002,ORD-ENTE-EX-00002,"₹ 23,350.00",2026/08/02,Client_ENTE_2,paid
INV-ENTE-00003,ORD-ENTE-EX-00003,"₹ 31,700.00",2026/08/03,Client_ENTE_3,paid
INV-ENTE-00004,ORD-ENTE-EX-00004,"₹ 40,050.00",2026/08/04,Client_ENTE_4,paid
INV-ENTE-00005,ORD-ENTE-EX-00005,"₹ 48,400.00",2026/08/05,Client_ENTE_5,paid
INV-ENTE-00006,ORD-ENTE-EX-00006,"₹ 56,750.00",2026/08/06,Client_ENTE_6,paid
INV-ENTE-00007,ORD-ENTE-EX-00007,"₹ 65,100.00",2026/08/07,Client_ENTE_7,paid
INV-ENTE-00008,ORD-ENTE-EX-00008,"₹ 73,450.00",2026/08/08,Client_ENTE_8,paid
INV-ENTE-00009,ORD-ENTE-EX-00009,"₹ 81,800.00",2026/08/09,Client_ENTE_9,paid
INV-ENTE-00010,ORD-ENTE-EX-00010,"₹ 90,150.00",2026/08/10,Client_ENTE_10,paid
INV-ENTE-00011,ORD-ENTE-EX-00011,"₹ 98,500.00",2026/08/11,Client_ENTE_11,paid
INV-ENTE-00012,ORD-ENTE-EX-00012,"₹ 106,850.00",2026/08/12,Client_ENTE_12,paid
INV-ENTE-00013,ORD-ENTE-EX-00013,"₹ 115,200.00",2026/08/13,Client_ENTE_13,paid
INV-ENTE-00014,ORD-ENTE-EX-00014,"₹ 123,550.00",2026/08/14,Client_ENTE_14,paid
INV-ENTE-00015,ORD-ENTE-EX-00015,"₹ 131,900.00",2026/08/15,Client_ENTE_15,paid
INV-ENTE-00016,ORD-ENTE-EX-00016,"₹ 140,250.00",2026/08/16,Client_ENTE_16,paid
INV-ENTE-00017,ORD-ENTE-EX-00017,"₹ 148,600.00",2026/08/17,Client_ENTE_17,paid
INV-ENTE-00018,ORD-ENTE-EX-00018,"₹ 156,950.00",2026/08/18,Client_ENTE_18,paid
INV-ENTE-00019,ORD-ENTE-EX-00019,"₹ 165,300.00",2026/08/19,Client_ENTE_19,paid
INV-ENTE-00020,ORD-ENTE-EX-00020,"₹ 173,650.00",2026/08/20,Client_ENTE_20,paid
INV-ENTE-00021,ORD-ENTE-EX-00021,"₹ 182,000.00",2026/08/21,Client_ENTE_21,paid
INV-ENTE-00022,ORD-ENTE-EX-00022,"₹ 190,350.00",2026/08/22,Client_ENTE_22,paid
INV-ENTE-00023,ORD-ENTE-EX-00023,"₹ 198,700.00",2026/08/23,Client_ENTE_23,paid
INV-ENTE-00024,ORD-ENTE-EX-00024,"₹ 207,050.00",2026/08/24,Client_ENTE_24,paid
