batch_id,po_number,net_amount,value_date,payment_reference,status,charges,tax,tds_amount
SET-ENTE-00001,ORD-ENTE-EX-00001,"₹ 15,000.00",2026/08/05,UTRENTE2026080000001,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00002,ORD-ENTE-EX-00002,"₹ 23,350.00",2026/08/06,UTRENTE2026080000002,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00003,ORD-ENTE-EX-00003,"₹ 31,700.00",2026/08/07,UTRENTE2026080000003,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00004,ORD-ENTE-EX-00004,"₹ 40,050.00",2026/08/08,UTRENTE2026080000004,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00005,ORD-ENTE-EX-00005,"₹ 48,400.00",2026/08/09,UTRENTE2026080000005,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00006,ORD-ENTE-EX-00006,"₹ 56,750.00",2026/08/10,UTRENTE2026080000006,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00007,ORD-ENTE-EX-00007,"₹ 65,100.00",2026/08/11,UTRENTE2026080000007,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00008,ORD-ENTE-EX-00008,"₹ 73,450.00",2026/08/12,UTRENTE2026080000008,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00009,ORD-ENTE-EX-00009,"₹ 81,800.00",2026/08/13,UTRENTE2026080000009,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00010,ORD-ENTE-EX-00010,"₹ 90,150.00",2026/08/14,UTRENTE2026080000010,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00011,ORD-ENTE-EX-00011,"₹ 98,500.00",2026/08/15,UTRENTE2026080000011,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00012,ORD-ENTE-EX-00012,"₹ 106,850.00",2026/08/16,UTRENTE2026080000012,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00013,ORD-ENTE-EX-00013,"₹ 115,200.00",2026/08/17,UTRENTE2026080000013,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00014,ORD-ENTE-EX-00014,"₹ 123,550.00",2026/08/18,UTRENTE2026080000014,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00015,ORD-ENTE-EX-00015,"₹ 131,900.00",2026/08/19,UTRENTE2026080000015,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00016,ORD-ENTE-EX-00016,"₹ 140,250.00",2026/08/20,UTRENTE2026080000016,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00017,ORD-ENTE-EX-00017,"₹ 148,600.00",2026/08/21,UTRENTE2026080000017,settled,₹ 0.00,₹ 0.00,₹ 0.00
SET-ENTE-00018,ORD-ENTE-EX-00018,"₹ 156,950.00",2026/08/22,UTRENTE2026080000018,settled,₹ 0.00,₹ 0.00,₹ 0.00
