bank_line_id,value_date,statement_narration,utr_ref,amount,ledger_balance,status
BNK-GAMI-00001,2026-08-02,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000001,UTRGAMI2026080000001,₹100.00,"₹5,000,100.00",credited
BNK-GAMI-00002,2026-08-03,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000002,UTRGAMI2026080000002,₹599.00,"₹5,000,699.00",credited
BNK-GAMI-00003,2026-08-04,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000003,UTRGAMI2026080000003,"₹1,098.00","₹5,001,797.00",credited
BNK-GAMI-00004,2026-08-05,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000004,UTRGAMI2026080000004,"₹1,597.00","₹5,003,394.00",credited
BNK-GAMI-00005,2026-08-06,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000005,UTRGAMI2026080000005,"₹2,096.00","₹5,005,490.00",credited
BNK-GAMI-00006,2026-08-07,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000006,UTRGAMI2026080000006,"₹2,595.00","₹5,008,085.00",credited
BNK-GAMI-00007,2026-08-08,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000007,UTRGAMI2026080000007,"₹3,094.00","₹5,011,179.00",credited
BNK-GAMI-00008,2026-08-09,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000008,UTRGAMI2026080000008,"₹3,593.00","₹5,014,772.00",credited
BNK-GAMI-00009,2026-08-10,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000009,UTRGAMI2026080000009,"₹4,092.00","₹5,018,864.00",credited
BNK-GAMI-00010,2026-08-11,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000010,UTRGAMI2026080000010,"₹4,591.00","₹5,023,455.00",credited
BNK-GAMI-00011,2026-08-12,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000011,UTRGAMI2026080000011,"₹5,090.00","₹5,028,545.00",credited
BNK-GAMI-00012,2026-08-13,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000012,UTRGAMI2026080000012,"₹5,589.00","₹5,034,134.00",credited
BNK-GAMI-00013,2026-08-14,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000013,UTRGAMI2026080000013,"₹6,088.00","₹5,040,222.00",credited
BNK-GAMI-00014,2026-08-15,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000014,UTRGAMI2026080000014,"₹6,587.00","₹5,046,809.00",credited
BNK-GAMI-00015,2026-08-16,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000015,UTRGAMI2026080000015,"₹7,086.00","₹5,053,895.00",credited
BNK-GAMI-00016,2026-08-17,ACH CR RAZORPAY SETTLEMENT UTRGAMI2026080000016,UTRGAMI2026080000016,"₹7,585.00","₹5,061,480.00",credited
