scenario_id,merchant_type,category,expected_resolution,expected_rule,order_id,invoice_id,settlement_id,bank_txn_id,reference_number,invoice_amount,settlement_amount,bank_amount,explanation,likely_reason,exception_category
SCENARIO-GAMI-00001,gaming,exact_match,rule,exact_order_id,ORD-GAMI-EX-00001,INV-GAMI-00001,SET-GAMI-00001,BNK-GAMI-00001,UTRGAMI2026080000001,100.00,100.00,100.00,"Exact match across order ID, UTR, and amount for PlayVerse Esports & Real Money Gaming.",,
SCENARIO-GAMI-00002,gaming,exact_match,rule,exact_order_id,ORD-GAMI-EX-00002,INV-GAMI-00002,SET-GAMI-00002,BNK-GAMI-00002,UTRGAMI2026080000002,599.00,599.00,599.00,"Exact match across order ID, UTR, and amount for PlayVerse Esports & Real Money Gaming.",,
SCENARIO-GAMI-00003,gaming,exact_match,rule,exact_order_id,ORD-GAMI-EX-00003,INV-GAMI-00003,SET-GAMI-00003,BNK-GAMI-00003,UTRGAMI2026080000003,1098.00,1098.00,1098.00,"Exact match across order ID, UTR, and amount for PlayVerse Esports & Real Money Gaming.",,
SCENARIO-GAMI-00004,gaming,exact_match,rule,exact_order_id,ORD-GAMI-EX-00004,INV-GAMI-00004,SET-GAMI-00004,BNK-GAMI-00004,UTRGAMI2026080000004,1597.00,1597.00,1597.00,"Exact match across order ID, UTR, and amount for PlayVerse Esports & Real Money Gaming.",,
SCENARIO-GAMI-00005,gaming,exact_match,rule,exact_order_id,ORD-GAMI-EX-00005,INV-GAMI-00005,SET-GAMI-00005,BNK-GAMI-00005,UTRGAMI2026080000005,2096.00,2096.00,2096.00,"Exact match across order ID, UTR, and amount for PlayVerse Esports & Real Money Gaming.",,
SCENARIO-GAMI-00006,gaming,exact_match,rule,exact_order_id,ORD-GAMI-EX-00006,INV-GAMI-00006,SET-GAMI-00006,BNK-GAMI-00006,UTRGAMI2026080000006,2595.00,2595.00,2595.00,"Exact match across order ID, UTR, and amount for PlayVerse Esports & Real Money Gaming.",,
SCENARIO-GAMI-00007,gaming,exact_match,rule,exact_order_id,ORD-GAMI-EX-00007,INV-GAMI-00007,SET-GAMI-00007,BNK-GAMI-00007,UTRGAMI2026080000007,3094.00,3094.00,3094.00,"Exact match across order ID, UTR, and amount for PlayVerse Esports & Real Money Gaming.",,
SCENARIO-GAMI-00008,gaming,exact_match,rule,exact_order_id,ORD-GAMI-EX-00008,INV-GAMI-00008,SET-GAMI-00008,BNK-GAMI-00008,UTRGAMI2026080000008,3593.00,3593.00,3593.00,"Exact match across order ID, UTR, and amount for PlayVerse Esports & Real Money Gaming.",,
SCENARIO-GAMI-00009,gaming,exact_match,rule,exact_order_id,ORD-GAMI-EX-00009,INV-GAMI-00009,SET-GAMI-00009,BNK-GAMI-00009,UTRGAMI2026080000009,4092.00,4092.00,4092.00,"Exact match across order ID, UTR, and amount for PlayVerse Esports & Real Money Gaming.",,
SCENARIO-GAMI-00010,gaming,exact_match,rule,exact_order_id,ORD-GAMI-EX-00010,INV-GAMI-00010,SET-GAMI-00010,BNK-GAMI-00010,UTRGAMI2026080000010,4591.00,4591.00,4591.00,"Exact match across order ID, UTR, and amount for PlayVerse Esports & Real Money Gaming.",,
SCENARIO-GAMI-00011,gaming,exact_match,rule,exact_order_id,ORD-GAMI-EX-00011,INV-GAMI-00011,SET-GAMI-00011,BNK-GAMI-00011,UTRGAMI2026080000011,5090.00,5090.00,5090.00,"Exact match across order ID, UTR, and amount for PlayVerse Esports & Real Money Gaming.",,
SCENARIO-GAMI-00012,gaming,exact_match,rule,exact_order_id,ORD-GAMI-EX-00012,INV-GAMI-00012,SET-GAMI-00012,BNK-GAMI-00012,UTRGAMI2026080000012,5589.00,5589.00,5589.00,"Exact match across order ID, UTR, and amount for PlayVerse Esports & Real Money Gaming.",,
SCENARIO-GAMI-00013,gaming,exact_match,rule,exact_order_id,ORD-GAMI-EX-00013,INV-GAMI-00013,SET-GAMI-00013,BNK-GAMI-00013,UTRGAMI2026080000013,6088.00,6088.00,6088.00,"Exact match across order ID, UTR, and amount for PlayVerse Esports & Real Money Gaming.",,
SCENARIO-GAMI-00014,gaming,exact_match,rule,exact_order_id,ORD-GAMI-EX-00014,INV-GAMI-00014,SET-GAMI-00014,BNK-GAMI-00014,UTRGAMI2026080000014,6587.00,6587.00,6587.00,"Exact match across order ID, UTR, and amount for PlayVerse Esports & Real Money Gaming.",,
