wallet_txn_no,gamer_tag_id,reload_amount,txn_timestamp,player_username,txn_status
INV-GAMI-00001,ORD-GAMI-EX-00001,₹100.00,2026-08-01,Client_GAMI_1,paid
INV-GAMI-00002,ORD-GAMI-EX-00002,₹599.00,2026-08-02,Client_GAMI_2,paid
INV-GAMI-00003,ORD-GAMI-EX-00003,"₹1,098.00",2026-08-03,Client_GAMI_3,paid
INV-GAMI-00004,ORD-GAMI-EX-00004,"₹1,597.00",2026-08-04,Client_GAMI_4,paid
INV-GAMI-00005,ORD-GAMI-EX-00005,"₹2,096.00",2026-08-05,Client_GAMI_5,paid
INV-GAMI-00006,ORD-GAMI-EX-00006,"₹2,595.00",2026-08-06,Client_GAMI_6,paid
INV-GAMI-00007,ORD-GAMI-EX-00007,"₹3,094.00",2026-08-07,Client_GAMI_7,paid
INV-GAMI-00008,ORD-GAMI-EX-00008,"₹3,593.00",2026-08-08,Client_GAMI_8,paid
INV-GAMI-00009,ORD-GAMI-EX-00009,"₹4,092.00",2026-08-09,Client_GAMI_9,paid
INV-GAMI-00010,ORD-GAMI-EX-00010,"₹4,591.00",2026-08-10,Client_GAMI_10,paid
INV-GAMI-00011,ORD-GAMI-EX-00011,"₹5,090.00",2026-08-11,Client_GAMI_11,paid
INV-GAMI-00012,ORD-GAMI-EX-00012,"₹5,589.00",2026-08-12,Client_GAMI_12,paid
INV-GAMI-00013,ORD-GAMI-EX-00013,"₹6,088.00",2026-08-13,Client_GAMI_13,paid
INV-GAMI-00014,ORD-GAMI-EX-00014,"₹6,587.00",2026-08-14,Client_GAMI_14,paid
INV-GAMI-00015,ORD-GAMI-EX-00015,"₹7,086.00",2026-08-15,Client_GAMI_15,paid
INV-GAMI-00016,ORD-GAMI-EX-00016,"₹7,585.00",2026-08-16,Client_GAMI_16,paid
INV-GAMI-00017,ORD-GAMI-EX-00017,"₹8,084.00",2026-08-17,Client_GAMI_17,paid
INV-GAMI-00018,ORD-GAMI-EX-00018,"₹8,583.00",2026-08-18,Client_GAMI_18,paid
INV-GAMI-00019,ORD-GAMI-EX-00019,"₹9,082.00",2026-08-19,Client_GAMI_19,paid
INV-GAMI-00020,ORD-GAMI-EX-00020,"₹9,581.00",2026-08-20,Client_GAMI_20,paid
INV-GAMI-00021,ORD-GAMI-EX-00021,"₹10,080.00",2026-08-21,Client_GAMI_21,paid
INV-GAMI-00022,ORD-GAMI-EX-00022,"₹10,579.00",2026-08-22,Client_GAMI_22,paid
INV-GAMI-00023,ORD-GAMI-EX-00023,"₹11,078.00",2026-08-23,Client_GAMI_23,paid
INV-GAMI-00024,ORD-GAMI-EX-00024,"₹11,577.00",2026-08-24,Client_GAMI_24,paid
INV-GAMI-00025,ORD-GAMI-EX-00025,"₹12,076.00",2026-08-25,Client_GAMI_25,paid
INV-GAMI-00026,ORD-GAMI-EX-00026,"₹12,575.00",2026-08-01,Client_GAMI_26,paid
INV-GAMI-00027,ORD-GAMI-EX-00027,"₹13,074.00",2026-08-02,Client_GAMI_27,paid
INV-GAMI-00028,ORD-GAMI-EX-00028,"₹13,573.00",2026-08-03,Client_GAMI_28,paid
INV-GAMI-00029,ORD-GAMI-EX-00029,"₹14,072.00",2026-08-04,Client_GAMI_29,paid
INV-GAMI-00030,ORD-GAMI-EX-00030,"₹14,571.00",2026-08-05,Client_GAMI_30,paid
INV-GAMI-00031,ORD-GAMI-EX-00031,"₹15,070.00",2026-08-06,Client_GAMI_31,paid
INV-GAMI-00032,ORD-GAMI-EX-00032,"₹15,569.00",2026-08-07,Client_GAMI_32,paid
INV-GAMI-00033,ORD-GAMI-EX-00033,"₹16,068.00",2026-08-08,Client_GAMI_33,paid
INV-GAMI-00034,ORD-GAMI-EX-00034,"₹16,567.00",2026-08-09,Client_GAMI_34,paid
INV-GAMI-00035,ORD-GAMI-EX-00035,"₹17,066.00",2026-08-10,Client_GAMI_35,paid
INV-GAMI-00036,ORD-GAMI-EX-00036,"₹17,565.00",2026-08-11,Client_GAMI_36,paid
INV-GAMI-00037,ORD-GAMI-EX-00037,"₹18,064.00",2026-08-12,Client_GAMI_37,paid
INV-GAMI-00038,ORD-GAMI-EX-00038,"₹18,563.00",2026-08-13,Client_GAMI_38,paid
INV-GAMI-00039,ORD-GAMI-EX-00039,"₹19,062.00",2026-08-14,Client_GAMI_39,paid
INV-GAMI-00040,ORD-GAMI-EX-00040,"₹19,561.00",2026-08-15,Client_GAMI_40,paid
INV-GAMI-00041,ORD-GAMI-EX-00041,"₹20,060.00",2026-08-16,Client_GAMI_41,paid
INV-GAMI-00042,ORD-GAMI-EX-00042,"₹20,559.00",2026-08-17,Client_GAMI_42,paid
INV-GAMI-00043,ORD-GAMI-EX-00043,"₹21,058.00",2026-08-18,Client_GAMI_43,paid
INV-GAMI-00044,ORD-GAMI-EX-00044,"₹21,557.00",2026-08-19,Client_GAMI_44,paid
INV-GAMI-00045,ORD-GAMI-EX-00045,"₹22,056.00",2026-08-20,Client_GAMI_45,paid
INV-GAMI-00046,ORD-GAMI-EX-00046,"₹22,555.00",2026-08-21,Client_GAMI_46,paid
INV-GAMI-00047,ORD-GAMI-EX-00047,"₹23,054.00",2026-08-22,Client_GAMI_47,paid
INV-GAMI-00048,ORD-GAMI-EX-00048,"₹23,553.00",2026-08-23,Client_GAMI_48,paid
INV-GAMI-00049,ORD-GAMI-EX-00049,"₹24,052.00",2026-08-24,Client_GAMI_49,paid
INV-GAMI-00050,ORD-GAMI-EX-00050,"₹24,551.00",2026-08-25,Client_GAMI_50,paid
INV-GAMI-00051,ORD-GAMI-EX-00051,"₹25,050.00",2026-08-01,Client_GAMI_51,paid
INV-GAMI-00052,ORD-GAMI-EX-00052,"₹25,549.00",2026-08-02,Client_GAMI_52,paid
INV-GAMI-00053,ORD-GAMI-EX-00053,"₹26,048.00",2026-08-03,Client_GAMI_53,paid
INV-GAMI-00054,ORD-GAMI-EX-00054,"₹26,547.00",2026-08-04,Client_GAMI_54,paid
INV-GAMI-00055,ORD-GAMI-EX-00055,"₹27,046.00",2026-08-05,Client_GAMI_55,paid
INV-GAMI-00056,ORD-GAMI-EX-00056,"₹27,545.00",2026-08-06,Client_GAMI_56,paid
INV-GAMI-00057,ORD-GAMI-EX-00057,"₹28,044.00",2026-08-07,Client_GAMI_57,paid
INV-GAMI-00058,ORD-GAMI-EX-00058,"₹28,543.00",2026-08-08,Client_GAMI_58,paid
INV-GAMI-00059,ORD-GAMI-EX-00059,"₹29,042.00",2026-08-09,Client_GAMI_59,paid
INV-GAMI-00060,ORD-GAMI-EX-00060,"₹29,541.00",2026-08-10,Client_GAMI_60,paid
INV-GAMI-00061,ORD-GAMI-EX-00061,"₹30,040.00",2026-08-11,Client_GAMI_61,paid
INV-GAMI-00062,ORD-GAMI-EX-00062,"₹30,539.00",2026-08-12,Client_GAMI_62,paid
INV-GAMI-00063,ORD-GAMI-EX-00063,"₹31,038.00",2026-08-13,Client_GAMI_63,paid
INV-GAMI-00064,ORD-GAMI-EX-00064,"₹31,537.00",2026-08-14,Client_GAMI_64,paid
INV-GAMI-00065,ORD-GAMI-EX-00065,"₹32,036.00",2026-08-15,Client_GAMI_65,paid
INV-GAMI-00066,ORD-GAMI-EX-00066,"₹32,535.00",2026-08-16,Client_GAMI_66,paid
INV-GAMI-00067,ORD-GAMI-EX-00067,"₹33,034.00",2026-08-17,Client_GAMI_67,paid
INV-GAMI-00068,ORD-GAMI-EX-00068,"₹33,533.00",2026-08-18,Client_GAMI_68,paid
INV-GAMI-00069,ORD-GAMI-EX-00069,"₹34,032.00",2026-08-19,Client_GAMI_69,paid
INV-GAMI-00070,ORD-GAMI-EX-00070,"₹34,531.00",2026-08-20,Client_GAMI_70,paid
INV-GAMI-00071,ORD-GAMI-FEE-00071,"₹5,090.00",2026-08-01,Client_GAMI_71,paid
INV-GAMI-00072,ORD-GAMI-FEE-00072,"₹5,589.00",2026-08-02,Client_GAMI_72,paid
INV-GAMI-00073,ORD-GAMI-FEE-00073,"₹6,088.00",2026-08-03,Client_GAMI_73,paid
INV-GAMI-00074,ORD-GAMI-FEE-00074,"₹6,587.00",2026-08-04,Client_GAMI_74,paid
INV-GAMI-00075,ORD-GAMI-FEE-00075,"₹7,086.00",2026-08-05,Client_GAMI_75,paid
INV-GAMI-00076,ORD-GAMI-FEE-00076,"₹7,585.00",2026-08-06,Client_GAMI_76,paid
INV-GAMI-00077,ORD-GAMI-FEE-00077,"₹8,084.00",2026-08-07,Client_GAMI_77,paid
INV-GAMI-00078,ORD-GAMI-FEE-00078,"₹8,583.00",2026-08-08,Client_GAMI_78,paid
INV-GAMI-00079,ORD-GAMI-GST-00079,"₹10,080.00",2026-08-01,Client_GAMI_79,paid
INV-GAMI-00080,ORD-GAMI-GST-00080,"₹10,579.00",2026-08-02,Client_GAMI_80,paid
INV-GAMI-00081,ORD-GAMI-GST-00081,"₹11,078.00",2026-08-03,Client_GAMI_81,paid
INV-GAMI-00082,ORD-GAMI-GST-00082,"₹11,577.00",2026-08-04,Client_GAMI_82,paid
INV-GAMI-00083,ORD-GAMI-GST-00083,"₹12,076.00",2026-08-05,Client_GAMI_83,paid
INV-GAMI-00084,ORD-GAMI-TDS-00084,"₹15,070.00",2026-08-01,Client_GAMI_84,paid
INV-GAMI-00085,ORD-GAMI-TDS-00085,"₹15,569.00",2026-08-02,Client_GAMI_85,paid
