payout_ref_id,gamer_tag_id,net_wallet_payout,settlement_timestamp,utr_ref,status,platform_commission,gst_28_percent,tds_194b_deduction
SET-GAMI-00001,ORD-GAMI-EX-00001,₹100.00,2026-08-02,UTRGAMI2026080000001,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00002,ORD-GAMI-EX-00002,₹599.00,2026-08-03,UTRGAMI2026080000002,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00003,ORD-GAMI-EX-00003,"₹1,098.00",2026-08-04,UTRGAMI2026080000003,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00004,ORD-GAMI-EX-00004,"₹1,597.00",2026-08-05,UTRGAMI2026080000004,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00005,ORD-GAMI-EX-00005,"₹2,096.00",2026-08-06,UTRGAMI2026080000005,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00006,ORD-GAMI-EX-00006,"₹2,595.00",2026-08-07,UTRGAMI2026080000006,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00007,ORD-GAMI-EX-00007,"₹3,094.00",2026-08-08,UTRGAMI2026080000007,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00008,ORD-GAMI-EX-00008,"₹3,593.00",2026-08-09,UTRGAMI2026080000008,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00009,ORD-GAMI-EX-00009,"₹4,092.00",2026-08-10,UTRGAMI2026080000009,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00010,ORD-GAMI-EX-00010,"₹4,591.00",2026-08-11,UTRGAMI2026080000010,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00011,ORD-GAMI-EX-00011,"₹5,090.00",2026-08-12,UTRGAMI2026080000011,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00012,ORD-GAMI-EX-00012,"₹5,589.00",2026-08-13,UTRGAMI2026080000012,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00013,ORD-GAMI-EX-00013,"₹6,088.00",2026-08-14,UTRGAMI2026080000013,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00014,ORD-GAMI-EX-00014,"₹6,587.00",2026-08-15,UTRGAMI2026080000014,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00015,ORD-GAMI-EX-00015,"₹7,086.00",2026-08-16,UTRGAMI2026080000015,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00016,ORD-GAMI-EX-00016,"₹7,585.00",2026-08-17,UTRGAMI2026080000016,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00017,ORD-GAMI-EX-00017,"₹8,084.00",2026-08-18,UTRGAMI2026080000017,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00018,ORD-GAMI-EX-00018,"₹8,583.00",2026-08-19,UTRGAMI2026080000018,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00019,ORD-GAMI-EX-00019,"₹9,082.00",2026-08-20,UTRGAMI2026080000019,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00020,ORD-GAMI-EX-00020,"₹9,581.00",2026-08-21,UTRGAMI2026080000020,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00021,ORD-GAMI-EX-00021,"₹10,080.00",2026-08-22,UTRGAMI2026080000021,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00022,ORD-GAMI-EX-00022,"₹10,579.00",2026-08-23,UTRGAMI2026080000022,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00023,ORD-GAMI-EX-00023,"₹11,078.00",2026-08-24,UTRGAMI2026080000023,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00024,ORD-GAMI-EX-00024,"₹11,577.00",2026-08-25,UTRGAMI2026080000024,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00025,ORD-GAMI-EX-00025,"₹12,076.00",2026-08-26,UTRGAMI2026080000025,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00026,ORD-GAMI-EX-00026,"₹12,575.00",2026-08-02,UTRGAMI2026080000026,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00027,ORD-GAMI-EX-00027,"₹13,074.00",2026-08-03,UTRGAMI2026080000027,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00028,ORD-GAMI-EX-00028,"₹13,573.00",2026-08-04,UTRGAMI2026080000028,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00029,ORD-GAMI-EX-00029,"₹14,072.00",2026-08-05,UTRGAMI2026080000029,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00030,ORD-GAMI-EX-00030,"₹14,571.00",2026-08-06,UTRGAMI2026080000030,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00031,ORD-GAMI-EX-00031,"₹15,070.00",2026-08-07,UTRGAMI2026080000031,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00032,ORD-GAMI-EX-00032,"₹15,569.00",2026-08-08,UTRGAMI2026080000032,settled,₹0.00,₹0.00,₹0.00
SET-GAMI-00033,ORD-GAMI-EX-00033,"₹16,068.00",2026-08-09,UTRGAMI2026080000033,settled,₹0.00,₹0.00,₹0.00
