stmt_txn_id,posting_date,particulars,bank_utr,amount,balance,status
BNK-HEAL-00001,03/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000001,UTRHEAL2026080000001,"₹ 1,200.00","₹ 5,001,200.00",credited
BNK-HEAL-00002,04/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000002,UTRHEAL2026080000002,"₹ 2,988.00","₹ 5,004,188.00",credited
BNK-HEAL-00003,05/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000003,UTRHEAL2026080000003,"₹ 4,776.00","₹ 5,008,964.00",credited
BNK-HEAL-00004,06/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000004,UTRHEAL2026080000004,"₹ 6,564.00","₹ 5,015,528.00",credited
BNK-HEAL-00005,07/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000005,UTRHEAL2026080000005,"₹ 8,352.00","₹ 5,023,880.00",credited
BNK-HEAL-00006,08/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000006,UTRHEAL2026080000006,"₹ 10,140.00","₹ 5,034,020.00",credited
BNK-HEAL-00007,09/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000007,UTRHEAL2026080000007,"₹ 11,928.00","₹ 5,045,948.00",credited
BNK-HEAL-00008,10/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000008,UTRHEAL2026080000008,"₹ 13,716.00","₹ 5,059,664.00",credited
BNK-HEAL-00009,11/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000009,UTRHEAL2026080000009,"₹ 15,504.00","₹ 5,075,168.00",credited
BNK-HEAL-00010,12/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000010,UTRHEAL2026080000010,"₹ 17,292.00","₹ 5,092,460.00",credited
BNK-HEAL-00011,13/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000011,UTRHEAL2026080000011,"₹ 19,080.00","₹ 5,111,540.00",credited
BNK-HEAL-00012,14/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000012,UTRHEAL2026080000012,"₹ 20,868.00","₹ 5,132,408.00",credited
BNK-HEAL-00013,15/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000013,UTRHEAL2026080000013,"₹ 22,656.00","₹ 5,155,064.00",credited
BNK-HEAL-00014,16/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000014,UTRHEAL2026080000014,"₹ 24,444.00","₹ 5,179,508.00",credited
BNK-HEAL-00015,17/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000015,UTRHEAL2026080000015,"₹ 26,232.00","₹ 5,205,740.00",credited
BNK-HEAL-00016,18/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000016,UTRHEAL2026080000016,"₹ 28,020.00","₹ 5,233,760.00",credited
BNK-HEAL-00017,19/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000017,UTRHEAL2026080000017,"₹ 29,808.00","₹ 5,263,568.00",credited
BNK-HEAL-00018,20/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000018,UTRHEAL2026080000018,"₹ 31,596.00","₹ 5,295,164.00",credited
BNK-HEAL-00019,21/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000019,UTRHEAL2026080000019,"₹ 33,384.00","₹ 5,328,548.00",credited
BNK-HEAL-00020,22/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000020,UTRHEAL2026080000020,"₹ 35,172.00","₹ 5,363,720.00",credited
BNK-HEAL-00021,23/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000021,UTRHEAL2026080000021,"₹ 36,960.00","₹ 5,400,680.00",credited
BNK-HEAL-00022,24/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000022,UTRHEAL2026080000022,"₹ 38,748.00","₹ 5,439,428.00",credited
BNK-HEAL-00023,25/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000023,UTRHEAL2026080000023,"₹ 40,536.00","₹ 5,479,964.00",credited
BNK-HEAL-00024,26/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000024,UTRHEAL2026080000024,"₹ 42,324.00","₹ 5,522,288.00",credited
BNK-HEAL-00025,27/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000025,UTRHEAL2026080000025,"₹ 44,112.00","₹ 5,566,400.00",credited
BNK-HEAL-00026,03/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000026,UTRHEAL2026080000026,"₹ 45,900.00","₹ 5,612,300.00",credited
BNK-HEAL-00027,04/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000027,UTRHEAL2026080000027,"₹ 47,688.00","₹ 5,659,988.00",credited
BNK-HEAL-00028,05/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000028,UTRHEAL2026080000028,"₹ 49,476.00","₹ 5,709,464.00",credited
BNK-HEAL-00029,06/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000029,UTRHEAL2026080000029,"₹ 51,264.00","₹ 5,760,728.00",credited
BNK-HEAL-00030,07/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000030,UTRHEAL2026080000030,"₹ 53,052.00","₹ 5,813,780.00",credited
BNK-HEAL-00031,08/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000031,UTRHEAL2026080000031,"₹ 54,840.00","₹ 5,868,620.00",credited
BNK-HEAL-00032,09/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000032,UTRHEAL2026080000032,"₹ 56,628.00","₹ 5,925,248.00",credited
BNK-HEAL-00033,10/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000033,UTRHEAL2026080000033,"₹ 58,416.00","₹ 5,983,664.00",credited
BNK-HEAL-00034,11/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000034,UTRHEAL2026080000034,"₹ 60,204.00","₹ 6,043,868.00",credited
BNK-HEAL-00035,12/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000035,UTRHEAL2026080000035,"₹ 61,992.00","₹ 6,105,860.00",credited
BNK-HEAL-00036,13/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000036,UTRHEAL2026080000036,"₹ 63,780.00","₹ 6,169,640.00",credited
BNK-HEAL-00037,14/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000037,UTRHEAL2026080000037,"₹ 65,568.00","₹ 6,235,208.00",credited
BNK-HEAL-00038,15/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000038,UTRHEAL2026080000038,"₹ 67,356.00","₹ 6,302,564.00",credited
BNK-HEAL-00039,16/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000039,UTRHEAL2026080000039,"₹ 69,144.00","₹ 6,371,708.00",credited
BNK-HEAL-00040,17/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000040,UTRHEAL2026080000040,"₹ 70,932.00","₹ 6,442,640.00",credited
BNK-HEAL-00041,18/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000041,UTRHEAL2026080000041,"₹ 72,720.00","₹ 6,515,360.00",credited
BNK-HEAL-00042,19/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000042,UTRHEAL2026080000042,"₹ 74,508.00","₹ 6,589,868.00",credited
BNK-HEAL-00043,20/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000043,UTRHEAL2026080000043,"₹ 76,296.00","₹ 6,666,164.00",credited
BNK-HEAL-00044,21/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000044,UTRHEAL2026080000044,"₹ 78,084.00","₹ 6,744,248.00",credited
BNK-HEAL-00045,22/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000045,UTRHEAL2026080000045,"₹ 79,872.00","₹ 6,824,120.00",credited
BNK-HEAL-00046,23/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000046,UTRHEAL2026080000046,"₹ 81,660.00","₹ 6,905,780.00",credited
BNK-HEAL-00047,24/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000047,UTRHEAL2026080000047,"₹ 83,448.00","₹ 6,989,228.00",credited
BNK-HEAL-00048,25/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000048,UTRHEAL2026080000048,"₹ 85,236.00","₹ 7,074,464.00",credited
BNK-HEAL-00049,26/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000049,UTRHEAL2026080000049,"₹ 87,024.00","₹ 7,161,488.00",credited
BNK-HEAL-00050,27/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000050,UTRHEAL2026080000050,"₹ 88,812.00","₹ 7,250,300.00",credited
BNK-HEAL-00051,03/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000051,UTRHEAL2026080000051,"₹ 90,600.00","₹ 7,340,900.00",credited
BNK-HEAL-00052,04/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000052,UTRHEAL2026080000052,"₹ 92,388.00","₹ 7,433,288.00",credited
BNK-HEAL-00053,05/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000053,UTRHEAL2026080000053,"₹ 94,176.00","₹ 7,527,464.00",credited
BNK-HEAL-00054,06/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000054,UTRHEAL2026080000054,"₹ 95,964.00","₹ 7,623,428.00",credited
BNK-HEAL-00055,07/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000055,UTRHEAL2026080000055,"₹ 97,752.00","₹ 7,721,180.00",credited
BNK-HEAL-00056,08/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000056,UTRHEAL2026080000056,"₹ 99,540.00","₹ 7,820,720.00",credited
BNK-HEAL-00057,09/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000057,UTRHEAL2026080000057,"₹ 101,328.00","₹ 7,922,048.00",credited
BNK-HEAL-00058,10/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000058,UTRHEAL2026080000058,"₹ 103,116.00","₹ 8,025,164.00",credited
BNK-HEAL-00059,11/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000059,UTRHEAL2026080000059,"₹ 104,904.00","₹ 8,130,068.00",credited
BNK-HEAL-00060,12/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000060,UTRHEAL2026080000060,"₹ 106,692.00","₹ 8,236,760.00",credited
BNK-HEAL-00061,13/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000061,UTRHEAL2026080000061,"₹ 108,480.00","₹ 8,345,240.00",credited
BNK-HEAL-00062,14/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000062,UTRHEAL2026080000062,"₹ 110,268.00","₹ 8,455,508.00",credited
BNK-HEAL-00063,15/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000063,UTRHEAL2026080000063,"₹ 112,056.00","₹ 8,567,564.00",credited
BNK-HEAL-00064,16/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000064,UTRHEAL2026080000064,"₹ 113,844.00","₹ 8,681,408.00",credited
BNK-HEAL-00065,17/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000065,UTRHEAL2026080000065,"₹ 115,632.00","₹ 8,797,040.00",credited
BNK-HEAL-00066,18/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000066,UTRHEAL2026080000066,"₹ 117,420.00","₹ 8,914,460.00",credited
BNK-HEAL-00067,19/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000067,UTRHEAL2026080000067,"₹ 119,208.00","₹ 9,033,668.00",credited
BNK-HEAL-00068,20/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000068,UTRHEAL2026080000068,"₹ 120,996.00","₹ 9,154,664.00",credited
BNK-HEAL-00069,21/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000069,UTRHEAL2026080000069,"₹ 122,784.00","₹ 9,277,448.00",credited
BNK-HEAL-00070,22/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000070,UTRHEAL2026080000070,"₹ 124,572.00","₹ 9,402,020.00",credited
BNK-HEAL-00071,03/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000071,UTRHEAL2026080000071,"₹ 18,793.80","₹ 9,420,813.80",credited
BNK-HEAL-00072,04/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000072,UTRHEAL2026080000072,"₹ 20,554.98","₹ 9,441,368.78",credited
BNK-HEAL-00073,05/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000073,UTRHEAL2026080000073,"₹ 22,316.16","₹ 9,463,684.94",credited
BNK-HEAL-00074,06/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000074,UTRHEAL2026080000074,"₹ 24,077.34","₹ 9,487,762.28",credited
BNK-HEAL-00075,07/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000075,UTRHEAL2026080000075,"₹ 25,838.52","₹ 9,513,600.80",credited
BNK-HEAL-00076,08/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000076,UTRHEAL2026080000076,"₹ 27,599.70","₹ 9,541,200.50",credited
BNK-HEAL-00077,09/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000077,UTRHEAL2026080000077,"₹ 29,360.88","₹ 9,570,561.38",credited
BNK-HEAL-00078,10/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000078,UTRHEAL2026080000078,"₹ 31,122.06","₹ 9,601,683.44",credited
BNK-HEAL-00079,03/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000079,UTRHEAL2026080000079,"₹ 36,305.81","₹ 9,637,989.25",credited
BNK-HEAL-00080,04/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000080,UTRHEAL2026080000080,"₹ 38,062.16","₹ 9,676,051.41",credited
BNK-HEAL-00081,05/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000081,UTRHEAL2026080000081,"₹ 39,818.51","₹ 9,715,869.92",credited
BNK-HEAL-00082,06/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000082,UTRHEAL2026080000082,"₹ 41,574.87","₹ 9,757,444.79",credited
BNK-HEAL-00083,07/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000083,UTRHEAL2026080000083,"₹ 43,331.22","₹ 9,800,776.01",credited
BNK-HEAL-00084,03/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000084,UTRHEAL2026080000084,"₹ 53,320.93","₹ 9,854,096.94",credited
BNK-HEAL-00085,04/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000085,UTRHEAL2026080000085,"₹ 55,059.40","₹ 9,909,156.34",credited
BNK-HEAL-00086,05/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000086,UTRHEAL2026080000086,"₹ 56,797.88","₹ 9,965,954.22",credited
BNK-HEAL-00087,03/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000087,UTRHEAL2026080000087,"₹ 72,690.00","₹ 10,038,644.22",credited
BNK-HEAL-00088,04/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000088,UTRHEAL2026080000088,"₹ 74,463.00","₹ 10,113,107.22",credited
BNK-HEAL-00089,05/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000089,UTRHEAL2026080000089,"₹ 76,236.00","₹ 10,189,343.22",credited
BNK-HEAL-00090,06/08/2026,ACH CR RAZORPAY SETTLEMENT UTRHEAL2026080000090,UTRHEAL2026080000090,"₹ 78,009.00","₹ 10,267,352.22",credited
