scenario_id,merchant_type,category,expected_resolution,expected_rule,order_id,invoice_id,settlement_id,bank_txn_id,reference_number,invoice_amount,settlement_amount,bank_amount,explanation,likely_reason,exception_category
SCENARIO-HEAL-00001,healthcare,exact_match,rule,exact_order_id,ORD-HEAL-EX-00001,INV-HEAL-00001,SET-HEAL-00001,BNK-HEAL-00001,UTRHEAL2026080000001,1200.00,1200.00,1200.00,"Exact match across order ID, UTR, and amount for ApexCare Diagnostics & Hospital Network.",,
SCENARIO-HEAL-00002,healthcare,exact_match,rule,exact_order_id,ORD-HEAL-EX-00002,INV-HEAL-00002,SET-HEAL-00002,BNK-HEAL-00002,UTRHEAL2026080000002,2988.00,2988.00,2988.00,"Exact match across order ID, UTR, and amount for ApexCare Diagnostics & Hospital Network.",,
SCENARIO-HEAL-00003,healthcare,exact_match,rule,exact_order_id,ORD-HEAL-EX-00003,INV-HEAL-00003,SET-HEAL-00003,BNK-HEAL-00003,UTRHEAL2026080000003,4776.00,4776.00,4776.00,"Exact match across order ID, UTR, and amount for ApexCare Diagnostics & Hospital Network.",,
SCENARIO-HEAL-00004,healthcare,exact_match,rule,exact_order_id,ORD-HEAL-EX-00004,INV-HEAL-00004,SET-HEAL-00004,BNK-HEAL-00004,UTRHEAL2026080000004,6564.00,6564.00,6564.00,"Exact match across order ID, UTR, and amount for ApexCare Diagnostics & Hospital Network.",,
SCENARIO-HEAL-00005,healthcare,exact_match,rule,exact_order_id,ORD-HEAL-EX-00005,INV-HEAL-00005,SET-HEAL-00005,BNK-HEAL-00005,UTRHEAL2026080000005,8352.00,8352.00,8352.00,"Exact match across order ID, UTR, and amount for ApexCare Diagnostics & Hospital Network.",,
SCENARIO-HEAL-00006,healthcare,exact_match,rule,exact_order_id,ORD-HEAL-EX-00006,INV-HEAL-00006,SET-HEAL-00006,BNK-HEAL-00006,UTRHEAL2026080000006,10140.00,10140.00,10140.00,"Exact match across order ID, UTR, and amount for ApexCare Diagnostics & Hospital Network.",,
SCENARIO-HEAL-00007,healthcare,exact_match,rule,exact_order_id,ORD-HEAL-EX-00007,INV-HEAL-00007,SET-HEAL-00007,BNK-HEAL-00007,UTRHEAL2026080000007,11928.00,11928.00,11928.00,"Exact match across order ID, UTR, and amount for ApexCare Diagnostics & Hospital Network.",,
SCENARIO-HEAL-00008,healthcare,exact_match,rule,exact_order_id,ORD-HEAL-EX-00008,INV-HEAL-00008,SET-HEAL-00008,BNK-HEAL-00008,UTRHEAL2026080000008,13716.00,13716.00,13716.00,"Exact match across order ID, UTR, and amount for ApexCare Diagnostics & Hospital Network.",,
SCENARIO-HEAL-00009,healthcare,exact_match,rule,exact_order_id,ORD-HEAL-EX-00009,INV-HEAL-00009,SET-HEAL-00009,BNK-HEAL-00009,UTRHEAL2026080000009,15504.00,15504.00,15504.00,"Exact match across order ID, UTR, and amount for ApexCare Diagnostics & Hospital Network.",,
SCENARIO-HEAL-00010,healthcare,exact_match,rule,exact_order_id,ORD-HEAL-EX-00010,INV-HEAL-00010,SET-HEAL-00010,BNK-HEAL-00010,UTRHEAL2026080000010,17292.00,17292.00,17292.00,"Exact match across order ID, UTR, and amount for ApexCare Diagnostics & Hospital Network.",,
