txn_seq,statement_date,particulars,utr_no,amount,balance,status
BNK-LOGI-00001,2026/08/05,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000001,UTRLOGI2026080000001,350.00,5000350.00,credited
BNK-LOGI-00002,2026/08/06,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000002,UTRLOGI2026080000002,531.50,5000881.50,credited
BNK-LOGI-00003,2026/08/07,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000003,UTRLOGI2026080000003,713.00,5001594.50,credited
BNK-LOGI-00004,2026/08/08,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000004,UTRLOGI2026080000004,894.50,5002489.00,credited
BNK-LOGI-00005,2026/08/09,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000005,UTRLOGI2026080000005,1076.00,5003565.00,credited
BNK-LOGI-00006,2026/08/10,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000006,UTRLOGI2026080000006,1257.50,5004822.50,credited
BNK-LOGI-00007,2026/08/11,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000007,UTRLOGI2026080000007,1439.00,5006261.50,credited
BNK-LOGI-00008,2026/08/12,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000008,UTRLOGI2026080000008,1620.50,5007882.00,credited
BNK-LOGI-00009,2026/08/13,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000009,UTRLOGI2026080000009,1802.00,5009684.00,credited
BNK-LOGI-00010,2026/08/14,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000010,UTRLOGI2026080000010,1983.50,5011667.50,credited
BNK-LOGI-00011,2026/08/15,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000011,UTRLOGI2026080000011,2165.00,5013832.50,credited
BNK-LOGI-00012,2026/08/16,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000012,UTRLOGI2026080000012,2346.50,5016179.00,credited
BNK-LOGI-00013,2026/08/17,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000013,UTRLOGI2026080000013,2528.00,5018707.00,credited
BNK-LOGI-00014,2026/08/18,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000014,UTRLOGI2026080000014,2709.50,5021416.50,credited
BNK-LOGI-00015,2026/08/19,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000015,UTRLOGI2026080000015,2891.00,5024307.50,credited
BNK-LOGI-00016,2026/08/20,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000016,UTRLOGI2026080000016,3072.50,5027380.00,credited
BNK-LOGI-00017,2026/08/21,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000017,UTRLOGI2026080000017,3254.00,5030634.00,credited
BNK-LOGI-00018,2026/08/22,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000018,UTRLOGI2026080000018,3435.50,5034069.50,credited
BNK-LOGI-00019,2026/08/23,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000019,UTRLOGI2026080000019,3617.00,5037686.50,credited
BNK-LOGI-00020,2026/08/24,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000020,UTRLOGI2026080000020,3798.50,5041485.00,credited
BNK-LOGI-00021,2026/08/25,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000021,UTRLOGI2026080000021,3980.00,5045465.00,credited
BNK-LOGI-00022,2026/08/26,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000022,UTRLOGI2026080000022,4161.50,5049626.50,credited
BNK-LOGI-00023,2026/08/27,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000023,UTRLOGI2026080000023,4343.00,5053969.50,credited
BNK-LOGI-00024,2026/08/28,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000024,UTRLOGI2026080000024,4524.50,5058494.00,credited
BNK-LOGI-00025,2026/08/29,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000025,UTRLOGI2026080000025,4706.00,5063200.00,credited
BNK-LOGI-00026,2026/08/05,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000026,UTRLOGI2026080000026,4887.50,5068087.50,credited
BNK-LOGI-00027,2026/08/06,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000027,UTRLOGI2026080000027,5069.00,5073156.50,credited
BNK-LOGI-00028,2026/08/07,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000028,UTRLOGI2026080000028,5250.50,5078407.00,credited
BNK-LOGI-00029,2026/08/08,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000029,UTRLOGI2026080000029,5432.00,5083839.00,credited
BNK-LOGI-00030,2026/08/09,ACH CR RAZORPAY SETTLEMENT UTRLOGI2026080000030,UTRLOGI2026080000030,5613.50,5089452.50,credited
