scenario_id,merchant_type,category,expected_resolution,expected_rule,order_id,invoice_id,settlement_id,bank_txn_id,reference_number,invoice_amount,settlement_amount,bank_amount,explanation,likely_reason,exception_category
SCENARIO-LOGI-00001,logistics,exact_match,rule,exact_order_id,ORD-LOGI-EX-00001,INV-LOGI-00001,SET-LOGI-00001,BNK-LOGI-00001,UTRLOGI2026080000001,350.00,350.00,350.00,"Exact match across order ID, UTR, and amount for SwiftFreight 3PL & Courier Express.",,
SCENARIO-LOGI-00002,logistics,exact_match,rule,exact_order_id,ORD-LOGI-EX-00002,INV-LOGI-00002,SET-LOGI-00002,BNK-LOGI-00002,UTRLOGI2026080000002,531.50,531.50,531.50,"Exact match across order ID, UTR, and amount for SwiftFreight 3PL & Courier Express.",,
SCENARIO-LOGI-00003,logistics,exact_match,rule,exact_order_id,ORD-LOGI-EX-00003,INV-LOGI-00003,SET-LOGI-00003,BNK-LOGI-00003,UTRLOGI2026080000003,713.00,713.00,713.00,"Exact match across order ID, UTR, and amount for SwiftFreight 3PL & Courier Express.",,
SCENARIO-LOGI-00004,logistics,exact_match,rule,exact_order_id,ORD-LOGI-EX-00004,INV-LOGI-00004,SET-LOGI-00004,BNK-LOGI-00004,UTRLOGI2026080000004,894.50,894.50,894.50,"Exact match across order ID, UTR, and amount for SwiftFreight 3PL & Courier Express.",,
SCENARIO-LOGI-00005,logistics,exact_match,rule,exact_order_id,ORD-LOGI-EX-00005,INV-LOGI-00005,SET-LOGI-00005,BNK-LOGI-00005,UTRLOGI2026080000005,1076.00,1076.00,1076.00,"Exact match across order ID, UTR, and amount for SwiftFreight 3PL & Courier Express.",,
SCENARIO-LOGI-00006,logistics,exact_match,rule,exact_order_id,ORD-LOGI-EX-00006,INV-LOGI-00006,SET-LOGI-00006,BNK-LOGI-00006,UTRLOGI2026080000006,1257.50,1257.50,1257.50,"Exact match across order ID, UTR, and amount for SwiftFreight 3PL & Courier Express.",,
SCENARIO-LOGI-00007,logistics,exact_match,rule,exact_order_id,ORD-LOGI-EX-00007,INV-LOGI-00007,SET-LOGI-00007,BNK-LOGI-00007,UTRLOGI2026080000007,1439.00,1439.00,1439.00,"Exact match across order ID, UTR, and amount for SwiftFreight 3PL & Courier Express.",,
SCENARIO-LOGI-00008,logistics,exact_match,rule,exact_order_id,ORD-LOGI-EX-00008,INV-LOGI-00008,SET-LOGI-00008,BNK-LOGI-00008,UTRLOGI2026080000008,1620.50,1620.50,1620.50,"Exact match across order ID, UTR, and amount for SwiftFreight 3PL & Courier Express.",,
SCENARIO-LOGI-00009,logistics,exact_match,rule,exact_order_id,ORD-LOGI-EX-00009,INV-LOGI-00009,SET-LOGI-00009,BNK-LOGI-00009,UTRLOGI2026080000009,1802.00,1802.00,1802.00,"Exact match across order ID, UTR, and amount for SwiftFreight 3PL & Courier Express.",,
SCENARIO-LOGI-00010,logistics,exact_match,rule,exact_order_id,ORD-LOGI-EX-00010,INV-LOGI-00010,SET-LOGI-00010,BNK-LOGI-00010,UTRLOGI2026080000010,1983.50,1983.50,1983.50,"Exact match across order ID, UTR, and amount for SwiftFreight 3PL & Courier Express.",,
SCENARIO-LOGI-00011,logistics,exact_match,rule,exact_order_id,ORD-LOGI-EX-00011,INV-LOGI-00011,SET-LOGI-00011,BNK-LOGI-00011,UTRLOGI2026080000011,2165.00,2165.00,2165.00,"Exact match across order ID, UTR, and amount for SwiftFreight 3PL & Courier Express.",,
SCENARIO-LOGI-00012,logistics,exact_match,rule,exact_order_id,ORD-LOGI-EX-00012,INV-LOGI-00012,SET-LOGI-00012,BNK-LOGI-00012,UTRLOGI2026080000012,2346.50,2346.50,2346.50,"Exact match across order ID, UTR, and amount for SwiftFreight 3PL & Courier Express.",,
SCENARIO-LOGI-00013,logistics,exact_match,rule,exact_order_id,ORD-LOGI-EX-00013,INV-LOGI-00013,SET-LOGI-00013,BNK-LOGI-00013,UTRLOGI2026080000013,2528.00,2528.00,2528.00,"Exact match across order ID, UTR, and amount for SwiftFreight 3PL & Courier Express.",,
