waybill_no,consignee_order_id,cod_amount,dispatch_date,consignee_name,delivery_status
INV-LOGI-00001,ORD-LOGI-EX-00001,350.00,2026/08/01,Client_LOGI_1,paid
INV-LOGI-00002,ORD-LOGI-EX-00002,531.50,2026/08/02,Client_LOGI_2,paid
INV-LOGI-00003,ORD-LOGI-EX-00003,713.00,2026/08/03,Client_LOGI_3,paid
INV-LOGI-00004,ORD-LOGI-EX-00004,894.50,2026/08/04,Client_LOGI_4,paid
INV-LOGI-00005,ORD-LOGI-EX-00005,1076.00,2026/08/05,Client_LOGI_5,paid
INV-LOGI-00006,ORD-LOGI-EX-00006,1257.50,2026/08/06,Client_LOGI_6,paid
INV-LOGI-00007,ORD-LOGI-EX-00007,1439.00,2026/08/07,Client_LOGI_7,paid
INV-LOGI-00008,ORD-LOGI-EX-00008,1620.50,2026/08/08,Client_LOGI_8,paid
INV-LOGI-00009,ORD-LOGI-EX-00009,1802.00,2026/08/09,Client_LOGI_9,paid
INV-LOGI-00010,ORD-LOGI-EX-00010,1983.50,2026/08/10,Client_LOGI_10,paid
INV-LOGI-00011,ORD-LOGI-EX-00011,2165.00,2026/08/11,Client_LOGI_11,paid
INV-LOGI-00012,ORD-LOGI-EX-00012,2346.50,2026/08/12,Client_LOGI_12,paid
INV-LOGI-00013,ORD-LOGI-EX-00013,2528.00,2026/08/13,Client_LOGI_13,paid
INV-LOGI-00014,ORD-LOGI-EX-00014,2709.50,2026/08/14,Client_LOGI_14,paid
INV-LOGI-00015,ORD-LOGI-EX-00015,2891.00,2026/08/15,Client_LOGI_15,paid
INV-LOGI-00016,ORD-LOGI-EX-00016,3072.50,2026/08/16,Client_LOGI_16,paid
INV-LOGI-00017,ORD-LOGI-EX-00017,3254.00,2026/08/17,Client_LOGI_17,paid
INV-LOGI-00018,ORD-LOGI-EX-00018,3435.50,2026/08/18,Client_LOGI_18,paid
INV-LOGI-00019,ORD-LOGI-EX-00019,3617.00,2026/08/19,Client_LOGI_19,paid
INV-LOGI-00020,ORD-LOGI-EX-00020,3798.50,2026/08/20,Client_LOGI_20,paid
INV-LOGI-00021,ORD-LOGI-EX-00021,3980.00,2026/08/21,Client_LOGI_21,paid
INV-LOGI-00022,ORD-LOGI-EX-00022,4161.50,2026/08/22,Client_LOGI_22,paid
INV-LOGI-00023,ORD-LOGI-EX-00023,4343.00,2026/08/23,Client_LOGI_23,paid
INV-LOGI-00024,ORD-LOGI-EX-00024,4524.50,2026/08/24,Client_LOGI_24,paid
INV-LOGI-00025,ORD-LOGI-EX-00025,4706.00,2026/08/25,Client_LOGI_25,paid
INV-LOGI-00026,ORD-LOGI-EX-00026,4887.50,2026/08/01,Client_LOGI_26,paid
INV-LOGI-00027,ORD-LOGI-EX-00027,5069.00,2026/08/02,Client_LOGI_27,paid
INV-LOGI-00028,ORD-LOGI-EX-00028,5250.50,2026/08/03,Client_LOGI_28,paid
INV-LOGI-00029,ORD-LOGI-EX-00029,5432.00,2026/08/04,Client_LOGI_29,paid
INV-LOGI-00030,ORD-LOGI-EX-00030,5613.50,2026/08/05,Client_LOGI_30,paid
INV-LOGI-00031,ORD-LOGI-EX-00031,5795.00,2026/08/06,Client_LOGI_31,paid
INV-LOGI-00032,ORD-LOGI-EX-00032,5976.50,2026/08/07,Client_LOGI_32,paid
INV-LOGI-00033,ORD-LOGI-EX-00033,6158.00,2026/08/08,Client_LOGI_33,paid
INV-LOGI-00034,ORD-LOGI-EX-00034,6339.50,2026/08/09,Client_LOGI_34,paid
INV-LOGI-00035,ORD-LOGI-EX-00035,6521.00,2026/08/10,Client_LOGI_35,paid
INV-LOGI-00036,ORD-LOGI-EX-00036,6702.50,2026/08/11,Client_LOGI_36,paid
INV-LOGI-00037,ORD-LOGI-EX-00037,6884.00,2026/08/12,Client_LOGI_37,paid
INV-LOGI-00038,ORD-LOGI-EX-00038,7065.50,2026/08/13,Client_LOGI_38,paid
INV-LOGI-00039,ORD-LOGI-EX-00039,7247.00,2026/08/14,Client_LOGI_39,paid
