remittance_id,consignee_order_id,net_cod_remittance,remittance_date,utr_no,status,freight_charge,gst_18,tds_194c
SET-LOGI-00001,ORD-LOGI-EX-00001,350.00,2026/08/05,UTRLOGI2026080000001,settled,0.00,0.00,0.00
SET-LOGI-00002,ORD-LOGI-EX-00002,531.50,2026/08/06,UTRLOGI2026080000002,settled,0.00,0.00,0.00
SET-LOGI-00003,ORD-LOGI-EX-00003,713.00,2026/08/07,UTRLOGI2026080000003,settled,0.00,0.00,0.00
SET-LOGI-00004,ORD-LOGI-EX-00004,894.50,2026/08/08,UTRLOGI2026080000004,settled,0.00,0.00,0.00
SET-LOGI-00005,ORD-LOGI-EX-00005,1076.00,2026/08/09,UTRLOGI2026080000005,settled,0.00,0.00,0.00
SET-LOGI-00006,ORD-LOGI-EX-00006,1257.50,2026/08/10,UTRLOGI2026080000006,settled,0.00,0.00,0.00
SET-LOGI-00007,ORD-LOGI-EX-00007,1439.00,2026/08/11,UTRLOGI2026080000007,settled,0.00,0.00,0.00
SET-LOGI-00008,ORD-LOGI-EX-00008,1620.50,2026/08/12,UTRLOGI2026080000008,settled,0.00,0.00,0.00
SET-LOGI-00009,ORD-LOGI-EX-00009,1802.00,2026/08/13,UTRLOGI2026080000009,settled,0.00,0.00,0.00
SET-LOGI-00010,ORD-LOGI-EX-00010,1983.50,2026/08/14,UTRLOGI2026080000010,settled,0.00,0.00,0.00
SET-LOGI-00011,ORD-LOGI-EX-00011,2165.00,2026/08/15,UTRLOGI2026080000011,settled,0.00,0.00,0.00
SET-LOGI-00012,ORD-LOGI-EX-00012,2346.50,2026/08/16,UTRLOGI2026080000012,settled,0.00,0.00,0.00
SET-LOGI-00013,ORD-LOGI-EX-00013,2528.00,2026/08/17,UTRLOGI2026080000013,settled,0.00,0.00,0.00
SET-LOGI-00014,ORD-LOGI-EX-00014,2709.50,2026/08/18,UTRLOGI2026080000014,settled,0.00,0.00,0.00
SET-LOGI-00015,ORD-LOGI-EX-00015,2891.00,2026/08/19,UTRLOGI2026080000015,settled,0.00,0.00,0.00
SET-LOGI-00016,ORD-LOGI-EX-00016,3072.50,2026/08/20,UTRLOGI2026080000016,settled,0.00,0.00,0.00
SET-LOGI-00017,ORD-LOGI-EX-00017,3254.00,2026/08/21,UTRLOGI2026080000017,settled,0.00,0.00,0.00
SET-LOGI-00018,ORD-LOGI-EX-00018,3435.50,2026/08/22,UTRLOGI2026080000018,settled,0.00,0.00,0.00
SET-LOGI-00019,ORD-LOGI-EX-00019,3617.00,2026/08/23,UTRLOGI2026080000019,settled,0.00,0.00,0.00
SET-LOGI-00020,ORD-LOGI-EX-00020,3798.50,2026/08/24,UTRLOGI2026080000020,settled,0.00,0.00,0.00
SET-LOGI-00021,ORD-LOGI-EX-00021,3980.00,2026/08/25,UTRLOGI2026080000021,settled,0.00,0.00,0.00
SET-LOGI-00022,ORD-LOGI-EX-00022,4161.50,2026/08/26,UTRLOGI2026080000022,settled,0.00,0.00,0.00
SET-LOGI-00023,ORD-LOGI-EX-00023,4343.00,2026/08/27,UTRLOGI2026080000023,settled,0.00,0.00,0.00
SET-LOGI-00024,ORD-LOGI-EX-00024,4524.50,2026/08/28,UTRLOGI2026080000024,settled,0.00,0.00,0.00
SET-LOGI-00025,ORD-LOGI-EX-00025,4706.00,2026/08/29,UTRLOGI2026080000025,settled,0.00,0.00,0.00
SET-LOGI-00026,ORD-LOGI-EX-00026,4887.50,2026/08/05,UTRLOGI2026080000026,settled,0.00,0.00,0.00
SET-LOGI-00027,ORD-LOGI-EX-00027,5069.00,2026/08/06,UTRLOGI2026080000027,settled,0.00,0.00,0.00
SET-LOGI-00028,ORD-LOGI-EX-00028,5250.50,2026/08/07,UTRLOGI2026080000028,settled,0.00,0.00,0.00
SET-LOGI-00029,ORD-LOGI-EX-00029,5432.00,2026/08/08,UTRLOGI2026080000029,settled,0.00,0.00,0.00
SET-LOGI-00030,ORD-LOGI-EX-00030,5613.50,2026/08/09,UTRLOGI2026080000030,settled,0.00,0.00,0.00
SET-LOGI-00031,ORD-LOGI-EX-00031,5795.00,2026/08/10,UTRLOGI2026080000031,settled,0.00,0.00,0.00
SET-LOGI-00032,ORD-LOGI-EX-00032,5976.50,2026/08/11,UTRLOGI2026080000032,settled,0.00,0.00,0.00
SET-LOGI-00033,ORD-LOGI-EX-00033,6158.00,2026/08/12,UTRLOGI2026080000033,settled,0.00,0.00,0.00
SET-LOGI-00034,ORD-LOGI-EX-00034,6339.50,2026/08/13,UTRLOGI2026080000034,settled,0.00,0.00,0.00
SET-LOGI-00035,ORD-LOGI-EX-00035,6521.00,2026/08/14,UTRLOGI2026080000035,settled,0.00,0.00,0.00
SET-LOGI-00036,ORD-LOGI-EX-00036,6702.50,2026/08/15,UTRLOGI2026080000036,settled,0.00,0.00,0.00
SET-LOGI-00037,ORD-LOGI-EX-00037,6884.00,2026/08/16,UTRLOGI2026080000037,settled,0.00,0.00,0.00
SET-LOGI-00038,ORD-LOGI-EX-00038,7065.50,2026/08/17,UTRLOGI2026080000038,settled,0.00,0.00,0.00
SET-LOGI-00039,ORD-LOGI-EX-00039,7247.00,2026/08/18,UTRLOGI2026080000039,settled,0.00,0.00,0.00
SET-LOGI-00040,ORD-LOGI-EX-00040,7428.50,2026/08/19,UTRLOGI2026080000040,settled,0.00,0.00,0.00
SET-LOGI-00041,ORD-LOGI-EX-00041,7610.00,2026/08/20,UTRLOGI2026080000041,settled,0.00,0.00,0.00
SET-LOGI-00042,ORD-LOGI-EX-00042,7791.50,2026/08/21,UTRLOGI2026080000042,settled,0.00,0.00,0.00
SET-LOGI-00043,ORD-LOGI-EX-00043,7973.00,2026/08/22,UTRLOGI2026080000043,settled,0.00,0.00,0.00
SET-LOGI-00044,ORD-LOGI-EX-00044,8154.50,2026/08/23,UTRLOGI2026080000044,settled,0.00,0.00,0.00
SET-LOGI-00045,ORD-LOGI-EX-00045,8336.00,2026/08/24,UTRLOGI2026080000045,settled,0.00,0.00,0.00
SET-LOGI-00046,ORD-LOGI-EX-00046,8517.50,2026/08/25,UTRLOGI2026080000046,settled,0.00,0.00,0.00
SET-LOGI-00047,ORD-LOGI-EX-00047,8699.00,2026/08/26,UTRLOGI2026080000047,settled,0.00,0.00,0.00
SET-LOGI-00048,ORD-LOGI-EX-00048,8880.50,2026/08/27,UTRLOGI2026080000048,settled,0.00,0.00,0.00
SET-LOGI-00049,ORD-LOGI-EX-00049,9062.00,2026/08/28,UTRLOGI2026080000049,settled,0.00,0.00,0.00
SET-LOGI-00050,ORD-LOGI-EX-00050,9243.50,2026/08/29,UTRLOGI2026080000050,settled,0.00,0.00,0.00
SET-LOGI-00051,ORD-LOGI-EX-00051,9425.00,2026/08/05,UTRLOGI2026080000051,settled,0.00,0.00,0.00
SET-LOGI-00052,ORD-LOGI-EX-00052,9606.50,2026/08/06,UTRLOGI2026080000052,settled,0.00,0.00,0.00
SET-LOGI-00053,ORD-LOGI-EX-00053,9788.00,2026/08/07,UTRLOGI2026080000053,settled,0.00,0.00,0.00
SET-LOGI-00054,ORD-LOGI-EX-00054,9969.50,2026/08/08,UTRLOGI2026080000054,settled,0.00,0.00,0.00
SET-LOGI-00055,ORD-LOGI-EX-00055,10151.00,2026/08/09,UTRLOGI2026080000055,settled,0.00,0.00,0.00
SET-LOGI-00056,ORD-LOGI-EX-00056,10332.50,2026/08/10,UTRLOGI2026080000056,settled,0.00,0.00,0.00
SET-LOGI-00057,ORD-LOGI-EX-00057,10514.00,2026/08/11,UTRLOGI2026080000057,settled,0.00,0.00,0.00
SET-LOGI-00058,ORD-LOGI-EX-00058,10695.50,2026/08/12,UTRLOGI2026080000058,settled,0.00,0.00,0.00
SET-LOGI-00059,ORD-LOGI-EX-00059,10877.00,2026/08/13,UTRLOGI2026080000059,settled,0.00,0.00,0.00
SET-LOGI-00060,ORD-LOGI-EX-00060,11058.50,2026/08/14,UTRLOGI2026080000060,settled,0.00,0.00,0.00
SET-LOGI-00061,ORD-LOGI-EX-00061,11240.00,2026/08/15,UTRLOGI2026080000061,settled,0.00,0.00,0.00
SET-LOGI-00062,ORD-LOGI-EX-00062,11421.50,2026/08/16,UTRLOGI2026080000062,settled,0.00,0.00,0.00
SET-LOGI-00063,ORD-LOGI-EX-00063,11603.00,2026/08/17,UTRLOGI2026080000063,settled,0.00,0.00,0.00
SET-LOGI-00064,ORD-LOGI-EX-00064,11784.50,2026/08/18,UTRLOGI2026080000064,settled,0.00,0.00,0.00
SET-LOGI-00065,ORD-LOGI-EX-00065,11966.00,2026/08/19,UTRLOGI2026080000065,settled,0.00,0.00,0.00
SET-LOGI-00066,ORD-LOGI-EX-00066,12147.50,2026/08/20,UTRLOGI2026080000066,settled,0.00,0.00,0.00
SET-LOGI-00067,ORD-LOGI-EX-00067,12329.00,2026/08/21,UTRLOGI2026080000067,settled,0.00,0.00,0.00
SET-LOGI-00068,ORD-LOGI-EX-00068,12510.50,2026/08/22,UTRLOGI2026080000068,settled,0.00,0.00,0.00
SET-LOGI-00069,ORD-LOGI-EX-00069,12692.00,2026/08/23,UTRLOGI2026080000069,settled,0.00,0.00,0.00
SET-LOGI-00070,ORD-LOGI-EX-00070,12873.50,2026/08/24,UTRLOGI2026080000070,settled,0.00,0.00,0.00
SET-LOGI-00071,ORD-LOGI-FEE-00071,2126.03,2026/08/05,UTRLOGI2026080000071,settled,38.97,0.00,0.00
SET-LOGI-00072,ORD-LOGI-FEE-00072,2304.26,2026/08/06,UTRLOGI2026080000072,settled,42.24,0.00,0.00
SET-LOGI-00073,ORD-LOGI-FEE-00073,2482.50,2026/08/07,UTRLOGI2026080000073,settled,45.50,0.00,0.00
SET-LOGI-00074,ORD-LOGI-FEE-00074,2660.73,2026/08/08,UTRLOGI2026080000074,settled,48.77,0.00,0.00
SET-LOGI-00075,ORD-LOGI-FEE-00075,2838.96,2026/08/09,UTRLOGI2026080000075,settled,52.04,0.00,0.00
SET-LOGI-00076,ORD-LOGI-FEE-00076,3017.19,2026/08/10,UTRLOGI2026080000076,settled,55.31,0.00,0.00
SET-LOGI-00077,ORD-LOGI-FEE-00077,3195.43,2026/08/11,UTRLOGI2026080000077,settled,58.57,0.00,0.00
SET-LOGI-00078,ORD-LOGI-FEE-00078,3373.66,2026/08/12,UTRLOGI2026080000078,settled,61.84,0.00,0.00
SET-LOGI-00079,ORD-LOGI-GST-00079,3895.46,2026/08/05,UTRLOGI2026080000079,settled,71.64,12.90,0.00
SET-LOGI-00080,ORD-LOGI-GST-00080,4073.11,2026/08/06,UTRLOGI2026080000080,settled,74.91,13.48,0.00
SET-LOGI-00081,ORD-LOGI-GST-00081,4250.76,2026/08/07,UTRLOGI2026080000081,settled,78.17,14.07,0.00
SET-LOGI-00082,ORD-LOGI-GST-00082,4428.40,2026/08/08,UTRLOGI2026080000082,settled,81.44,14.66,0.00
SET-LOGI-00083,ORD-LOGI-GST-00083,4606.04,2026/08/09,UTRLOGI2026080000083,settled,84.71,15.25,0.00
SET-LOGI-00084,ORD-LOGI-TDS-00084,5556.01,2026/08/05,UTRLOGI2026080000084,settled,104.31,18.78,115.90
SET-LOGI-00085,ORD-LOGI-TDS-00085,5730.03,2026/08/06,UTRLOGI2026080000085,settled,107.58,19.36,119.53
SET-LOGI-00086,ORD-LOGI-TDS-00086,5904.05,2026/08/07,UTRLOGI2026080000086,settled,110.84,19.95,123.16
SET-LOGI-00087,ORD-LOGI-AI-00087,7580.00,2026/08/05,UTRLOGI2026080000087,settled,30.00,0.00,0.00
SET-LOGI-00088,ORD-LOGI-AI-00088,7746.50,2026/08/06,UTRLOGI2026080000088,settled,45.00,0.00,0.00
SET-LOGI-00089,ORD-LOGI-AI-00089,7913.00,2026/08/07,UTRLOGI2026080000089,settled,60.00,0.00,0.00
SET-LOGI-00090,ORD-LOGI-AI-00090,8079.50,2026/08/08,UTRLOGI2026080000090,settled,75.00,0.00,0.00
SET-LOGI-00091,ORD-LOGI-AI-00091,8246.00,2026/08/09,UTRLOGI2026080000091,settled,90.00,0.00,0.00
SET-LOGI-00092,ORD-LOGI-AI-00092,8487.50,2026/08/10,UTRLOGI2026080000092,settled,30.00,0.00,0.00
SET-LOGI-00093,ORD-LOGI-EXC-00093,9425.00,2026/08/09,UTRLOGI2026080000093,pending,0.00,0.00,0.00
SET-LOGI-00094,ORD-LOGI-EXC-00094,9606.50,2026/08/10,UTRLOGI2026080000094,pending,0.00,0.00,0.00
SET-LOGI-00095,ORD-LOGI-EXC-00095,9788.00,2026/08/11,UTRLOGI2026080000095,pending,0.00,0.00,0.00
SET-LOGI-00096,ORD-LOGI-EXC-00096,9969.50,2026/08/12,UTRLOGI2026080000096,settled,0.00,0.00,0.00
SET-LOGI-00097,ORD-LOGI-EXC-00097,10151.00,2026/08/13,UTRLOGI2026080000097,pending,0.00,0.00,0.00
SET-LOGI-00098,ORD-LOGI-EXC-00098,10332.50,2026/08/14,UTRLOGI2026080000098,pending,0.00,0.00,0.00
SET-LOGI-00099,ORD-LOGI-EXC-00099,10514.00,2026/08/15,UTRLOGI2026080000099,pending,0.00,0.00,0.00
SET-LOGI-00100,ORD-LOGI-EXC-00100,10695.50,2026/08/16,UTRLOGI2026080000100,settled,0.00,0.00,0.00
