bank_ref,value_date,particulars,bank_ref_no,amount,balance,status
BNK-MARK-00001,04/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000001,UTRMARK2026080000001,₹800.00,"₹5,000,800.00",credited
BNK-MARK-00002,05/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000002,UTRMARK2026080000002,"₹1,242.00","₹5,002,042.00",credited
BNK-MARK-00003,06/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000003,UTRMARK2026080000003,"₹1,684.00","₹5,003,726.00",credited
BNK-MARK-00004,07/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000004,UTRMARK2026080000004,"₹2,126.00","₹5,005,852.00",credited
BNK-MARK-00005,08/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000005,UTRMARK2026080000005,"₹2,568.00","₹5,008,420.00",credited
BNK-MARK-00006,09/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000006,UTRMARK2026080000006,"₹3,010.00","₹5,011,430.00",credited
BNK-MARK-00007,10/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000007,UTRMARK2026080000007,"₹3,452.00","₹5,014,882.00",credited
BNK-MARK-00008,11/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000008,UTRMARK2026080000008,"₹3,894.00","₹5,018,776.00",credited
BNK-MARK-00009,12/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000009,UTRMARK2026080000009,"₹4,336.00","₹5,023,112.00",credited
BNK-MARK-00010,13/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000010,UTRMARK2026080000010,"₹4,778.00","₹5,027,890.00",credited
BNK-MARK-00011,14/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000011,UTRMARK2026080000011,"₹5,220.00","₹5,033,110.00",credited
BNK-MARK-00012,15/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000012,UTRMARK2026080000012,"₹5,662.00","₹5,038,772.00",credited
BNK-MARK-00013,16/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000013,UTRMARK2026080000013,"₹6,104.00","₹5,044,876.00",credited
BNK-MARK-00014,17/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000014,UTRMARK2026080000014,"₹6,546.00","₹5,051,422.00",credited
BNK-MARK-00015,18/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000015,UTRMARK2026080000015,"₹6,988.00","₹5,058,410.00",credited
BNK-MARK-00016,19/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000016,UTRMARK2026080000016,"₹7,430.00","₹5,065,840.00",credited
BNK-MARK-00017,20/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000017,UTRMARK2026080000017,"₹7,872.00","₹5,073,712.00",credited
BNK-MARK-00018,21/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000018,UTRMARK2026080000018,"₹8,314.00","₹5,082,026.00",credited
BNK-MARK-00019,22/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000019,UTRMARK2026080000019,"₹8,756.00","₹5,090,782.00",credited
BNK-MARK-00020,23/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000020,UTRMARK2026080000020,"₹9,198.00","₹5,099,980.00",credited
BNK-MARK-00021,24/08/2026,ACH CR RAZORPAY SETTLEMENT UTRMARK2026080000021,UTRMARK2026080000021,"₹9,640.00","₹5,109,620.00",credited
