scenario_id,merchant_type,category,expected_resolution,expected_rule,order_id,invoice_id,settlement_id,bank_txn_id,reference_number,invoice_amount,settlement_amount,bank_amount,explanation,likely_reason,exception_category
SCENARIO-MARK-00001,marketplace,exact_match,rule,exact_order_id,ORD-MARK-EX-00001,INV-MARK-00001,SET-MARK-00001,BNK-MARK-00001,UTRMARK2026080000001,800.00,800.00,800.00,"Exact match across order ID, UTR, and amount for BazaarHub Multi-Vendor Marketplace.",,
SCENARIO-MARK-00002,marketplace,exact_match,rule,exact_order_id,ORD-MARK-EX-00002,INV-MARK-00002,SET-MARK-00002,BNK-MARK-00002,UTRMARK2026080000002,1242.00,1242.00,1242.00,"Exact match across order ID, UTR, and amount for BazaarHub Multi-Vendor Marketplace.",,
SCENARIO-MARK-00003,marketplace,exact_match,rule,exact_order_id,ORD-MARK-EX-00003,INV-MARK-00003,SET-MARK-00003,BNK-MARK-00003,UTRMARK2026080000003,1684.00,1684.00,1684.00,"Exact match across order ID, UTR, and amount for BazaarHub Multi-Vendor Marketplace.",,
SCENARIO-MARK-00004,marketplace,exact_match,rule,exact_order_id,ORD-MARK-EX-00004,INV-MARK-00004,SET-MARK-00004,BNK-MARK-00004,UTRMARK2026080000004,2126.00,2126.00,2126.00,"Exact match across order ID, UTR, and amount for BazaarHub Multi-Vendor Marketplace.",,
SCENARIO-MARK-00005,marketplace,exact_match,rule,exact_order_id,ORD-MARK-EX-00005,INV-MARK-00005,SET-MARK-00005,BNK-MARK-00005,UTRMARK2026080000005,2568.00,2568.00,2568.00,"Exact match across order ID, UTR, and amount for BazaarHub Multi-Vendor Marketplace.",,
SCENARIO-MARK-00006,marketplace,exact_match,rule,exact_order_id,ORD-MARK-EX-00006,INV-MARK-00006,SET-MARK-00006,BNK-MARK-00006,UTRMARK2026080000006,3010.00,3010.00,3010.00,"Exact match across order ID, UTR, and amount for BazaarHub Multi-Vendor Marketplace.",,
SCENARIO-MARK-00007,marketplace,exact_match,rule,exact_order_id,ORD-MARK-EX-00007,INV-MARK-00007,SET-MARK-00007,BNK-MARK-00007,UTRMARK2026080000007,3452.00,3452.00,3452.00,"Exact match across order ID, UTR, and amount for BazaarHub Multi-Vendor Marketplace.",,
SCENARIO-MARK-00008,marketplace,exact_match,rule,exact_order_id,ORD-MARK-EX-00008,INV-MARK-00008,SET-MARK-00008,BNK-MARK-00008,UTRMARK2026080000008,3894.00,3894.00,3894.00,"Exact match across order ID, UTR, and amount for BazaarHub Multi-Vendor Marketplace.",,
SCENARIO-MARK-00009,marketplace,exact_match,rule,exact_order_id,ORD-MARK-EX-00009,INV-MARK-00009,SET-MARK-00009,BNK-MARK-00009,UTRMARK2026080000009,4336.00,4336.00,4336.00,"Exact match across order ID, UTR, and amount for BazaarHub Multi-Vendor Marketplace.",,
SCENARIO-MARK-00010,marketplace,exact_match,rule,exact_order_id,ORD-MARK-EX-00010,INV-MARK-00010,SET-MARK-00010,BNK-MARK-00010,UTRMARK2026080000010,4778.00,4778.00,4778.00,"Exact match across order ID, UTR, and amount for BazaarHub Multi-Vendor Marketplace.",,
SCENARIO-MARK-00011,marketplace,exact_match,rule,exact_order_id,ORD-MARK-EX-00011,INV-MARK-00011,SET-MARK-00011,BNK-MARK-00011,UTRMARK2026080000011,5220.00,5220.00,5220.00,"Exact match across order ID, UTR, and amount for BazaarHub Multi-Vendor Marketplace.",,
SCENARIO-MARK-00012,marketplace,exact_match,rule,exact_order_id,ORD-MARK-EX-00012,INV-MARK-00012,SET-MARK-00012,BNK-MARK-00012,UTRMARK2026080000012,5662.00,5662.00,5662.00,"Exact match across order ID, UTR, and amount for BazaarHub Multi-Vendor Marketplace.",,
SCENARIO-MARK-00013,marketplace,exact_match,rule,exact_order_id,ORD-MARK-EX-00013,INV-MARK-00013,SET-MARK-00013,BNK-MARK-00013,UTRMARK2026080000013,6104.00,6104.00,6104.00,"Exact match across order ID, UTR, and amount for BazaarHub Multi-Vendor Marketplace.",,
SCENARIO-MARK-00014,marketplace,exact_match,rule,exact_order_id,ORD-MARK-EX-00014,INV-MARK-00014,SET-MARK-00014,BNK-MARK-00014,UTRMARK2026080000014,6546.00,6546.00,6546.00,"Exact match across order ID, UTR, and amount for BazaarHub Multi-Vendor Marketplace.",,
SCENARIO-MARK-00015,marketplace,exact_match,rule,exact_order_id,ORD-MARK-EX-00015,INV-MARK-00015,SET-MARK-00015,BNK-MARK-00015,UTRMARK2026080000015,6988.00,6988.00,6988.00,"Exact match across order ID, UTR, and amount for BazaarHub Multi-Vendor Marketplace.",,
SCENARIO-MARK-00016,marketplace,exact_match,rule,exact_order_id,ORD-MARK-EX-00016,INV-MARK-00016,SET-MARK-00016,BNK-MARK-00016,UTRMARK2026080000016,7430.00,7430.00,7430.00,"Exact match across order ID, UTR, and amount for BazaarHub Multi-Vendor Marketplace.",,
SCENARIO-MARK-00017,marketplace,exact_match,rule,exact_order_id,ORD-MARK-EX-00017,INV-MARK-00017,SET-MARK-00017,BNK-MARK-00017,UTRMARK2026080000017,7872.00,7872.00,7872.00,"Exact match across order ID, UTR, and amount for BazaarHub Multi-Vendor Marketplace.",,
SCENARIO-MARK-00018,marketplace,exact_match,rule,exact_order_id,ORD-MARK-EX-00018,INV-MARK-00018,SET-MARK-00018,BNK-MARK-00018,UTRMARK2026080000018,8314.00,8314.00,8314.00,"Exact match across order ID, UTR, and amount for BazaarHub Multi-Vendor Marketplace.",,
SCENARIO-MARK-00019,marketplace,exact_match,rule,exact_order_id,ORD-MARK-EX-00019,INV-MARK-00019,SET-MARK-00019,BNK-MARK-00019,UTRMARK2026080000019,8756.00,8756.00,8756.00,"Exact match across order ID, UTR, and amount for BazaarHub Multi-Vendor Marketplace.",,
SCENARIO-MARK-00020,marketplace,exact_match,rule,exact_order_id,ORD-MARK-EX-00020,INV-MARK-00020,SET-MARK-00020,BNK-MARK-00020,UTRMARK2026080000020,9198.00,9198.00,9198.00,"Exact match across order ID, UTR, and amount for BazaarHub Multi-Vendor Marketplace.",,
SCENARIO-MARK-00021,marketplace,exact_match,rule,exact_order_id,ORD-MARK-EX-00021,INV-MARK-00021,SET-MARK-00021,BNK-MARK-00021,UTRMARK2026080000021,9640.00,9640.00,9640.00,"Exact match across order ID, UTR, and amount for BazaarHub Multi-Vendor Marketplace.",,
SCENARIO-MARK-00022,marketplace,exact_match,rule,exact_order_id,ORD-MARK-EX-00022,INV-MARK-00022,SET-MARK-00022,BNK-MARK-00022,UTRMARK2026080000022,10082.00,10082.00,10082.00,"Exact match across order ID, UTR, and amount for BazaarHub Multi-Vendor Marketplace.",,
SCENARIO-MARK-00023,marketplace,exact_match,rule,exact_order_id,ORD-MARK-EX-00023,INV-MARK-00023,SET-MARK-00023,BNK-MARK-00023,UTRMARK2026080000023,10524.00,10524.00,10524.00,"Exact match across order ID, UTR, and amount for BazaarHub Multi-Vendor Marketplace.",,
SCENARIO-MARK-00024,marketplace,exact_match,rule,exact_order_id,ORD-MARK-EX-00024,INV-MARK-00024,SET-MARK-00024,BNK-MARK-00024,UTRMARK2026080000024,10966.00,10966.00,10966.00,"Exact match across order ID, UTR, and amount for BazaarHub Multi-Vendor Marketplace.",,
SCENARIO-MARK-00025,marketplace,exact_match,rule,exact_order_id,ORD-MARK-EX-00025,INV-MARK-00025,SET-MARK-00025,BNK-MARK-00025,UTRMARK2026080000025,11408.00,11408.00,11408.00,"Exact match across order ID, UTR, and amount for BazaarHub Multi-Vendor Marketplace.",,
SCENARIO-MARK-00026,marketplace,exact_match,rule,exact_order_id,ORD-MARK-EX-00026,INV-MARK-00026,SET-MARK-00026,BNK-MARK-00026,UTRMARK2026080000026,11850.00,11850.00,11850.00,"Exact match across order ID, UTR, and amount for BazaarHub Multi-Vendor Marketplace.",,
SCENARIO-MARK-00027,marketplace,exact_match,rule,exact_order_id,ORD-MARK-EX-00027,INV-MARK-00027,SET-MARK-00027,BNK-MARK-00027,UTRMARK2026080000027,12292.00,12292.00,12292.00,"Exact match across order ID, UTR, and amount for BazaarHub Multi-Vendor Marketplace.",,
SCENARIO-MARK-00028,marketplace,exact_match,rule,exact_order_id,ORD-MARK-EX-00028,INV-MARK-00028,SET-MARK-00028,BNK-MARK-00028,UTRMARK2026080000028,12734.00,12734.00,12734.00,"Exact match across order ID, UTR, and amount for BazaarHub Multi-Vendor Marketplace.",,
SCENARIO-MARK-00029,marketplace,exact_match,rule,exact_order_id,ORD-MARK-EX-00029,INV-MARK-00029,SET-MARK-00029,BNK-MARK-00029,UTRMARK2026080000029,13176.00,13176.00,13176.00,"Exact match across order ID, UTR, and amount for BazaarHub Multi-Vendor Marketplace.",,
SCENARIO-MARK-00030,marketplace,exact_match,rule,exact_order_id,ORD-MARK-EX-00030,INV-MARK-00030,SET-MARK-00030,BNK-MARK-00030,UTRMARK2026080000030,13618.00,13618.00,13618.00,"Exact match across order ID, UTR, and amount for BazaarHub Multi-Vendor Marketplace.",,
SCENARIO-MARK-00031,marketplace,exact_match,rule,exact_order_id,ORD-MARK-EX-00031,INV-MARK-00031,SET-MARK-00031,BNK-MARK-00031,UTRMARK2026080000031,14060.00,14060.00,14060.00,"Exact match across order ID, UTR, and amount for BazaarHub Multi-Vendor Marketplace.",,
SCENARIO-MARK-00032,marketplace,exact_match,rule,exact_order_id,ORD-MARK-EX-00032,INV-MARK-00032,SET-MARK-00032,BNK-MARK-00032,UTRMARK2026080000032,14502.00,14502.00,14502.00,"Exact match across order ID, UTR, and amount for BazaarHub Multi-Vendor Marketplace.",,
SCENARIO-MARK-00033,marketplace,exact_match,rule,exact_order_id,ORD-MARK-EX-00033,INV-MARK-00033,SET-MARK-00033,BNK-MARK-00033,UTRMARK2026080000033,14944.00,14944.00,14944.00,"Exact match across order ID, UTR, and amount for BazaarHub Multi-Vendor Marketplace.",,
SCENARIO-MARK-00034,marketplace,exact_match,rule,exact_order_id,ORD-MARK-EX-00034,INV-MARK-00034,SET-MARK-00034,BNK-MARK-00034,UTRMARK2026080000034,15386.00,15386.00,15386.00,"Exact match across order ID, UTR, and amount for BazaarHub Multi-Vendor Marketplace.",,
SCENARIO-MARK-00035,marketplace,exact_match,rule,exact_order_id,ORD-MARK-EX-00035,INV-MARK-00035,SET-MARK-00035,BNK-MARK-00035,UTRMARK2026080000035,15828.00,15828.00,15828.00,"Exact match across order ID, UTR, and amount for BazaarHub Multi-Vendor Marketplace.",,
