invoice_number,order_number,gross_amount,created_date,buyer_name,status
INV-MAR-0001,ORD-MAR-EX-0001,"₹1,000.00",01/08/2026,Customer_MAR_1,paid
INV-MAR-0002,ORD-MAR-EX-0002,"₹1,125.50",02/08/2026,Customer_MAR_2,paid
INV-MAR-0003,ORD-MAR-EX-0003,"₹1,251.00",03/08/2026,Customer_MAR_3,paid
INV-MAR-0004,ORD-MAR-EX-0004,"₹1,376.50",04/08/2026,Customer_MAR_4,paid
INV-MAR-0005,ORD-MAR-EX-0005,"₹1,502.00",05/08/2026,Customer_MAR_5,paid
INV-MAR-0006,ORD-MAR-EX-0006,"₹1,627.50",06/08/2026,Customer_MAR_6,paid
INV-MAR-0007,ORD-MAR-EX-0007,"₹1,753.00",07/08/2026,Customer_MAR_7,paid
INV-MAR-0008,ORD-MAR-EX-0008,"₹1,878.50",08/08/2026,Customer_MAR_8,paid
INV-MAR-0009,ORD-MAR-EX-0009,"₹2,004.00",09/08/2026,Customer_MAR_9,paid
INV-MAR-0010,ORD-MAR-EX-0010,"₹2,129.50",10/08/2026,Customer_MAR_10,paid
INV-MAR-0011,ORD-MAR-EX-0011,"₹2,255.00",11/08/2026,Customer_MAR_11,paid
INV-MAR-0012,ORD-MAR-EX-0012,"₹2,380.50",12/08/2026,Customer_MAR_12,paid
INV-MAR-0013,ORD-MAR-EX-0013,"₹2,506.00",13/08/2026,Customer_MAR_13,paid
INV-MAR-0014,ORD-MAR-EX-0014,"₹2,631.50",14/08/2026,Customer_MAR_14,paid
INV-MAR-0015,ORD-MAR-EX-0015,"₹2,757.00",15/08/2026,Customer_MAR_15,paid
INV-MAR-0016,ORD-MAR-EX-0016,"₹2,882.50",01/08/2026,Customer_MAR_16,paid
INV-MAR-0017,ORD-MAR-EX-0017,"₹3,008.00",02/08/2026,Customer_MAR_17,paid
INV-MAR-0018,ORD-MAR-EX-0018,"₹3,133.50",03/08/2026,Customer_MAR_18,paid
INV-MAR-0019,ORD-MAR-EX-0019,"₹3,259.00",04/08/2026,Customer_MAR_19,paid
INV-MAR-0020,ORD-MAR-EX-0020,"₹3,384.50",05/08/2026,Customer_MAR_20,paid
INV-MAR-0021,ORD-MAR-EX-0021,"₹3,510.00",06/08/2026,Customer_MAR_21,paid
INV-MAR-0022,ORD-MAR-EX-0022,"₹3,635.50",07/08/2026,Customer_MAR_22,paid
INV-MAR-0023,ORD-MAR-EX-0023,"₹3,761.00",08/08/2026,Customer_MAR_23,paid
INV-MAR-0024,ORD-MAR-EX-0024,"₹3,886.50",09/08/2026,Customer_MAR_24,paid
INV-MAR-0025,ORD-MAR-EX-0025,"₹4,012.00",10/08/2026,Customer_MAR_25,paid
INV-MAR-0026,ORD-MAR-EX-0026,"₹4,137.50",11/08/2026,Customer_MAR_26,paid
INV-MAR-0027,ORD-MAR-EX-0027,"₹4,263.00",12/08/2026,Customer_MAR_27,paid
INV-MAR-0028,ORD-MAR-EX-0028,"₹4,388.50",13/08/2026,Customer_MAR_28,paid
INV-MAR-0029,ORD-MAR-EX-0029,"₹4,514.00",14/08/2026,Customer_MAR_29,paid
INV-MAR-0030,ORD-MAR-EX-0030,"₹4,639.50",15/08/2026,Customer_MAR_30,paid
INV-MAR-0031,ORD-MAR-EX-0031,"₹4,765.00",01/08/2026,Customer_MAR_31,paid
INV-MAR-0032,ORD-MAR-EX-0032,"₹4,890.50",02/08/2026,Customer_MAR_32,paid
INV-MAR-0033,ORD-MAR-EX-0033,"₹5,016.00",03/08/2026,Customer_MAR_33,paid
INV-MAR-0034,ORD-MAR-EX-0034,"₹5,141.50",04/08/2026,Customer_MAR_34,paid
INV-MAR-0035,ORD-MAR-EX-0035,"₹5,267.00",05/08/2026,Customer_MAR_35,paid
INV-MAR-0036,ORD-MAR-EX-0036,"₹5,392.50",06/08/2026,Customer_MAR_36,paid
INV-MAR-0037,ORD-MAR-EX-0037,"₹5,518.00",07/08/2026,Customer_MAR_37,paid
INV-MAR-0038,ORD-MAR-EX-0038,"₹5,643.50",08/08/2026,Customer_MAR_38,paid
INV-MAR-0039,ORD-MAR-EX-0039,"₹5,769.00",09/08/2026,Customer_MAR_39,paid
INV-MAR-0040,ORD-MAR-EX-0040,"₹5,894.50",10/08/2026,Customer_MAR_40,paid
INV-MAR-0041,ORD-MAR-EX-0041,"₹6,020.00",11/08/2026,Customer_MAR_41,paid
INV-MAR-0042,ORD-MAR-EX-0042,"₹6,145.50",12/08/2026,Customer_MAR_42,paid
INV-MAR-0043,ORD-MAR-EX-0043,"₹6,271.00",13/08/2026,Customer_MAR_43,paid
INV-MAR-0044,ORD-MAR-EX-0044,"₹6,396.50",14/08/2026,Customer_MAR_44,paid
INV-MAR-0045,ORD-MAR-EX-0045,"₹6,522.00",15/08/2026,Customer_MAR_45,paid
