payout_id,order_number,settlement_amount,settled_at,bank_ref_no,status,processing_fees,tax_amount,withholding_tax
SET-MARK-00001,ORD-MARK-EX-00001,₹800.00,04/08/2026,UTRMARK2026080000001,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00002,ORD-MARK-EX-00002,"₹1,242.00",05/08/2026,UTRMARK2026080000002,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00003,ORD-MARK-EX-00003,"₹1,684.00",06/08/2026,UTRMARK2026080000003,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00004,ORD-MARK-EX-00004,"₹2,126.00",07/08/2026,UTRMARK2026080000004,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00005,ORD-MARK-EX-00005,"₹2,568.00",08/08/2026,UTRMARK2026080000005,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00006,ORD-MARK-EX-00006,"₹3,010.00",09/08/2026,UTRMARK2026080000006,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00007,ORD-MARK-EX-00007,"₹3,452.00",10/08/2026,UTRMARK2026080000007,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00008,ORD-MARK-EX-00008,"₹3,894.00",11/08/2026,UTRMARK2026080000008,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00009,ORD-MARK-EX-00009,"₹4,336.00",12/08/2026,UTRMARK2026080000009,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00010,ORD-MARK-EX-00010,"₹4,778.00",13/08/2026,UTRMARK2026080000010,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00011,ORD-MARK-EX-00011,"₹5,220.00",14/08/2026,UTRMARK2026080000011,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00012,ORD-MARK-EX-00012,"₹5,662.00",15/08/2026,UTRMARK2026080000012,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00013,ORD-MARK-EX-00013,"₹6,104.00",16/08/2026,UTRMARK2026080000013,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00014,ORD-MARK-EX-00014,"₹6,546.00",17/08/2026,UTRMARK2026080000014,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00015,ORD-MARK-EX-00015,"₹6,988.00",18/08/2026,UTRMARK2026080000015,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00016,ORD-MARK-EX-00016,"₹7,430.00",19/08/2026,UTRMARK2026080000016,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00017,ORD-MARK-EX-00017,"₹7,872.00",20/08/2026,UTRMARK2026080000017,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00018,ORD-MARK-EX-00018,"₹8,314.00",21/08/2026,UTRMARK2026080000018,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00019,ORD-MARK-EX-00019,"₹8,756.00",22/08/2026,UTRMARK2026080000019,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00020,ORD-MARK-EX-00020,"₹9,198.00",23/08/2026,UTRMARK2026080000020,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00021,ORD-MARK-EX-00021,"₹9,640.00",24/08/2026,UTRMARK2026080000021,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00022,ORD-MARK-EX-00022,"₹10,082.00",25/08/2026,UTRMARK2026080000022,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00023,ORD-MARK-EX-00023,"₹10,524.00",26/08/2026,UTRMARK2026080000023,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00024,ORD-MARK-EX-00024,"₹10,966.00",27/08/2026,UTRMARK2026080000024,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00025,ORD-MARK-EX-00025,"₹11,408.00",28/08/2026,UTRMARK2026080000025,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00026,ORD-MARK-EX-00026,"₹11,850.00",04/08/2026,UTRMARK2026080000026,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00027,ORD-MARK-EX-00027,"₹12,292.00",05/08/2026,UTRMARK2026080000027,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00028,ORD-MARK-EX-00028,"₹12,734.00",06/08/2026,UTRMARK2026080000028,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00029,ORD-MARK-EX-00029,"₹13,176.00",07/08/2026,UTRMARK2026080000029,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00030,ORD-MARK-EX-00030,"₹13,618.00",08/08/2026,UTRMARK2026080000030,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00031,ORD-MARK-EX-00031,"₹14,060.00",09/08/2026,UTRMARK2026080000031,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00032,ORD-MARK-EX-00032,"₹14,502.00",10/08/2026,UTRMARK2026080000032,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00033,ORD-MARK-EX-00033,"₹14,944.00",11/08/2026,UTRMARK2026080000033,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00034,ORD-MARK-EX-00034,"₹15,386.00",12/08/2026,UTRMARK2026080000034,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00035,ORD-MARK-EX-00035,"₹15,828.00",13/08/2026,UTRMARK2026080000035,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00036,ORD-MARK-EX-00036,"₹16,270.00",14/08/2026,UTRMARK2026080000036,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00037,ORD-MARK-EX-00037,"₹16,712.00",15/08/2026,UTRMARK2026080000037,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00038,ORD-MARK-EX-00038,"₹17,154.00",16/08/2026,UTRMARK2026080000038,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00039,ORD-MARK-EX-00039,"₹17,596.00",17/08/2026,UTRMARK2026080000039,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00040,ORD-MARK-EX-00040,"₹18,038.00",18/08/2026,UTRMARK2026080000040,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00041,ORD-MARK-EX-00041,"₹18,480.00",19/08/2026,UTRMARK2026080000041,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00042,ORD-MARK-EX-00042,"₹18,922.00",20/08/2026,UTRMARK2026080000042,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00043,ORD-MARK-EX-00043,"₹19,364.00",21/08/2026,UTRMARK2026080000043,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00044,ORD-MARK-EX-00044,"₹19,806.00",22/08/2026,UTRMARK2026080000044,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00045,ORD-MARK-EX-00045,"₹20,248.00",23/08/2026,UTRMARK2026080000045,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00046,ORD-MARK-EX-00046,"₹20,690.00",24/08/2026,UTRMARK2026080000046,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00047,ORD-MARK-EX-00047,"₹21,132.00",25/08/2026,UTRMARK2026080000047,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00048,ORD-MARK-EX-00048,"₹21,574.00",26/08/2026,UTRMARK2026080000048,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00049,ORD-MARK-EX-00049,"₹22,016.00",27/08/2026,UTRMARK2026080000049,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00050,ORD-MARK-EX-00050,"₹22,458.00",28/08/2026,UTRMARK2026080000050,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00051,ORD-MARK-EX-00051,"₹22,900.00",04/08/2026,UTRMARK2026080000051,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00052,ORD-MARK-EX-00052,"₹23,342.00",05/08/2026,UTRMARK2026080000052,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00053,ORD-MARK-EX-00053,"₹23,784.00",06/08/2026,UTRMARK2026080000053,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00054,ORD-MARK-EX-00054,"₹24,226.00",07/08/2026,UTRMARK2026080000054,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00055,ORD-MARK-EX-00055,"₹24,668.00",08/08/2026,UTRMARK2026080000055,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00056,ORD-MARK-EX-00056,"₹25,110.00",09/08/2026,UTRMARK2026080000056,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00057,ORD-MARK-EX-00057,"₹25,552.00",10/08/2026,UTRMARK2026080000057,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00058,ORD-MARK-EX-00058,"₹25,994.00",11/08/2026,UTRMARK2026080000058,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00059,ORD-MARK-EX-00059,"₹26,436.00",12/08/2026,UTRMARK2026080000059,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00060,ORD-MARK-EX-00060,"₹26,878.00",13/08/2026,UTRMARK2026080000060,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00061,ORD-MARK-EX-00061,"₹27,320.00",14/08/2026,UTRMARK2026080000061,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00062,ORD-MARK-EX-00062,"₹27,762.00",15/08/2026,UTRMARK2026080000062,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00063,ORD-MARK-EX-00063,"₹28,204.00",16/08/2026,UTRMARK2026080000063,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00064,ORD-MARK-EX-00064,"₹28,646.00",17/08/2026,UTRMARK2026080000064,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00065,ORD-MARK-EX-00065,"₹29,088.00",18/08/2026,UTRMARK2026080000065,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00066,ORD-MARK-EX-00066,"₹29,530.00",19/08/2026,UTRMARK2026080000066,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00067,ORD-MARK-EX-00067,"₹29,972.00",20/08/2026,UTRMARK2026080000067,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00068,ORD-MARK-EX-00068,"₹30,414.00",21/08/2026,UTRMARK2026080000068,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00069,ORD-MARK-EX-00069,"₹30,856.00",22/08/2026,UTRMARK2026080000069,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00070,ORD-MARK-EX-00070,"₹31,298.00",23/08/2026,UTRMARK2026080000070,settled,₹0.00,₹0.00,₹0.00
SET-MARK-00071,ORD-MARK-FEE-00071,"₹5,126.04",04/08/2026,UTRMARK2026080000071,settled,₹93.96,₹0.00,₹0.00
SET-MARK-00072,ORD-MARK-FEE-00072,"₹5,560.08",05/08/2026,UTRMARK2026080000072,settled,₹101.92,₹0.00,₹0.00
SET-MARK-00073,ORD-MARK-FEE-00073,"₹5,994.13",06/08/2026,UTRMARK2026080000073,settled,₹109.87,₹0.00,₹0.00
SET-MARK-00074,ORD-MARK-FEE-00074,"₹6,428.17",07/08/2026,UTRMARK2026080000074,settled,₹117.83,₹0.00,₹0.00
SET-MARK-00075,ORD-MARK-FEE-00075,"₹6,862.22",08/08/2026,UTRMARK2026080000075,settled,₹125.78,₹0.00,₹0.00
SET-MARK-00076,ORD-MARK-FEE-00076,"₹7,296.26",09/08/2026,UTRMARK2026080000076,settled,₹133.74,₹0.00,₹0.00
SET-MARK-00077,ORD-MARK-FEE-00077,"₹7,730.30",10/08/2026,UTRMARK2026080000077,settled,₹141.70,₹0.00,₹0.00
SET-MARK-00078,ORD-MARK-FEE-00078,"₹8,164.35",11/08/2026,UTRMARK2026080000078,settled,₹149.65,₹0.00,₹0.00
SET-MARK-00079,ORD-MARK-GST-00079,"₹9,435.25",04/08/2026,UTRMARK2026080000079,settled,₹173.52,₹31.23,₹0.00
SET-MARK-00080,ORD-MARK-GST-00080,"₹9,867.85",05/08/2026,UTRMARK2026080000080,settled,₹181.48,₹32.67,₹0.00
SET-MARK-00081,ORD-MARK-GST-00081,"₹10,300.47",06/08/2026,UTRMARK2026080000081,settled,₹189.43,₹34.10,₹0.00
SET-MARK-00082,ORD-MARK-GST-00082,"₹10,733.08",07/08/2026,UTRMARK2026080000082,settled,₹197.39,₹35.53,₹0.00
SET-MARK-00083,ORD-MARK-GST-00083,"₹11,165.70",08/08/2026,UTRMARK2026080000083,settled,₹205.34,₹36.96,₹0.00
SET-MARK-00084,ORD-MARK-TDS-00084,"₹13,620.77",04/08/2026,UTRMARK2026080000084,settled,₹253.08,₹45.55,₹140.60
SET-MARK-00085,ORD-MARK-TDS-00085,"₹14,048.95",05/08/2026,UTRMARK2026080000085,settled,₹261.04,₹46.99,₹145.02
SET-MARK-00086,ORD-MARK-TDS-00086,"₹14,477.15",06/08/2026,UTRMARK2026080000086,settled,₹268.99,₹48.42,₹149.44
SET-MARK-00087,ORD-MARK-AI-00087,"₹18,450.00",04/08/2026,UTRMARK2026080000087,settled,₹30.00,₹0.00,₹0.00
SET-MARK-00088,ORD-MARK-AI-00088,"₹18,877.00",05/08/2026,UTRMARK2026080000088,settled,₹45.00,₹0.00,₹0.00
SET-MARK-00089,ORD-MARK-AI-00089,"₹19,304.00",06/08/2026,UTRMARK2026080000089,settled,₹60.00,₹0.00,₹0.00
SET-MARK-00090,ORD-MARK-AI-00090,"₹19,731.00",07/08/2026,UTRMARK2026080000090,settled,₹75.00,₹0.00,₹0.00
SET-MARK-00091,ORD-MARK-AI-00091,"₹20,158.00",08/08/2026,UTRMARK2026080000091,settled,₹90.00,₹0.00,₹0.00
SET-MARK-00092,ORD-MARK-AI-00092,"₹20,660.00",09/08/2026,UTRMARK2026080000092,settled,₹30.00,₹0.00,₹0.00
SET-MARK-00093,ORD-MARK-EXC-00093,"₹22,900.00",08/08/2026,UTRMARK2026080000093,pending,₹0.00,₹0.00,₹0.00
SET-MARK-00094,ORD-MARK-EXC-00094,"₹23,342.00",09/08/2026,UTRMARK2026080000094,pending,₹0.00,₹0.00,₹0.00
SET-MARK-00095,ORD-MARK-EXC-00095,"₹23,784.00",10/08/2026,UTRMARK2026080000095,pending,₹0.00,₹0.00,₹0.00
SET-MARK-00096,ORD-MARK-EXC-00096,"₹24,226.00",11/08/2026,UTRMARK2026080000096,settled,₹0.00,₹0.00,₹0.00
