entry_id,trans_date,memo,rrn,amount,account_balance,state
BNK-REST-00001,02/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000001,UTRREST2026080000001,250.00,5000250.00,credited
BNK-REST-00002,03/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000002,UTRREST2026080000002,332.50,5000582.50,credited
BNK-REST-00003,04/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000003,UTRREST2026080000003,415.00,5000997.50,credited
BNK-REST-00004,05/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000004,UTRREST2026080000004,497.50,5001495.00,credited
BNK-REST-00005,06/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000005,UTRREST2026080000005,580.00,5002075.00,credited
BNK-REST-00006,07/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000006,UTRREST2026080000006,662.50,5002737.50,credited
BNK-REST-00007,08/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000007,UTRREST2026080000007,745.00,5003482.50,credited
BNK-REST-00008,09/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000008,UTRREST2026080000008,827.50,5004310.00,credited
BNK-REST-00009,10/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000009,UTRREST2026080000009,910.00,5005220.00,credited
BNK-REST-00010,11/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000010,UTRREST2026080000010,992.50,5006212.50,credited
BNK-REST-00011,12/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000011,UTRREST2026080000011,1075.00,5007287.50,credited
BNK-REST-00012,13/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000012,UTRREST2026080000012,1157.50,5008445.00,credited
BNK-REST-00013,14/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000013,UTRREST2026080000013,1240.00,5009685.00,credited
BNK-REST-00014,15/08/2026,ACH CR RAZORPAY SETTLEMENT UTRREST2026080000014,UTRREST2026080000014,1322.50,5011007.50,credited
