scenario_id,merchant_type,category,expected_resolution,expected_rule,order_id,invoice_id,settlement_id,bank_txn_id,reference_number,invoice_amount,settlement_amount,bank_amount,explanation,likely_reason,exception_category
SCENARIO-REST-00001,restaurant,exact_match,rule,exact_order_id,ORD-REST-EX-00001,INV-REST-00001,SET-REST-00001,BNK-REST-00001,UTRREST2026080000001,250.00,250.00,250.00,"Exact match across order ID, UTR, and amount for SpiceRoute Hospitality & Dine-in.",,
SCENARIO-REST-00002,restaurant,exact_match,rule,exact_order_id,ORD-REST-EX-00002,INV-REST-00002,SET-REST-00002,BNK-REST-00002,UTRREST2026080000002,332.50,332.50,332.50,"Exact match across order ID, UTR, and amount for SpiceRoute Hospitality & Dine-in.",,
SCENARIO-REST-00003,restaurant,exact_match,rule,exact_order_id,ORD-REST-EX-00003,INV-REST-00003,SET-REST-00003,BNK-REST-00003,UTRREST2026080000003,415.00,415.00,415.00,"Exact match across order ID, UTR, and amount for SpiceRoute Hospitality & Dine-in.",,
SCENARIO-REST-00004,restaurant,exact_match,rule,exact_order_id,ORD-REST-EX-00004,INV-REST-00004,SET-REST-00004,BNK-REST-00004,UTRREST2026080000004,497.50,497.50,497.50,"Exact match across order ID, UTR, and amount for SpiceRoute Hospitality & Dine-in.",,
SCENARIO-REST-00005,restaurant,exact_match,rule,exact_order_id,ORD-REST-EX-00005,INV-REST-00005,SET-REST-00005,BNK-REST-00005,UTRREST2026080000005,580.00,580.00,580.00,"Exact match across order ID, UTR, and amount for SpiceRoute Hospitality & Dine-in.",,
SCENARIO-REST-00006,restaurant,exact_match,rule,exact_order_id,ORD-REST-EX-00006,INV-REST-00006,SET-REST-00006,BNK-REST-00006,UTRREST2026080000006,662.50,662.50,662.50,"Exact match across order ID, UTR, and amount for SpiceRoute Hospitality & Dine-in.",,
SCENARIO-REST-00007,restaurant,exact_match,rule,exact_order_id,ORD-REST-EX-00007,INV-REST-00007,SET-REST-00007,BNK-REST-00007,UTRREST2026080000007,745.00,745.00,745.00,"Exact match across order ID, UTR, and amount for SpiceRoute Hospitality & Dine-in.",,
SCENARIO-REST-00008,restaurant,exact_match,rule,exact_order_id,ORD-REST-EX-00008,INV-REST-00008,SET-REST-00008,BNK-REST-00008,UTRREST2026080000008,827.50,827.50,827.50,"Exact match across order ID, UTR, and amount for SpiceRoute Hospitality & Dine-in.",,
SCENARIO-REST-00009,restaurant,exact_match,rule,exact_order_id,ORD-REST-EX-00009,INV-REST-00009,SET-REST-00009,BNK-REST-00009,UTRREST2026080000009,910.00,910.00,910.00,"Exact match across order ID, UTR, and amount for SpiceRoute Hospitality & Dine-in.",,
SCENARIO-REST-00010,restaurant,exact_match,rule,exact_order_id,ORD-REST-EX-00010,INV-REST-00010,SET-REST-00010,BNK-REST-00010,UTRREST2026080000010,992.50,992.50,992.50,"Exact match across order ID, UTR, and amount for SpiceRoute Hospitality & Dine-in.",,
