bill_no,table_order_id,billed_amount,order_date,guest_name,order_status
INV-REST-00001,ORD-REST-EX-00001,250.00,01/08/2026,Client_REST_1,paid
INV-REST-00002,ORD-REST-EX-00002,332.50,02/08/2026,Client_REST_2,paid
INV-REST-00003,ORD-REST-EX-00003,415.00,03/08/2026,Client_REST_3,paid
INV-REST-00004,ORD-REST-EX-00004,497.50,04/08/2026,Client_REST_4,paid
INV-REST-00005,ORD-REST-EX-00005,580.00,05/08/2026,Client_REST_5,paid
INV-REST-00006,ORD-REST-EX-00006,662.50,06/08/2026,Client_REST_6,paid
INV-REST-00007,ORD-REST-EX-00007,745.00,07/08/2026,Client_REST_7,paid
INV-REST-00008,ORD-REST-EX-00008,827.50,08/08/2026,Client_REST_8,paid
INV-REST-00009,ORD-REST-EX-00009,910.00,09/08/2026,Client_REST_9,paid
INV-REST-00010,ORD-REST-EX-00010,992.50,10/08/2026,Client_REST_10,paid
INV-REST-00011,ORD-REST-EX-00011,1075.00,11/08/2026,Client_REST_11,paid
INV-REST-00012,ORD-REST-EX-00012,1157.50,12/08/2026,Client_REST_12,paid
INV-REST-00013,ORD-REST-EX-00013,1240.00,13/08/2026,Client_REST_13,paid
INV-REST-00014,ORD-REST-EX-00014,1322.50,14/08/2026,Client_REST_14,paid
INV-REST-00015,ORD-REST-EX-00015,1405.00,15/08/2026,Client_REST_15,paid
INV-REST-00016,ORD-REST-EX-00016,1487.50,16/08/2026,Client_REST_16,paid
INV-REST-00017,ORD-REST-EX-00017,1570.00,17/08/2026,Client_REST_17,paid
INV-REST-00018,ORD-REST-EX-00018,1652.50,18/08/2026,Client_REST_18,paid
INV-REST-00019,ORD-REST-EX-00019,1735.00,19/08/2026,Client_REST_19,paid
INV-REST-00020,ORD-REST-EX-00020,1817.50,20/08/2026,Client_REST_20,paid
INV-REST-00021,ORD-REST-EX-00021,1900.00,21/08/2026,Client_REST_21,paid
INV-REST-00022,ORD-REST-EX-00022,1982.50,22/08/2026,Client_REST_22,paid
INV-REST-00023,ORD-REST-EX-00023,2065.00,23/08/2026,Client_REST_23,paid
INV-REST-00024,ORD-REST-EX-00024,2147.50,24/08/2026,Client_REST_24,paid
INV-REST-00025,ORD-REST-EX-00025,2230.00,25/08/2026,Client_REST_25,paid
INV-REST-00026,ORD-REST-EX-00026,2312.50,01/08/2026,Client_REST_26,paid
INV-REST-00027,ORD-REST-EX-00027,2395.00,02/08/2026,Client_REST_27,paid
INV-REST-00028,ORD-REST-EX-00028,2477.50,03/08/2026,Client_REST_28,paid
INV-REST-00029,ORD-REST-EX-00029,2560.00,04/08/2026,Client_REST_29,paid
INV-REST-00030,ORD-REST-EX-00030,2642.50,05/08/2026,Client_REST_30,paid
INV-REST-00031,ORD-REST-EX-00031,2725.00,06/08/2026,Client_REST_31,paid
INV-REST-00032,ORD-REST-EX-00032,2807.50,07/08/2026,Client_REST_32,paid
INV-REST-00033,ORD-REST-EX-00033,2890.00,08/08/2026,Client_REST_33,paid
INV-REST-00034,ORD-REST-EX-00034,2972.50,09/08/2026,Client_REST_34,paid
INV-REST-00035,ORD-REST-EX-00035,3055.00,10/08/2026,Client_REST_35,paid
INV-REST-00036,ORD-REST-EX-00036,3137.50,11/08/2026,Client_REST_36,paid
INV-REST-00037,ORD-REST-EX-00037,3220.00,12/08/2026,Client_REST_37,paid
INV-REST-00038,ORD-REST-EX-00038,3302.50,13/08/2026,Client_REST_38,paid
INV-REST-00039,ORD-REST-EX-00039,3385.00,14/08/2026,Client_REST_39,paid
INV-REST-00040,ORD-REST-EX-00040,3467.50,15/08/2026,Client_REST_40,paid
INV-REST-00041,ORD-REST-EX-00041,3550.00,16/08/2026,Client_REST_41,paid
INV-REST-00042,ORD-REST-EX-00042,3632.50,17/08/2026,Client_REST_42,paid
INV-REST-00043,ORD-REST-EX-00043,3715.00,18/08/2026,Client_REST_43,paid
INV-REST-00044,ORD-REST-EX-00044,3797.50,19/08/2026,Client_REST_44,paid
INV-REST-00045,ORD-REST-EX-00045,3880.00,20/08/2026,Client_REST_45,paid
INV-REST-00046,ORD-REST-EX-00046,3962.50,21/08/2026,Client_REST_46,paid
INV-REST-00047,ORD-REST-EX-00047,4045.00,22/08/2026,Client_REST_47,paid
INV-REST-00048,ORD-REST-EX-00048,4127.50,23/08/2026,Client_REST_48,paid
INV-REST-00049,ORD-REST-EX-00049,4210.00,24/08/2026,Client_REST_49,paid
INV-REST-00050,ORD-REST-EX-00050,4292.50,25/08/2026,Client_REST_50,paid
INV-REST-00051,ORD-REST-EX-00051,4375.00,01/08/2026,Client_REST_51,paid
INV-REST-00052,ORD-REST-EX-00052,4457.50,02/08/2026,Client_REST_52,paid
INV-REST-00053,ORD-REST-EX-00053,4540.00,03/08/2026,Client_REST_53,paid
INV-REST-00054,ORD-REST-EX-00054,4622.50,04/08/2026,Client_REST_54,paid
INV-REST-00055,ORD-REST-EX-00055,4705.00,05/08/2026,Client_REST_55,paid
INV-REST-00056,ORD-REST-EX-00056,4787.50,06/08/2026,Client_REST_56,paid
INV-REST-00057,ORD-REST-EX-00057,4870.00,07/08/2026,Client_REST_57,paid
INV-REST-00058,ORD-REST-EX-00058,4952.50,08/08/2026,Client_REST_58,paid
INV-REST-00059,ORD-REST-EX-00059,5035.00,09/08/2026,Client_REST_59,paid
INV-REST-00060,ORD-REST-EX-00060,5117.50,10/08/2026,Client_REST_60,paid
INV-REST-00061,ORD-REST-EX-00061,5200.00,11/08/2026,Client_REST_61,paid
INV-REST-00062,ORD-REST-EX-00062,5282.50,12/08/2026,Client_REST_62,paid
INV-REST-00063,ORD-REST-EX-00063,5365.00,13/08/2026,Client_REST_63,paid
INV-REST-00064,ORD-REST-EX-00064,5447.50,14/08/2026,Client_REST_64,paid
INV-REST-00065,ORD-REST-EX-00065,5530.00,15/08/2026,Client_REST_65,paid
INV-REST-00066,ORD-REST-EX-00066,5612.50,16/08/2026,Client_REST_66,paid
INV-REST-00067,ORD-REST-EX-00067,5695.00,17/08/2026,Client_REST_67,paid
INV-REST-00068,ORD-REST-EX-00068,5777.50,18/08/2026,Client_REST_68,paid
INV-REST-00069,ORD-REST-EX-00069,5860.00,19/08/2026,Client_REST_69,paid
INV-REST-00070,ORD-REST-EX-00070,5942.50,20/08/2026,Client_REST_70,paid
INV-REST-00071,ORD-REST-FEE-00071,1075.00,01/08/2026,Client_REST_71,paid
INV-REST-00072,ORD-REST-FEE-00072,1157.50,02/08/2026,Client_REST_72,paid
INV-REST-00073,ORD-REST-FEE-00073,1240.00,03/08/2026,Client_REST_73,paid
INV-REST-00074,ORD-REST-FEE-00074,1322.50,04/08/2026,Client_REST_74,paid
INV-REST-00075,ORD-REST-FEE-00075,1405.00,05/08/2026,Client_REST_75,paid
INV-REST-00076,ORD-REST-FEE-00076,1487.50,06/08/2026,Client_REST_76,paid
INV-REST-00077,ORD-REST-FEE-00077,1570.00,07/08/2026,Client_REST_77,paid
INV-REST-00078,ORD-REST-FEE-00078,1652.50,08/08/2026,Client_REST_78,paid
INV-REST-00079,ORD-REST-GST-00079,1900.00,01/08/2026,Client_REST_79,paid
INV-REST-00080,ORD-REST-GST-00080,1982.50,02/08/2026,Client_REST_80,paid
INV-REST-00081,ORD-REST-GST-00081,2065.00,03/08/2026,Client_REST_81,paid
INV-REST-00082,ORD-REST-GST-00082,2147.50,04/08/2026,Client_REST_82,paid
INV-REST-00083,ORD-REST-GST-00083,2230.00,05/08/2026,Client_REST_83,paid
INV-REST-00084,ORD-REST-TDS-00084,2725.00,01/08/2026,Client_REST_84,paid
INV-REST-00085,ORD-REST-TDS-00085,2807.50,02/08/2026,Client_REST_85,paid
INV-REST-00086,ORD-REST-TDS-00086,2890.00,03/08/2026,Client_REST_86,paid
INV-REST-00087,ORD-REST-AI-00087,3550.00,01/08/2026,Client_REST_87,paid
INV-REST-00088,ORD-REST-AI-00088,3632.50,02/08/2026,Client_REST_88,paid
INV-REST-00089,ORD-REST-AI-00089,3715.00,03/08/2026,Client_REST_89,paid
INV-REST-00090,ORD-REST-AI-00090,3797.50,04/08/2026,Client_REST_90,paid
INV-REST-00091,ORD-REST-AI-00091,3880.00,05/08/2026,Client_REST_91,paid
