settlement_ref,table_order_id,amount_paid,settle_date,rrn,state,commission,service_tax,tax_deducted
SET-REST-00001,ORD-REST-EX-00001,250.00,02/08/2026,UTRREST2026080000001,settled,0.00,0.00,0.00
SET-REST-00002,ORD-REST-EX-00002,332.50,03/08/2026,UTRREST2026080000002,settled,0.00,0.00,0.00
SET-REST-00003,ORD-REST-EX-00003,415.00,04/08/2026,UTRREST2026080000003,settled,0.00,0.00,0.00
SET-REST-00004,ORD-REST-EX-00004,497.50,05/08/2026,UTRREST2026080000004,settled,0.00,0.00,0.00
SET-REST-00005,ORD-REST-EX-00005,580.00,06/08/2026,UTRREST2026080000005,settled,0.00,0.00,0.00
SET-REST-00006,ORD-REST-EX-00006,662.50,07/08/2026,UTRREST2026080000006,settled,0.00,0.00,0.00
SET-REST-00007,ORD-REST-EX-00007,745.00,08/08/2026,UTRREST2026080000007,settled,0.00,0.00,0.00
SET-REST-00008,ORD-REST-EX-00008,827.50,09/08/2026,UTRREST2026080000008,settled,0.00,0.00,0.00
SET-REST-00009,ORD-REST-EX-00009,910.00,10/08/2026,UTRREST2026080000009,settled,0.00,0.00,0.00
SET-REST-00010,ORD-REST-EX-00010,992.50,11/08/2026,UTRREST2026080000010,settled,0.00,0.00,0.00
SET-REST-00011,ORD-REST-EX-00011,1075.00,12/08/2026,UTRREST2026080000011,settled,0.00,0.00,0.00
SET-REST-00012,ORD-REST-EX-00012,1157.50,13/08/2026,UTRREST2026080000012,settled,0.00,0.00,0.00
SET-REST-00013,ORD-REST-EX-00013,1240.00,14/08/2026,UTRREST2026080000013,settled,0.00,0.00,0.00
SET-REST-00014,ORD-REST-EX-00014,1322.50,15/08/2026,UTRREST2026080000014,settled,0.00,0.00,0.00
SET-REST-00015,ORD-REST-EX-00015,1405.00,16/08/2026,UTRREST2026080000015,settled,0.00,0.00,0.00
SET-REST-00016,ORD-REST-EX-00016,1487.50,17/08/2026,UTRREST2026080000016,settled,0.00,0.00,0.00
SET-REST-00017,ORD-REST-EX-00017,1570.00,18/08/2026,UTRREST2026080000017,settled,0.00,0.00,0.00
SET-REST-00018,ORD-REST-EX-00018,1652.50,19/08/2026,UTRREST2026080000018,settled,0.00,0.00,0.00
SET-REST-00019,ORD-REST-EX-00019,1735.00,20/08/2026,UTRREST2026080000019,settled,0.00,0.00,0.00
SET-REST-00020,ORD-REST-EX-00020,1817.50,21/08/2026,UTRREST2026080000020,settled,0.00,0.00,0.00
