bank_txn_id,txn_date,description,reference_number,amount,balance,status
BNK-RETA-00001,2026-08-03,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000001,UTRRETA2026080000001,450.00,5000450.00,credited
BNK-RETA-00002,2026-08-04,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000002,UTRRETA2026080000002,765.50,5001215.50,credited
BNK-RETA-00003,2026-08-05,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000003,UTRRETA2026080000003,1081.00,5002296.50,credited
BNK-RETA-00004,2026-08-06,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000004,UTRRETA2026080000004,1396.50,5003693.00,credited
BNK-RETA-00005,2026-08-07,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000005,UTRRETA2026080000005,1712.00,5005405.00,credited
BNK-RETA-00006,2026-08-08,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000006,UTRRETA2026080000006,2027.50,5007432.50,credited
BNK-RETA-00007,2026-08-09,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000007,UTRRETA2026080000007,2343.00,5009775.50,credited
BNK-RETA-00008,2026-08-10,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000008,UTRRETA2026080000008,2658.50,5012434.00,credited
BNK-RETA-00009,2026-08-11,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000009,UTRRETA2026080000009,2974.00,5015408.00,credited
BNK-RETA-00010,2026-08-12,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000010,UTRRETA2026080000010,3289.50,5018697.50,credited
BNK-RETA-00011,2026-08-13,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000011,UTRRETA2026080000011,3605.00,5022302.50,credited
BNK-RETA-00012,2026-08-14,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000012,UTRRETA2026080000012,3920.50,5026223.00,credited
BNK-RETA-00013,2026-08-15,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000013,UTRRETA2026080000013,4236.00,5030459.00,credited
BNK-RETA-00014,2026-08-16,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000014,UTRRETA2026080000014,4551.50,5035010.50,credited
BNK-RETA-00015,2026-08-17,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000015,UTRRETA2026080000015,4867.00,5039877.50,credited
BNK-RETA-00016,2026-08-18,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000016,UTRRETA2026080000016,5182.50,5045060.00,credited
BNK-RETA-00017,2026-08-19,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000017,UTRRETA2026080000017,5498.00,5050558.00,credited
BNK-RETA-00018,2026-08-20,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000018,UTRRETA2026080000018,5813.50,5056371.50,credited
BNK-RETA-00019,2026-08-21,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000019,UTRRETA2026080000019,6129.00,5062500.50,credited
BNK-RETA-00020,2026-08-22,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000020,UTRRETA2026080000020,6444.50,5068945.00,credited
BNK-RETA-00021,2026-08-23,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000021,UTRRETA2026080000021,6760.00,5075705.00,credited
BNK-RETA-00022,2026-08-24,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000022,UTRRETA2026080000022,7075.50,5082780.50,credited
BNK-RETA-00023,2026-08-25,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000023,UTRRETA2026080000023,7391.00,5090171.50,credited
BNK-RETA-00024,2026-08-26,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000024,UTRRETA2026080000024,7706.50,5097878.00,credited
BNK-RETA-00025,2026-08-27,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000025,UTRRETA2026080000025,8022.00,5105900.00,credited
BNK-RETA-00026,2026-08-03,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000026,UTRRETA2026080000026,8337.50,5114237.50,credited
BNK-RETA-00027,2026-08-04,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000027,UTRRETA2026080000027,8653.00,5122890.50,credited
BNK-RETA-00028,2026-08-05,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000028,UTRRETA2026080000028,8968.50,5131859.00,credited
BNK-RETA-00029,2026-08-06,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000029,UTRRETA2026080000029,9284.00,5141143.00,credited
BNK-RETA-00030,2026-08-07,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000030,UTRRETA2026080000030,9599.50,5150742.50,credited
BNK-RETA-00031,2026-08-08,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000031,UTRRETA2026080000031,9915.00,5160657.50,credited
BNK-RETA-00032,2026-08-09,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000032,UTRRETA2026080000032,10230.50,5170888.00,credited
BNK-RETA-00033,2026-08-10,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000033,UTRRETA2026080000033,10546.00,5181434.00,credited
BNK-RETA-00034,2026-08-11,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000034,UTRRETA2026080000034,10861.50,5192295.50,credited
BNK-RETA-00035,2026-08-12,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000035,UTRRETA2026080000035,11177.00,5203472.50,credited
BNK-RETA-00036,2026-08-13,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000036,UTRRETA2026080000036,11492.50,5214965.00,credited
BNK-RETA-00037,2026-08-14,ACH CR RAZORPAY SETTLEMENT UTRRETA2026080000037,UTRRETA2026080000037,11808.00,5226773.00,credited
