scenario_id,merchant_type,category,expected_resolution,expected_rule,order_id,invoice_id,settlement_id,bank_txn_id,reference_number,invoice_amount,settlement_amount,bank_amount,explanation,likely_reason,exception_category
SCENARIO-RETA-00001,retail,exact_match,rule,exact_order_id,ORD-RETA-EX-00001,INV-RETA-00001,SET-RETA-00001,BNK-RETA-00001,UTRRETA2026080000001,450.00,450.00,450.00,"Exact match across order ID, UTR, and amount for MetroMart Omnichannel Retail.",,
SCENARIO-RETA-00002,retail,exact_match,rule,exact_order_id,ORD-RETA-EX-00002,INV-RETA-00002,SET-RETA-00002,BNK-RETA-00002,UTRRETA2026080000002,765.50,765.50,765.50,"Exact match across order ID, UTR, and amount for MetroMart Omnichannel Retail.",,
SCENARIO-RETA-00003,retail,exact_match,rule,exact_order_id,ORD-RETA-EX-00003,INV-RETA-00003,SET-RETA-00003,BNK-RETA-00003,UTRRETA2026080000003,1081.00,1081.00,1081.00,"Exact match across order ID, UTR, and amount for MetroMart Omnichannel Retail.",,
SCENARIO-RETA-00004,retail,exact_match,rule,exact_order_id,ORD-RETA-EX-00004,INV-RETA-00004,SET-RETA-00004,BNK-RETA-00004,UTRRETA2026080000004,1396.50,1396.50,1396.50,"Exact match across order ID, UTR, and amount for MetroMart Omnichannel Retail.",,
SCENARIO-RETA-00005,retail,exact_match,rule,exact_order_id,ORD-RETA-EX-00005,INV-RETA-00005,SET-RETA-00005,BNK-RETA-00005,UTRRETA2026080000005,1712.00,1712.00,1712.00,"Exact match across order ID, UTR, and amount for MetroMart Omnichannel Retail.",,
SCENARIO-RETA-00006,retail,exact_match,rule,exact_order_id,ORD-RETA-EX-00006,INV-RETA-00006,SET-RETA-00006,BNK-RETA-00006,UTRRETA2026080000006,2027.50,2027.50,2027.50,"Exact match across order ID, UTR, and amount for MetroMart Omnichannel Retail.",,
SCENARIO-RETA-00007,retail,exact_match,rule,exact_order_id,ORD-RETA-EX-00007,INV-RETA-00007,SET-RETA-00007,BNK-RETA-00007,UTRRETA2026080000007,2343.00,2343.00,2343.00,"Exact match across order ID, UTR, and amount for MetroMart Omnichannel Retail.",,
SCENARIO-RETA-00008,retail,exact_match,rule,exact_order_id,ORD-RETA-EX-00008,INV-RETA-00008,SET-RETA-00008,BNK-RETA-00008,UTRRETA2026080000008,2658.50,2658.50,2658.50,"Exact match across order ID, UTR, and amount for MetroMart Omnichannel Retail.",,
SCENARIO-RETA-00009,retail,exact_match,rule,exact_order_id,ORD-RETA-EX-00009,INV-RETA-00009,SET-RETA-00009,BNK-RETA-00009,UTRRETA2026080000009,2974.00,2974.00,2974.00,"Exact match across order ID, UTR, and amount for MetroMart Omnichannel Retail.",,
SCENARIO-RETA-00010,retail,exact_match,rule,exact_order_id,ORD-RETA-EX-00010,INV-RETA-00010,SET-RETA-00010,BNK-RETA-00010,UTRRETA2026080000010,3289.50,3289.50,3289.50,"Exact match across order ID, UTR, and amount for MetroMart Omnichannel Retail.",,
SCENARIO-RETA-00011,retail,exact_match,rule,exact_order_id,ORD-RETA-EX-00011,INV-RETA-00011,SET-RETA-00011,BNK-RETA-00011,UTRRETA2026080000011,3605.00,3605.00,3605.00,"Exact match across order ID, UTR, and amount for MetroMart Omnichannel Retail.",,
SCENARIO-RETA-00012,retail,exact_match,rule,exact_order_id,ORD-RETA-EX-00012,INV-RETA-00012,SET-RETA-00012,BNK-RETA-00012,UTRRETA2026080000012,3920.50,3920.50,3920.50,"Exact match across order ID, UTR, and amount for MetroMart Omnichannel Retail.",,
SCENARIO-RETA-00013,retail,exact_match,rule,exact_order_id,ORD-RETA-EX-00013,INV-RETA-00013,SET-RETA-00013,BNK-RETA-00013,UTRRETA2026080000013,4236.00,4236.00,4236.00,"Exact match across order ID, UTR, and amount for MetroMart Omnichannel Retail.",,
SCENARIO-RETA-00014,retail,exact_match,rule,exact_order_id,ORD-RETA-EX-00014,INV-RETA-00014,SET-RETA-00014,BNK-RETA-00014,UTRRETA2026080000014,4551.50,4551.50,4551.50,"Exact match across order ID, UTR, and amount for MetroMart Omnichannel Retail.",,
SCENARIO-RETA-00015,retail,exact_match,rule,exact_order_id,ORD-RETA-EX-00015,INV-RETA-00015,SET-RETA-00015,BNK-RETA-00015,UTRRETA2026080000015,4867.00,4867.00,4867.00,"Exact match across order ID, UTR, and amount for MetroMart Omnichannel Retail.",,
SCENARIO-RETA-00016,retail,exact_match,rule,exact_order_id,ORD-RETA-EX-00016,INV-RETA-00016,SET-RETA-00016,BNK-RETA-00016,UTRRETA2026080000016,5182.50,5182.50,5182.50,"Exact match across order ID, UTR, and amount for MetroMart Omnichannel Retail.",,
SCENARIO-RETA-00017,retail,exact_match,rule,exact_order_id,ORD-RETA-EX-00017,INV-RETA-00017,SET-RETA-00017,BNK-RETA-00017,UTRRETA2026080000017,5498.00,5498.00,5498.00,"Exact match across order ID, UTR, and amount for MetroMart Omnichannel Retail.",,
SCENARIO-RETA-00018,retail,exact_match,rule,exact_order_id,ORD-RETA-EX-00018,INV-RETA-00018,SET-RETA-00018,BNK-RETA-00018,UTRRETA2026080000018,5813.50,5813.50,5813.50,"Exact match across order ID, UTR, and amount for MetroMart Omnichannel Retail.",,
SCENARIO-RETA-00019,retail,exact_match,rule,exact_order_id,ORD-RETA-EX-00019,INV-RETA-00019,SET-RETA-00019,BNK-RETA-00019,UTRRETA2026080000019,6129.00,6129.00,6129.00,"Exact match across order ID, UTR, and amount for MetroMart Omnichannel Retail.",,
SCENARIO-RETA-00020,retail,exact_match,rule,exact_order_id,ORD-RETA-EX-00020,INV-RETA-00020,SET-RETA-00020,BNK-RETA-00020,UTRRETA2026080000020,6444.50,6444.50,6444.50,"Exact match across order ID, UTR, and amount for MetroMart Omnichannel Retail.",,
SCENARIO-RETA-00021,retail,exact_match,rule,exact_order_id,ORD-RETA-EX-00021,INV-RETA-00021,SET-RETA-00021,BNK-RETA-00021,UTRRETA2026080000021,6760.00,6760.00,6760.00,"Exact match across order ID, UTR, and amount for MetroMart Omnichannel Retail.",,
SCENARIO-RETA-00022,retail,exact_match,rule,exact_order_id,ORD-RETA-EX-00022,INV-RETA-00022,SET-RETA-00022,BNK-RETA-00022,UTRRETA2026080000022,7075.50,7075.50,7075.50,"Exact match across order ID, UTR, and amount for MetroMart Omnichannel Retail.",,
SCENARIO-RETA-00023,retail,exact_match,rule,exact_order_id,ORD-RETA-EX-00023,INV-RETA-00023,SET-RETA-00023,BNK-RETA-00023,UTRRETA2026080000023,7391.00,7391.00,7391.00,"Exact match across order ID, UTR, and amount for MetroMart Omnichannel Retail.",,
SCENARIO-RETA-00024,retail,exact_match,rule,exact_order_id,ORD-RETA-EX-00024,INV-RETA-00024,SET-RETA-00024,BNK-RETA-00024,UTRRETA2026080000024,7706.50,7706.50,7706.50,"Exact match across order ID, UTR, and amount for MetroMart Omnichannel Retail.",,
SCENARIO-RETA-00025,retail,exact_match,rule,exact_order_id,ORD-RETA-EX-00025,INV-RETA-00025,SET-RETA-00025,BNK-RETA-00025,UTRRETA2026080000025,8022.00,8022.00,8022.00,"Exact match across order ID, UTR, and amount for MetroMart Omnichannel Retail.",,
SCENARIO-RETA-00026,retail,exact_match,rule,exact_order_id,ORD-RETA-EX-00026,INV-RETA-00026,SET-RETA-00026,BNK-RETA-00026,UTRRETA2026080000026,8337.50,8337.50,8337.50,"Exact match across order ID, UTR, and amount for MetroMart Omnichannel Retail.",,
SCENARIO-RETA-00027,retail,exact_match,rule,exact_order_id,ORD-RETA-EX-00027,INV-RETA-00027,SET-RETA-00027,BNK-RETA-00027,UTRRETA2026080000027,8653.00,8653.00,8653.00,"Exact match across order ID, UTR, and amount for MetroMart Omnichannel Retail.",,
SCENARIO-RETA-00028,retail,exact_match,rule,exact_order_id,ORD-RETA-EX-00028,INV-RETA-00028,SET-RETA-00028,BNK-RETA-00028,UTRRETA2026080000028,8968.50,8968.50,8968.50,"Exact match across order ID, UTR, and amount for MetroMart Omnichannel Retail.",,
