inv_id,order_no,invoice_value,bill_date,customer,state
INV-RET-0001,ORD-RET-EX-0001,1000.00,2026-08-01,Customer_RET_1,paid
INV-RET-0002,ORD-RET-EX-0002,1125.50,2026-08-02,Customer_RET_2,paid
INV-RET-0003,ORD-RET-EX-0003,1251.00,2026-08-03,Customer_RET_3,paid
INV-RET-0004,ORD-RET-EX-0004,1376.50,2026-08-04,Customer_RET_4,paid
INV-RET-0005,ORD-RET-EX-0005,1502.00,2026-08-05,Customer_RET_5,paid
INV-RET-0006,ORD-RET-EX-0006,1627.50,2026-08-06,Customer_RET_6,paid
INV-RET-0007,ORD-RET-EX-0007,1753.00,2026-08-07,Customer_RET_7,paid
INV-RET-0008,ORD-RET-EX-0008,1878.50,2026-08-08,Customer_RET_8,paid
INV-RET-0009,ORD-RET-EX-0009,2004.00,2026-08-09,Customer_RET_9,paid
INV-RET-0010,ORD-RET-EX-0010,2129.50,2026-08-10,Customer_RET_10,paid
INV-RET-0011,ORD-RET-EX-0011,2255.00,2026-08-11,Customer_RET_11,paid
INV-RET-0012,ORD-RET-EX-0012,2380.50,2026-08-12,Customer_RET_12,paid
INV-RET-0013,ORD-RET-EX-0013,2506.00,2026-08-13,Customer_RET_13,paid
INV-RET-0014,ORD-RET-EX-0014,2631.50,2026-08-14,Customer_RET_14,paid
INV-RET-0015,ORD-RET-EX-0015,2757.00,2026-08-15,Customer_RET_15,paid
INV-RET-0016,ORD-RET-EX-0016,2882.50,2026-08-01,Customer_RET_16,paid
INV-RET-0017,ORD-RET-EX-0017,3008.00,2026-08-02,Customer_RET_17,paid
INV-RET-0018,ORD-RET-EX-0018,3133.50,2026-08-03,Customer_RET_18,paid
INV-RET-0019,ORD-RET-EX-0019,3259.00,2026-08-04,Customer_RET_19,paid
INV-RET-0020,ORD-RET-EX-0020,3384.50,2026-08-05,Customer_RET_20,paid
INV-RET-0021,ORD-RET-EX-0021,3510.00,2026-08-06,Customer_RET_21,paid
INV-RET-0022,ORD-RET-EX-0022,3635.50,2026-08-07,Customer_RET_22,paid
INV-RET-0023,ORD-RET-EX-0023,3761.00,2026-08-08,Customer_RET_23,paid
INV-RET-0024,ORD-RET-EX-0024,3886.50,2026-08-09,Customer_RET_24,paid
INV-RET-0025,ORD-RET-EX-0025,4012.00,2026-08-10,Customer_RET_25,paid
INV-RET-0026,ORD-RET-EX-0026,4137.50,2026-08-11,Customer_RET_26,paid
INV-RET-0027,ORD-RET-EX-0027,4263.00,2026-08-12,Customer_RET_27,paid
INV-RET-0028,ORD-RET-EX-0028,4388.50,2026-08-13,Customer_RET_28,paid
INV-RET-0029,ORD-RET-EX-0029,4514.00,2026-08-14,Customer_RET_29,paid
INV-RET-0030,ORD-RET-EX-0030,4639.50,2026-08-15,Customer_RET_30,paid
INV-RET-0031,ORD-RET-EX-0031,4765.00,2026-08-01,Customer_RET_31,paid
INV-RET-0032,ORD-RET-EX-0032,4890.50,2026-08-02,Customer_RET_32,paid
INV-RET-0033,ORD-RET-EX-0033,5016.00,2026-08-03,Customer_RET_33,paid
INV-RET-0034,ORD-RET-EX-0034,5141.50,2026-08-04,Customer_RET_34,paid
INV-RET-0035,ORD-RET-EX-0035,5267.00,2026-08-05,Customer_RET_35,paid
INV-RET-0036,ORD-RET-EX-0036,5392.50,2026-08-06,Customer_RET_36,paid
INV-RET-0037,ORD-RET-EX-0037,5518.00,2026-08-07,Customer_RET_37,paid
INV-RET-0038,ORD-RET-EX-0038,5643.50,2026-08-08,Customer_RET_38,paid
INV-RET-0039,ORD-RET-EX-0039,5769.00,2026-08-09,Customer_RET_39,paid
