settlement_id,order_id,amount,settlement_date,reference_number,status,fees,gst,tds
SET-RETA-00001,ORD-RETA-EX-00001,450.00,2026-08-03,UTRRETA2026080000001,settled,0.00,0.00,0.00
SET-RETA-00002,ORD-RETA-EX-00002,765.50,2026-08-04,UTRRETA2026080000002,settled,0.00,0.00,0.00
SET-RETA-00003,ORD-RETA-EX-00003,1081.00,2026-08-05,UTRRETA2026080000003,settled,0.00,0.00,0.00
SET-RETA-00004,ORD-RETA-EX-00004,1396.50,2026-08-06,UTRRETA2026080000004,settled,0.00,0.00,0.00
SET-RETA-00005,ORD-RETA-EX-00005,1712.00,2026-08-07,UTRRETA2026080000005,settled,0.00,0.00,0.00
SET-RETA-00006,ORD-RETA-EX-00006,2027.50,2026-08-08,UTRRETA2026080000006,settled,0.00,0.00,0.00
SET-RETA-00007,ORD-RETA-EX-00007,2343.00,2026-08-09,UTRRETA2026080000007,settled,0.00,0.00,0.00
SET-RETA-00008,ORD-RETA-EX-00008,2658.50,2026-08-10,UTRRETA2026080000008,settled,0.00,0.00,0.00
SET-RETA-00009,ORD-RETA-EX-00009,2974.00,2026-08-11,UTRRETA2026080000009,settled,0.00,0.00,0.00
SET-RETA-00010,ORD-RETA-EX-00010,3289.50,2026-08-12,UTRRETA2026080000010,settled,0.00,0.00,0.00
SET-RETA-00011,ORD-RETA-EX-00011,3605.00,2026-08-13,UTRRETA2026080000011,settled,0.00,0.00,0.00
SET-RETA-00012,ORD-RETA-EX-00012,3920.50,2026-08-14,UTRRETA2026080000012,settled,0.00,0.00,0.00
SET-RETA-00013,ORD-RETA-EX-00013,4236.00,2026-08-15,UTRRETA2026080000013,settled,0.00,0.00,0.00
SET-RETA-00014,ORD-RETA-EX-00014,4551.50,2026-08-16,UTRRETA2026080000014,settled,0.00,0.00,0.00
SET-RETA-00015,ORD-RETA-EX-00015,4867.00,2026-08-17,UTRRETA2026080000015,settled,0.00,0.00,0.00
SET-RETA-00016,ORD-RETA-EX-00016,5182.50,2026-08-18,UTRRETA2026080000016,settled,0.00,0.00,0.00
SET-RETA-00017,ORD-RETA-EX-00017,5498.00,2026-08-19,UTRRETA2026080000017,settled,0.00,0.00,0.00
SET-RETA-00018,ORD-RETA-EX-00018,5813.50,2026-08-20,UTRRETA2026080000018,settled,0.00,0.00,0.00
SET-RETA-00019,ORD-RETA-EX-00019,6129.00,2026-08-21,UTRRETA2026080000019,settled,0.00,0.00,0.00
SET-RETA-00020,ORD-RETA-EX-00020,6444.50,2026-08-22,UTRRETA2026080000020,settled,0.00,0.00,0.00
SET-RETA-00021,ORD-RETA-EX-00021,6760.00,2026-08-23,UTRRETA2026080000021,settled,0.00,0.00,0.00
SET-RETA-00022,ORD-RETA-EX-00022,7075.50,2026-08-24,UTRRETA2026080000022,settled,0.00,0.00,0.00
SET-RETA-00023,ORD-RETA-EX-00023,7391.00,2026-08-25,UTRRETA2026080000023,settled,0.00,0.00,0.00
SET-RETA-00024,ORD-RETA-EX-00024,7706.50,2026-08-26,UTRRETA2026080000024,settled,0.00,0.00,0.00
SET-RETA-00025,ORD-RETA-EX-00025,8022.00,2026-08-27,UTRRETA2026080000025,settled,0.00,0.00,0.00
SET-RETA-00026,ORD-RETA-EX-00026,8337.50,2026-08-03,UTRRETA2026080000026,settled,0.00,0.00,0.00
SET-RETA-00027,ORD-RETA-EX-00027,8653.00,2026-08-04,UTRRETA2026080000027,settled,0.00,0.00,0.00
SET-RETA-00028,ORD-RETA-EX-00028,8968.50,2026-08-05,UTRRETA2026080000028,settled,0.00,0.00,0.00
SET-RETA-00029,ORD-RETA-EX-00029,9284.00,2026-08-06,UTRRETA2026080000029,settled,0.00,0.00,0.00
SET-RETA-00030,ORD-RETA-EX-00030,9599.50,2026-08-07,UTRRETA2026080000030,settled,0.00,0.00,0.00
SET-RETA-00031,ORD-RETA-EX-00031,9915.00,2026-08-08,UTRRETA2026080000031,settled,0.00,0.00,0.00
SET-RETA-00032,ORD-RETA-EX-00032,10230.50,2026-08-09,UTRRETA2026080000032,settled,0.00,0.00,0.00
SET-RETA-00033,ORD-RETA-EX-00033,10546.00,2026-08-10,UTRRETA2026080000033,settled,0.00,0.00,0.00
SET-RETA-00034,ORD-RETA-EX-00034,10861.50,2026-08-11,UTRRETA2026080000034,settled,0.00,0.00,0.00
SET-RETA-00035,ORD-RETA-EX-00035,11177.00,2026-08-12,UTRRETA2026080000035,settled,0.00,0.00,0.00
SET-RETA-00036,ORD-RETA-EX-00036,11492.50,2026-08-13,UTRRETA2026080000036,settled,0.00,0.00,0.00
SET-RETA-00037,ORD-RETA-EX-00037,11808.00,2026-08-14,UTRRETA2026080000037,settled,0.00,0.00,0.00
SET-RETA-00038,ORD-RETA-EX-00038,12123.50,2026-08-15,UTRRETA2026080000038,settled,0.00,0.00,0.00
SET-RETA-00039,ORD-RETA-EX-00039,12439.00,2026-08-16,UTRRETA2026080000039,settled,0.00,0.00,0.00
SET-RETA-00040,ORD-RETA-EX-00040,12754.50,2026-08-17,UTRRETA2026080000040,settled,0.00,0.00,0.00
SET-RETA-00041,ORD-RETA-EX-00041,13070.00,2026-08-18,UTRRETA2026080000041,settled,0.00,0.00,0.00
SET-RETA-00042,ORD-RETA-EX-00042,13385.50,2026-08-19,UTRRETA2026080000042,settled,0.00,0.00,0.00
SET-RETA-00043,ORD-RETA-EX-00043,13701.00,2026-08-20,UTRRETA2026080000043,settled,0.00,0.00,0.00
SET-RETA-00044,ORD-RETA-EX-00044,14016.50,2026-08-21,UTRRETA2026080000044,settled,0.00,0.00,0.00
SET-RETA-00045,ORD-RETA-EX-00045,14332.00,2026-08-22,UTRRETA2026080000045,settled,0.00,0.00,0.00
SET-RETA-00046,ORD-RETA-EX-00046,14647.50,2026-08-23,UTRRETA2026080000046,settled,0.00,0.00,0.00
SET-RETA-00047,ORD-RETA-EX-00047,14963.00,2026-08-24,UTRRETA2026080000047,settled,0.00,0.00,0.00
SET-RETA-00048,ORD-RETA-EX-00048,15278.50,2026-08-25,UTRRETA2026080000048,settled,0.00,0.00,0.00
SET-RETA-00049,ORD-RETA-EX-00049,15594.00,2026-08-26,UTRRETA2026080000049,settled,0.00,0.00,0.00
SET-RETA-00050,ORD-RETA-EX-00050,15909.50,2026-08-27,UTRRETA2026080000050,settled,0.00,0.00,0.00
SET-RETA-00051,ORD-RETA-EX-00051,16225.00,2026-08-03,UTRRETA2026080000051,settled,0.00,0.00,0.00
SET-RETA-00052,ORD-RETA-EX-00052,16540.50,2026-08-04,UTRRETA2026080000052,settled,0.00,0.00,0.00
SET-RETA-00053,ORD-RETA-EX-00053,16856.00,2026-08-05,UTRRETA2026080000053,settled,0.00,0.00,0.00
SET-RETA-00054,ORD-RETA-EX-00054,17171.50,2026-08-06,UTRRETA2026080000054,settled,0.00,0.00,0.00
