txn_id,statement_date,transaction_details,utr,amount,available_balance,txn_status
BNK-SAAS-00001,03-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000001,UTRSAAS2026080000001,1500.00 INR,5001500.00 INR,credited
BNK-SAAS-00002,04-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000002,UTRSAAS2026080000002,2435.00 INR,5003935.00 INR,credited
BNK-SAAS-00003,05-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000003,UTRSAAS2026080000003,3370.00 INR,5007305.00 INR,credited
BNK-SAAS-00004,06-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000004,UTRSAAS2026080000004,4305.00 INR,5011610.00 INR,credited
BNK-SAAS-00005,07-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000005,UTRSAAS2026080000005,5240.00 INR,5016850.00 INR,credited
BNK-SAAS-00006,08-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000006,UTRSAAS2026080000006,6175.00 INR,5023025.00 INR,credited
BNK-SAAS-00007,09-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000007,UTRSAAS2026080000007,7110.00 INR,5030135.00 INR,credited
BNK-SAAS-00008,10-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000008,UTRSAAS2026080000008,8045.00 INR,5038180.00 INR,credited
BNK-SAAS-00009,11-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000009,UTRSAAS2026080000009,8980.00 INR,5047160.00 INR,credited
BNK-SAAS-00010,12-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000010,UTRSAAS2026080000010,9915.00 INR,5057075.00 INR,credited
BNK-SAAS-00011,13-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000011,UTRSAAS2026080000011,10850.00 INR,5067925.00 INR,credited
BNK-SAAS-00012,14-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000012,UTRSAAS2026080000012,11785.00 INR,5079710.00 INR,credited
BNK-SAAS-00013,15-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000013,UTRSAAS2026080000013,12720.00 INR,5092430.00 INR,credited
BNK-SAAS-00014,16-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000014,UTRSAAS2026080000014,13655.00 INR,5106085.00 INR,credited
BNK-SAAS-00015,17-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000015,UTRSAAS2026080000015,14590.00 INR,5120675.00 INR,credited
BNK-SAAS-00016,18-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000016,UTRSAAS2026080000016,15525.00 INR,5136200.00 INR,credited
BNK-SAAS-00017,19-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000017,UTRSAAS2026080000017,16460.00 INR,5152660.00 INR,credited
BNK-SAAS-00018,20-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000018,UTRSAAS2026080000018,17395.00 INR,5170055.00 INR,credited
BNK-SAAS-00019,21-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000019,UTRSAAS2026080000019,18330.00 INR,5188385.00 INR,credited
BNK-SAAS-00020,22-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000020,UTRSAAS2026080000020,19265.00 INR,5207650.00 INR,credited
BNK-SAAS-00021,23-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000021,UTRSAAS2026080000021,20200.00 INR,5227850.00 INR,credited
BNK-SAAS-00022,24-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000022,UTRSAAS2026080000022,21135.00 INR,5248985.00 INR,credited
BNK-SAAS-00023,25-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000023,UTRSAAS2026080000023,22070.00 INR,5271055.00 INR,credited
BNK-SAAS-00024,26-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000024,UTRSAAS2026080000024,23005.00 INR,5294060.00 INR,credited
BNK-SAAS-00025,27-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000025,UTRSAAS2026080000025,23940.00 INR,5318000.00 INR,credited
BNK-SAAS-00026,03-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000026,UTRSAAS2026080000026,24875.00 INR,5342875.00 INR,credited
BNK-SAAS-00027,04-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSAAS2026080000027,UTRSAAS2026080000027,25810.00 INR,5368685.00 INR,credited
