scenario_id,merchant_type,category,expected_resolution,expected_rule,order_id,invoice_id,settlement_id,bank_txn_id,reference_number,invoice_amount,settlement_amount,bank_amount,explanation,likely_reason,exception_category
SCENARIO-SAAS-00001,saas,exact_match,rule,exact_order_id,ORD-SAAS-EX-00001,INV-SAAS-00001,SET-SAAS-00001,BNK-SAAS-00001,UTRSAAS2026080000001,1500.00,1500.00,1500.00,"Exact match across order ID, UTR, and amount for CloudStack Global SaaS Solutions.",,
SCENARIO-SAAS-00002,saas,exact_match,rule,exact_order_id,ORD-SAAS-EX-00002,INV-SAAS-00002,SET-SAAS-00002,BNK-SAAS-00002,UTRSAAS2026080000002,2435.00,2435.00,2435.00,"Exact match across order ID, UTR, and amount for CloudStack Global SaaS Solutions.",,
SCENARIO-SAAS-00003,saas,exact_match,rule,exact_order_id,ORD-SAAS-EX-00003,INV-SAAS-00003,SET-SAAS-00003,BNK-SAAS-00003,UTRSAAS2026080000003,3370.00,3370.00,3370.00,"Exact match across order ID, UTR, and amount for CloudStack Global SaaS Solutions.",,
SCENARIO-SAAS-00004,saas,exact_match,rule,exact_order_id,ORD-SAAS-EX-00004,INV-SAAS-00004,SET-SAAS-00004,BNK-SAAS-00004,UTRSAAS2026080000004,4305.00,4305.00,4305.00,"Exact match across order ID, UTR, and amount for CloudStack Global SaaS Solutions.",,
SCENARIO-SAAS-00005,saas,exact_match,rule,exact_order_id,ORD-SAAS-EX-00005,INV-SAAS-00005,SET-SAAS-00005,BNK-SAAS-00005,UTRSAAS2026080000005,5240.00,5240.00,5240.00,"Exact match across order ID, UTR, and amount for CloudStack Global SaaS Solutions.",,
SCENARIO-SAAS-00006,saas,exact_match,rule,exact_order_id,ORD-SAAS-EX-00006,INV-SAAS-00006,SET-SAAS-00006,BNK-SAAS-00006,UTRSAAS2026080000006,6175.00,6175.00,6175.00,"Exact match across order ID, UTR, and amount for CloudStack Global SaaS Solutions.",,
SCENARIO-SAAS-00007,saas,exact_match,rule,exact_order_id,ORD-SAAS-EX-00007,INV-SAAS-00007,SET-SAAS-00007,BNK-SAAS-00007,UTRSAAS2026080000007,7110.00,7110.00,7110.00,"Exact match across order ID, UTR, and amount for CloudStack Global SaaS Solutions.",,
SCENARIO-SAAS-00008,saas,exact_match,rule,exact_order_id,ORD-SAAS-EX-00008,INV-SAAS-00008,SET-SAAS-00008,BNK-SAAS-00008,UTRSAAS2026080000008,8045.00,8045.00,8045.00,"Exact match across order ID, UTR, and amount for CloudStack Global SaaS Solutions.",,
SCENARIO-SAAS-00009,saas,exact_match,rule,exact_order_id,ORD-SAAS-EX-00009,INV-SAAS-00009,SET-SAAS-00009,BNK-SAAS-00009,UTRSAAS2026080000009,8980.00,8980.00,8980.00,"Exact match across order ID, UTR, and amount for CloudStack Global SaaS Solutions.",,
SCENARIO-SAAS-00010,saas,exact_match,rule,exact_order_id,ORD-SAAS-EX-00010,INV-SAAS-00010,SET-SAAS-00010,BNK-SAAS-00010,UTRSAAS2026080000010,9915.00,9915.00,9915.00,"Exact match across order ID, UTR, and amount for CloudStack Global SaaS Solutions.",,
SCENARIO-SAAS-00011,saas,exact_match,rule,exact_order_id,ORD-SAAS-EX-00011,INV-SAAS-00011,SET-SAAS-00011,BNK-SAAS-00011,UTRSAAS2026080000011,10850.00,10850.00,10850.00,"Exact match across order ID, UTR, and amount for CloudStack Global SaaS Solutions.",,
SCENARIO-SAAS-00012,saas,exact_match,rule,exact_order_id,ORD-SAAS-EX-00012,INV-SAAS-00012,SET-SAAS-00012,BNK-SAAS-00012,UTRSAAS2026080000012,11785.00,11785.00,11785.00,"Exact match across order ID, UTR, and amount for CloudStack Global SaaS Solutions.",,
SCENARIO-SAAS-00013,saas,exact_match,rule,exact_order_id,ORD-SAAS-EX-00013,INV-SAAS-00013,SET-SAAS-00013,BNK-SAAS-00013,UTRSAAS2026080000013,12720.00,12720.00,12720.00,"Exact match across order ID, UTR, and amount for CloudStack Global SaaS Solutions.",,
