disbursement_id,merchant_order_id,net_payout,deposit_date,utr,settlement_status,gateway_fee,tax,tds
SET-SAAS-00001,ORD-SAAS-EX-00001,1500.00 INR,03-Aug-2026,UTRSAAS2026080000001,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00002,ORD-SAAS-EX-00002,2435.00 INR,04-Aug-2026,UTRSAAS2026080000002,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00003,ORD-SAAS-EX-00003,3370.00 INR,05-Aug-2026,UTRSAAS2026080000003,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00004,ORD-SAAS-EX-00004,4305.00 INR,06-Aug-2026,UTRSAAS2026080000004,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00005,ORD-SAAS-EX-00005,5240.00 INR,07-Aug-2026,UTRSAAS2026080000005,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00006,ORD-SAAS-EX-00006,6175.00 INR,08-Aug-2026,UTRSAAS2026080000006,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00007,ORD-SAAS-EX-00007,7110.00 INR,09-Aug-2026,UTRSAAS2026080000007,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00008,ORD-SAAS-EX-00008,8045.00 INR,10-Aug-2026,UTRSAAS2026080000008,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00009,ORD-SAAS-EX-00009,8980.00 INR,11-Aug-2026,UTRSAAS2026080000009,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00010,ORD-SAAS-EX-00010,9915.00 INR,12-Aug-2026,UTRSAAS2026080000010,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00011,ORD-SAAS-EX-00011,10850.00 INR,13-Aug-2026,UTRSAAS2026080000011,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00012,ORD-SAAS-EX-00012,11785.00 INR,14-Aug-2026,UTRSAAS2026080000012,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00013,ORD-SAAS-EX-00013,12720.00 INR,15-Aug-2026,UTRSAAS2026080000013,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00014,ORD-SAAS-EX-00014,13655.00 INR,16-Aug-2026,UTRSAAS2026080000014,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00015,ORD-SAAS-EX-00015,14590.00 INR,17-Aug-2026,UTRSAAS2026080000015,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00016,ORD-SAAS-EX-00016,15525.00 INR,18-Aug-2026,UTRSAAS2026080000016,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00017,ORD-SAAS-EX-00017,16460.00 INR,19-Aug-2026,UTRSAAS2026080000017,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00018,ORD-SAAS-EX-00018,17395.00 INR,20-Aug-2026,UTRSAAS2026080000018,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00019,ORD-SAAS-EX-00019,18330.00 INR,21-Aug-2026,UTRSAAS2026080000019,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00020,ORD-SAAS-EX-00020,19265.00 INR,22-Aug-2026,UTRSAAS2026080000020,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00021,ORD-SAAS-EX-00021,20200.00 INR,23-Aug-2026,UTRSAAS2026080000021,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00022,ORD-SAAS-EX-00022,21135.00 INR,24-Aug-2026,UTRSAAS2026080000022,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00023,ORD-SAAS-EX-00023,22070.00 INR,25-Aug-2026,UTRSAAS2026080000023,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00024,ORD-SAAS-EX-00024,23005.00 INR,26-Aug-2026,UTRSAAS2026080000024,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00025,ORD-SAAS-EX-00025,23940.00 INR,27-Aug-2026,UTRSAAS2026080000025,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00026,ORD-SAAS-EX-00026,24875.00 INR,03-Aug-2026,UTRSAAS2026080000026,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00027,ORD-SAAS-EX-00027,25810.00 INR,04-Aug-2026,UTRSAAS2026080000027,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00028,ORD-SAAS-EX-00028,26745.00 INR,05-Aug-2026,UTRSAAS2026080000028,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00029,ORD-SAAS-EX-00029,27680.00 INR,06-Aug-2026,UTRSAAS2026080000029,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00030,ORD-SAAS-EX-00030,28615.00 INR,07-Aug-2026,UTRSAAS2026080000030,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00031,ORD-SAAS-EX-00031,29550.00 INR,08-Aug-2026,UTRSAAS2026080000031,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00032,ORD-SAAS-EX-00032,30485.00 INR,09-Aug-2026,UTRSAAS2026080000032,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00033,ORD-SAAS-EX-00033,31420.00 INR,10-Aug-2026,UTRSAAS2026080000033,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00034,ORD-SAAS-EX-00034,32355.00 INR,11-Aug-2026,UTRSAAS2026080000034,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00035,ORD-SAAS-EX-00035,33290.00 INR,12-Aug-2026,UTRSAAS2026080000035,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00036,ORD-SAAS-EX-00036,34225.00 INR,13-Aug-2026,UTRSAAS2026080000036,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00037,ORD-SAAS-EX-00037,35160.00 INR,14-Aug-2026,UTRSAAS2026080000037,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00038,ORD-SAAS-EX-00038,36095.00 INR,15-Aug-2026,UTRSAAS2026080000038,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00039,ORD-SAAS-EX-00039,37030.00 INR,16-Aug-2026,UTRSAAS2026080000039,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00040,ORD-SAAS-EX-00040,37965.00 INR,17-Aug-2026,UTRSAAS2026080000040,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00041,ORD-SAAS-EX-00041,38900.00 INR,18-Aug-2026,UTRSAAS2026080000041,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00042,ORD-SAAS-EX-00042,39835.00 INR,19-Aug-2026,UTRSAAS2026080000042,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00043,ORD-SAAS-EX-00043,40770.00 INR,20-Aug-2026,UTRSAAS2026080000043,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00044,ORD-SAAS-EX-00044,41705.00 INR,21-Aug-2026,UTRSAAS2026080000044,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00045,ORD-SAAS-EX-00045,42640.00 INR,22-Aug-2026,UTRSAAS2026080000045,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00046,ORD-SAAS-EX-00046,43575.00 INR,23-Aug-2026,UTRSAAS2026080000046,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00047,ORD-SAAS-EX-00047,44510.00 INR,24-Aug-2026,UTRSAAS2026080000047,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00048,ORD-SAAS-EX-00048,45445.00 INR,25-Aug-2026,UTRSAAS2026080000048,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00049,ORD-SAAS-EX-00049,46380.00 INR,26-Aug-2026,UTRSAAS2026080000049,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00050,ORD-SAAS-EX-00050,47315.00 INR,27-Aug-2026,UTRSAAS2026080000050,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00051,ORD-SAAS-EX-00051,48250.00 INR,03-Aug-2026,UTRSAAS2026080000051,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00052,ORD-SAAS-EX-00052,49185.00 INR,04-Aug-2026,UTRSAAS2026080000052,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00053,ORD-SAAS-EX-00053,50120.00 INR,05-Aug-2026,UTRSAAS2026080000053,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00054,ORD-SAAS-EX-00054,51055.00 INR,06-Aug-2026,UTRSAAS2026080000054,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00055,ORD-SAAS-EX-00055,51990.00 INR,07-Aug-2026,UTRSAAS2026080000055,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00056,ORD-SAAS-EX-00056,52925.00 INR,08-Aug-2026,UTRSAAS2026080000056,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00057,ORD-SAAS-EX-00057,53860.00 INR,09-Aug-2026,UTRSAAS2026080000057,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00058,ORD-SAAS-EX-00058,54795.00 INR,10-Aug-2026,UTRSAAS2026080000058,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00059,ORD-SAAS-EX-00059,55730.00 INR,11-Aug-2026,UTRSAAS2026080000059,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00060,ORD-SAAS-EX-00060,56665.00 INR,12-Aug-2026,UTRSAAS2026080000060,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00061,ORD-SAAS-EX-00061,57600.00 INR,13-Aug-2026,UTRSAAS2026080000061,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00062,ORD-SAAS-EX-00062,58535.00 INR,14-Aug-2026,UTRSAAS2026080000062,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00063,ORD-SAAS-EX-00063,59470.00 INR,15-Aug-2026,UTRSAAS2026080000063,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00064,ORD-SAAS-EX-00064,60405.00 INR,16-Aug-2026,UTRSAAS2026080000064,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00065,ORD-SAAS-EX-00065,61340.00 INR,17-Aug-2026,UTRSAAS2026080000065,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00066,ORD-SAAS-EX-00066,62275.00 INR,18-Aug-2026,UTRSAAS2026080000066,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00067,ORD-SAAS-EX-00067,63210.00 INR,19-Aug-2026,UTRSAAS2026080000067,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00068,ORD-SAAS-EX-00068,64145.00 INR,20-Aug-2026,UTRSAAS2026080000068,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00069,ORD-SAAS-EX-00069,65080.00 INR,21-Aug-2026,UTRSAAS2026080000069,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00070,ORD-SAAS-EX-00070,66015.00 INR,22-Aug-2026,UTRSAAS2026080000070,settled,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00071,ORD-SAAS-FEE-00071,10611.30 INR,03-Aug-2026,UTRSAAS2026080000071,settled,238.70 INR,0.00 INR,0.00 INR
SET-SAAS-00072,ORD-SAAS-FEE-00072,11525.73 INR,04-Aug-2026,UTRSAAS2026080000072,settled,259.27 INR,0.00 INR,0.00 INR
SET-SAAS-00073,ORD-SAAS-FEE-00073,12440.16 INR,05-Aug-2026,UTRSAAS2026080000073,settled,279.84 INR,0.00 INR,0.00 INR
SET-SAAS-00074,ORD-SAAS-FEE-00074,13354.59 INR,06-Aug-2026,UTRSAAS2026080000074,settled,300.41 INR,0.00 INR,0.00 INR
SET-SAAS-00075,ORD-SAAS-FEE-00075,14269.02 INR,07-Aug-2026,UTRSAAS2026080000075,settled,320.98 INR,0.00 INR,0.00 INR
SET-SAAS-00076,ORD-SAAS-FEE-00076,15183.45 INR,08-Aug-2026,UTRSAAS2026080000076,settled,341.55 INR,0.00 INR,0.00 INR
SET-SAAS-00077,ORD-SAAS-FEE-00077,16097.88 INR,09-Aug-2026,UTRSAAS2026080000077,settled,362.12 INR,0.00 INR,0.00 INR
SET-SAAS-00078,ORD-SAAS-FEE-00078,17012.31 INR,10-Aug-2026,UTRSAAS2026080000078,settled,382.69 INR,0.00 INR,0.00 INR
SET-SAAS-00079,ORD-SAAS-GST-00079,19675.61 INR,03-Aug-2026,UTRSAAS2026080000079,settled,444.40 INR,79.99 INR,0.00 INR
SET-SAAS-00080,ORD-SAAS-GST-00080,20586.34 INR,04-Aug-2026,UTRSAAS2026080000080,settled,464.97 INR,83.69 INR,0.00 INR
SET-SAAS-00081,ORD-SAAS-GST-00081,21497.06 INR,05-Aug-2026,UTRSAAS2026080000081,settled,485.54 INR,87.40 INR,0.00 INR
SET-SAAS-00082,ORD-SAAS-GST-00082,22407.79 INR,06-Aug-2026,UTRSAAS2026080000082,settled,506.11 INR,91.10 INR,0.00 INR
SET-SAAS-00083,ORD-SAAS-GST-00083,23318.52 INR,07-Aug-2026,UTRSAAS2026080000083,settled,526.68 INR,94.80 INR,0.00 INR
SET-SAAS-00084,ORD-SAAS-TDS-00084,28487.38 INR,03-Aug-2026,UTRSAAS2026080000084,settled,650.10 INR,117.02 INR,295.50 INR
SET-SAAS-00085,ORD-SAAS-TDS-00085,29388.76 INR,04-Aug-2026,UTRSAAS2026080000085,settled,670.67 INR,120.72 INR,304.85 INR
SET-SAAS-00086,ORD-SAAS-TDS-00086,30290.14 INR,05-Aug-2026,UTRSAAS2026080000086,settled,691.24 INR,124.42 INR,314.20 INR
SET-SAAS-00087,ORD-SAAS-AI-00087,38870.00 INR,03-Aug-2026,UTRSAAS2026080000087,settled,30.00 INR,0.00 INR,0.00 INR
SET-SAAS-00088,ORD-SAAS-AI-00088,39790.00 INR,04-Aug-2026,UTRSAAS2026080000088,settled,45.00 INR,0.00 INR,0.00 INR
SET-SAAS-00089,ORD-SAAS-AI-00089,40710.00 INR,05-Aug-2026,UTRSAAS2026080000089,settled,60.00 INR,0.00 INR,0.00 INR
SET-SAAS-00090,ORD-SAAS-AI-00090,41630.00 INR,06-Aug-2026,UTRSAAS2026080000090,settled,75.00 INR,0.00 INR,0.00 INR
SET-SAAS-00091,ORD-SAAS-AI-00091,42550.00 INR,07-Aug-2026,UTRSAAS2026080000091,settled,90.00 INR,0.00 INR,0.00 INR
SET-SAAS-00092,ORD-SAAS-AI-00092,43545.00 INR,08-Aug-2026,UTRSAAS2026080000092,settled,30.00 INR,0.00 INR,0.00 INR
SET-SAAS-00093,ORD-SAAS-EXC-00093,48250.00 INR,07-Aug-2026,UTRSAAS2026080000093,pending,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00094,ORD-SAAS-EXC-00094,49185.00 INR,08-Aug-2026,UTRSAAS2026080000094,pending,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00095,ORD-SAAS-EXC-00095,50120.00 INR,09-Aug-2026,UTRSAAS2026080000095,pending,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00096,ORD-SAAS-EXC-00096,51055.00 INR,10-Aug-2026,UTRSAAS2026080000096,pending,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00097,ORD-SAAS-EXC-00097,51990.00 INR,11-Aug-2026,UTRSAAS2026080000097,pending,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00098,ORD-SAAS-EXC-00098,52925.00 INR,12-Aug-2026,UTRSAAS2026080000098,pending,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00099,ORD-SAAS-EXC-00099,53860.00 INR,13-Aug-2026,UTRSAAS2026080000099,pending,0.00 INR,0.00 INR,0.00 INR
SET-SAAS-00100,ORD-SAAS-EXC-00100,54795.00 INR,14-Aug-2026,UTRSAAS2026080000100,pending,0.00 INR,0.00 INR,0.00 INR
