txn_id,statement_date,transaction_details,utr,amount,available_balance,txn_status
BNK-SUB-0001,03-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000001,UTRSUB202608000001,"1,000.00 INR","501,000.00 INR",credited
BNK-SUB-0002,04-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000002,UTRSUB202608000002,"1,125.50 INR","502,125.50 INR",credited
BNK-SUB-0003,05-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000003,UTRSUB202608000003,"1,251.00 INR","503,376.50 INR",credited
BNK-SUB-0004,06-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000004,UTRSUB202608000004,"1,376.50 INR","504,753.00 INR",credited
BNK-SUB-0005,07-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000005,UTRSUB202608000005,"1,502.00 INR","506,255.00 INR",credited
BNK-SUB-0006,08-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000006,UTRSUB202608000006,"1,627.50 INR","507,882.50 INR",credited
BNK-SUB-0007,09-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000007,UTRSUB202608000007,"1,753.00 INR","509,635.50 INR",credited
BNK-SUB-0008,10-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000008,UTRSUB202608000008,"1,878.50 INR","511,514.00 INR",credited
BNK-SUB-0009,11-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000009,UTRSUB202608000009,"2,004.00 INR","513,518.00 INR",credited
BNK-SUB-0010,12-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000010,UTRSUB202608000010,"2,129.50 INR","515,647.50 INR",credited
BNK-SUB-0011,13-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000011,UTRSUB202608000011,"2,255.00 INR","517,902.50 INR",credited
BNK-SUB-0012,14-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000012,UTRSUB202608000012,"2,380.50 INR","520,283.00 INR",credited
BNK-SUB-0013,15-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000013,UTRSUB202608000013,"2,506.00 INR","522,789.00 INR",credited
BNK-SUB-0014,16-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000014,UTRSUB202608000014,"2,631.50 INR","525,420.50 INR",credited
BNK-SUB-0015,17-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000015,UTRSUB202608000015,"2,757.00 INR","528,177.50 INR",credited
BNK-SUB-0016,03-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000016,UTRSUB202608000016,"2,882.50 INR","531,060.00 INR",credited
BNK-SUB-0017,04-Aug-2026,ACH CR RAZORPAY SETTLEMENT UTRSUB202608000017,UTRSUB202608000017,"3,008.00 INR","534,068.00 INR",credited
