scenario_id,merchant_type,category,expected_resolution,expected_rule,order_id,invoice_id,settlement_id,bank_txn_id,reference_number,invoice_amount,settlement_amount,bank_amount,explanation,likely_reason,expected_value,evidence_field,difference_amount,exception_category
SCENARIO-SUB-0001,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0001,INV-SUB-0001,SET-SUB-0001,BNK-SUB-0001,UTRSUB202608000001,1000.00,1000.00,1000.00,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0002,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0002,INV-SUB-0002,SET-SUB-0002,BNK-SUB-0002,UTRSUB202608000002,1125.50,1125.50,1125.50,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0003,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0003,INV-SUB-0003,SET-SUB-0003,BNK-SUB-0003,UTRSUB202608000003,1251.00,1251.00,1251.00,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0004,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0004,INV-SUB-0004,SET-SUB-0004,BNK-SUB-0004,UTRSUB202608000004,1376.50,1376.50,1376.50,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0005,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0005,INV-SUB-0005,SET-SUB-0005,BNK-SUB-0005,UTRSUB202608000005,1502.00,1502.00,1502.00,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0006,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0006,INV-SUB-0006,SET-SUB-0006,BNK-SUB-0006,UTRSUB202608000006,1627.50,1627.50,1627.50,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0007,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0007,INV-SUB-0007,SET-SUB-0007,BNK-SUB-0007,UTRSUB202608000007,1753.00,1753.00,1753.00,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0008,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0008,INV-SUB-0008,SET-SUB-0008,BNK-SUB-0008,UTRSUB202608000008,1878.50,1878.50,1878.50,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0009,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0009,INV-SUB-0009,SET-SUB-0009,BNK-SUB-0009,UTRSUB202608000009,2004.00,2004.00,2004.00,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0010,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0010,INV-SUB-0010,SET-SUB-0010,BNK-SUB-0010,UTRSUB202608000010,2129.50,2129.50,2129.50,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0011,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0011,INV-SUB-0011,SET-SUB-0011,BNK-SUB-0011,UTRSUB202608000011,2255.00,2255.00,2255.00,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0012,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0012,INV-SUB-0012,SET-SUB-0012,BNK-SUB-0012,UTRSUB202608000012,2380.50,2380.50,2380.50,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0013,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0013,INV-SUB-0013,SET-SUB-0013,BNK-SUB-0013,UTRSUB202608000013,2506.00,2506.00,2506.00,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0014,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0014,INV-SUB-0014,SET-SUB-0014,BNK-SUB-0014,UTRSUB202608000014,2631.50,2631.50,2631.50,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0015,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0015,INV-SUB-0015,SET-SUB-0015,BNK-SUB-0015,UTRSUB202608000015,2757.00,2757.00,2757.00,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0016,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0016,INV-SUB-0016,SET-SUB-0016,BNK-SUB-0016,UTRSUB202608000016,2882.50,2882.50,2882.50,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0017,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0017,INV-SUB-0017,SET-SUB-0017,BNK-SUB-0017,UTRSUB202608000017,3008.00,3008.00,3008.00,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0018,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0018,INV-SUB-0018,SET-SUB-0018,BNK-SUB-0018,UTRSUB202608000018,3133.50,3133.50,3133.50,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0019,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0019,INV-SUB-0019,SET-SUB-0019,BNK-SUB-0019,UTRSUB202608000019,3259.00,3259.00,3259.00,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0020,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0020,INV-SUB-0020,SET-SUB-0020,BNK-SUB-0020,UTRSUB202608000020,3384.50,3384.50,3384.50,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0021,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0021,INV-SUB-0021,SET-SUB-0021,BNK-SUB-0021,UTRSUB202608000021,3510.00,3510.00,3510.00,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0022,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0022,INV-SUB-0022,SET-SUB-0022,BNK-SUB-0022,UTRSUB202608000022,3635.50,3635.50,3635.50,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0023,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0023,INV-SUB-0023,SET-SUB-0023,BNK-SUB-0023,UTRSUB202608000023,3761.00,3761.00,3761.00,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0024,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0024,INV-SUB-0024,SET-SUB-0024,BNK-SUB-0024,UTRSUB202608000024,3886.50,3886.50,3886.50,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0025,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0025,INV-SUB-0025,SET-SUB-0025,BNK-SUB-0025,UTRSUB202608000025,4012.00,4012.00,4012.00,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0026,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0026,INV-SUB-0026,SET-SUB-0026,BNK-SUB-0026,UTRSUB202608000026,4137.50,4137.50,4137.50,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0027,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0027,INV-SUB-0027,SET-SUB-0027,BNK-SUB-0027,UTRSUB202608000027,4263.00,4263.00,4263.00,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0028,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0028,INV-SUB-0028,SET-SUB-0028,BNK-SUB-0028,UTRSUB202608000028,4388.50,4388.50,4388.50,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0029,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0029,INV-SUB-0029,SET-SUB-0029,BNK-SUB-0029,UTRSUB202608000029,4514.00,4514.00,4514.00,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0030,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0030,INV-SUB-0030,SET-SUB-0030,BNK-SUB-0030,UTRSUB202608000030,4639.50,4639.50,4639.50,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0031,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0031,INV-SUB-0031,SET-SUB-0031,BNK-SUB-0031,UTRSUB202608000031,4765.00,4765.00,4765.00,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0032,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0032,INV-SUB-0032,SET-SUB-0032,BNK-SUB-0032,UTRSUB202608000032,4890.50,4890.50,4890.50,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0033,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0033,INV-SUB-0033,SET-SUB-0033,BNK-SUB-0033,UTRSUB202608000033,5016.00,5016.00,5016.00,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0034,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0034,INV-SUB-0034,SET-SUB-0034,BNK-SUB-0034,UTRSUB202608000034,5141.50,5141.50,5141.50,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0035,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0035,INV-SUB-0035,SET-SUB-0035,BNK-SUB-0035,UTRSUB202608000035,5267.00,5267.00,5267.00,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0036,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0036,INV-SUB-0036,SET-SUB-0036,BNK-SUB-0036,UTRSUB202608000036,5392.50,5392.50,5392.50,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0037,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0037,INV-SUB-0037,SET-SUB-0037,BNK-SUB-0037,UTRSUB202608000037,5518.00,5518.00,5518.00,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0038,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0038,INV-SUB-0038,SET-SUB-0038,BNK-SUB-0038,UTRSUB202608000038,5643.50,5643.50,5643.50,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0039,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0039,INV-SUB-0039,SET-SUB-0039,BNK-SUB-0039,UTRSUB202608000039,5769.00,5769.00,5769.00,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0040,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0040,INV-SUB-0040,SET-SUB-0040,BNK-SUB-0040,UTRSUB202608000040,5894.50,5894.50,5894.50,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0041,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0041,INV-SUB-0041,SET-SUB-0041,BNK-SUB-0041,UTRSUB202608000041,6020.00,6020.00,6020.00,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0042,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0042,INV-SUB-0042,SET-SUB-0042,BNK-SUB-0042,UTRSUB202608000042,6145.50,6145.50,6145.50,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0043,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0043,INV-SUB-0043,SET-SUB-0043,BNK-SUB-0043,UTRSUB202608000043,6271.00,6271.00,6271.00,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0044,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0044,INV-SUB-0044,SET-SUB-0044,BNK-SUB-0044,UTRSUB202608000044,6396.50,6396.50,6396.50,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0045,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0045,INV-SUB-0045,SET-SUB-0045,BNK-SUB-0045,UTRSUB202608000045,6522.00,6522.00,6522.00,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0046,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0046,INV-SUB-0046,SET-SUB-0046,BNK-SUB-0046,UTRSUB202608000046,6647.50,6647.50,6647.50,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0047,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0047,INV-SUB-0047,SET-SUB-0047,BNK-SUB-0047,UTRSUB202608000047,6773.00,6773.00,6773.00,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0048,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0048,INV-SUB-0048,SET-SUB-0048,BNK-SUB-0048,UTRSUB202608000048,6898.50,6898.50,6898.50,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0049,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0049,INV-SUB-0049,SET-SUB-0049,BNK-SUB-0049,UTRSUB202608000049,7024.00,7024.00,7024.00,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0050,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0050,INV-SUB-0050,SET-SUB-0050,BNK-SUB-0050,UTRSUB202608000050,7149.50,7149.50,7149.50,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0051,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0051,INV-SUB-0051,SET-SUB-0051,BNK-SUB-0051,UTRSUB202608000051,7275.00,7275.00,7275.00,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0052,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0052,INV-SUB-0052,SET-SUB-0052,BNK-SUB-0052,UTRSUB202608000052,7400.50,7400.50,7400.50,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0053,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0053,INV-SUB-0053,SET-SUB-0053,BNK-SUB-0053,UTRSUB202608000053,7526.00,7526.00,7526.00,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0054,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0054,INV-SUB-0054,SET-SUB-0054,BNK-SUB-0054,UTRSUB202608000054,7651.50,7651.50,7651.50,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0055,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0055,INV-SUB-0055,SET-SUB-0055,BNK-SUB-0055,UTRSUB202608000055,7777.00,7777.00,7777.00,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0056,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0056,INV-SUB-0056,SET-SUB-0056,BNK-SUB-0056,UTRSUB202608000056,7902.50,7902.50,7902.50,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0057,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0057,INV-SUB-0057,SET-SUB-0057,BNK-SUB-0057,UTRSUB202608000057,8028.00,8028.00,8028.00,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0058,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0058,INV-SUB-0058,SET-SUB-0058,BNK-SUB-0058,UTRSUB202608000058,8153.50,8153.50,8153.50,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0059,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0059,INV-SUB-0059,SET-SUB-0059,BNK-SUB-0059,UTRSUB202608000059,8279.00,8279.00,8279.00,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0060,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0060,INV-SUB-0060,SET-SUB-0060,BNK-SUB-0060,UTRSUB202608000060,8404.50,8404.50,8404.50,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0061,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0061,INV-SUB-0061,SET-SUB-0061,BNK-SUB-0061,UTRSUB202608000061,8530.00,8530.00,8530.00,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0062,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0062,INV-SUB-0062,SET-SUB-0062,BNK-SUB-0062,UTRSUB202608000062,8655.50,8655.50,8655.50,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0063,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0063,INV-SUB-0063,SET-SUB-0063,BNK-SUB-0063,UTRSUB202608000063,8781.00,8781.00,8781.00,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0064,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0064,INV-SUB-0064,SET-SUB-0064,BNK-SUB-0064,UTRSUB202608000064,8906.50,8906.50,8906.50,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0065,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0065,INV-SUB-0065,SET-SUB-0065,BNK-SUB-0065,UTRSUB202608000065,9032.00,9032.00,9032.00,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0066,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0066,INV-SUB-0066,SET-SUB-0066,BNK-SUB-0066,UTRSUB202608000066,9157.50,9157.50,9157.50,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0067,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0067,INV-SUB-0067,SET-SUB-0067,BNK-SUB-0067,UTRSUB202608000067,9283.00,9283.00,9283.00,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0068,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0068,INV-SUB-0068,SET-SUB-0068,BNK-SUB-0068,UTRSUB202608000068,9408.50,9408.50,9408.50,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0069,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0069,INV-SUB-0069,SET-SUB-0069,BNK-SUB-0069,UTRSUB202608000069,9534.00,9534.00,9534.00,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0070,subscription,exact_match,rule,exact_order_id,ORD-SUB-EX-0070,INV-SUB-0070,SET-SUB-0070,BNK-SUB-0070,UTRSUB202608000070,9659.50,9659.50,9659.50,"Exact match across order ID, UTR, and amount for subscription profile.",,,,,
SCENARIO-SUB-0071,subscription,fee_deduction,rule,fee_gst_tds_adjusted_amount:Fee,ORD-SUB-FEE-0071,INV-SUB-0071,SET-SUB-0071,BNK-SUB-0071,UTRSUB202608000071,5000.00,4900.00,4900.00,Rule match: 2.0% MDR fee (₹100.00) deducted for subscription.,,,,,
SCENARIO-SUB-0072,subscription,fee_deduction,rule,fee_gst_tds_adjusted_amount:Fee,ORD-SUB-FEE-0072,INV-SUB-0072,SET-SUB-0072,BNK-SUB-0072,UTRSUB202608000072,5300.00,5194.00,5194.00,Rule match: 2.0% MDR fee (₹106.00) deducted for subscription.,,,,,
SCENARIO-SUB-0073,subscription,fee_deduction,rule,fee_gst_tds_adjusted_amount:Fee,ORD-SUB-FEE-0073,INV-SUB-0073,SET-SUB-0073,BNK-SUB-0073,UTRSUB202608000073,5600.00,5488.00,5488.00,Rule match: 2.0% MDR fee (₹112.00) deducted for subscription.,,,,,
SCENARIO-SUB-0074,subscription,fee_deduction,rule,fee_gst_tds_adjusted_amount:Fee,ORD-SUB-FEE-0074,INV-SUB-0074,SET-SUB-0074,BNK-SUB-0074,UTRSUB202608000074,5900.00,5782.00,5782.00,Rule match: 2.0% MDR fee (₹118.00) deducted for subscription.,,,,,
