receipt_id,merchant_order_id,total_value,billing_date,account_name,payment_status
INV-SUB-0001,ORD-SUB-EX-0001,"1,000.00 INR",01-Aug-2026,Customer_SUB_1,paid
INV-SUB-0002,ORD-SUB-EX-0002,"1,125.50 INR",02-Aug-2026,Customer_SUB_2,paid
INV-SUB-0003,ORD-SUB-EX-0003,"1,251.00 INR",03-Aug-2026,Customer_SUB_3,paid
INV-SUB-0004,ORD-SUB-EX-0004,"1,376.50 INR",04-Aug-2026,Customer_SUB_4,paid
INV-SUB-0005,ORD-SUB-EX-0005,"1,502.00 INR",05-Aug-2026,Customer_SUB_5,paid
INV-SUB-0006,ORD-SUB-EX-0006,"1,627.50 INR",06-Aug-2026,Customer_SUB_6,paid
INV-SUB-0007,ORD-SUB-EX-0007,"1,753.00 INR",07-Aug-2026,Customer_SUB_7,paid
INV-SUB-0008,ORD-SUB-EX-0008,"1,878.50 INR",08-Aug-2026,Customer_SUB_8,paid
INV-SUB-0009,ORD-SUB-EX-0009,"2,004.00 INR",09-Aug-2026,Customer_SUB_9,paid
INV-SUB-0010,ORD-SUB-EX-0010,"2,129.50 INR",10-Aug-2026,Customer_SUB_10,paid
INV-SUB-0011,ORD-SUB-EX-0011,"2,255.00 INR",11-Aug-2026,Customer_SUB_11,paid
INV-SUB-0012,ORD-SUB-EX-0012,"2,380.50 INR",12-Aug-2026,Customer_SUB_12,paid
INV-SUB-0013,ORD-SUB-EX-0013,"2,506.00 INR",13-Aug-2026,Customer_SUB_13,paid
INV-SUB-0014,ORD-SUB-EX-0014,"2,631.50 INR",14-Aug-2026,Customer_SUB_14,paid
INV-SUB-0015,ORD-SUB-EX-0015,"2,757.00 INR",15-Aug-2026,Customer_SUB_15,paid
INV-SUB-0016,ORD-SUB-EX-0016,"2,882.50 INR",01-Aug-2026,Customer_SUB_16,paid
INV-SUB-0017,ORD-SUB-EX-0017,"3,008.00 INR",02-Aug-2026,Customer_SUB_17,paid
INV-SUB-0018,ORD-SUB-EX-0018,"3,133.50 INR",03-Aug-2026,Customer_SUB_18,paid
INV-SUB-0019,ORD-SUB-EX-0019,"3,259.00 INR",04-Aug-2026,Customer_SUB_19,paid
INV-SUB-0020,ORD-SUB-EX-0020,"3,384.50 INR",05-Aug-2026,Customer_SUB_20,paid
