disbursement_id,merchant_order_id,net_payout,deposit_date,utr,settlement_status,gateway_fee,tax,tds
SET-SUB-0001,ORD-SUB-EX-0001,"1,000.00 INR",03-Aug-2026,UTRSUB202608000001,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0002,ORD-SUB-EX-0002,"1,125.50 INR",04-Aug-2026,UTRSUB202608000002,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0003,ORD-SUB-EX-0003,"1,251.00 INR",05-Aug-2026,UTRSUB202608000003,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0004,ORD-SUB-EX-0004,"1,376.50 INR",06-Aug-2026,UTRSUB202608000004,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0005,ORD-SUB-EX-0005,"1,502.00 INR",07-Aug-2026,UTRSUB202608000005,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0006,ORD-SUB-EX-0006,"1,627.50 INR",08-Aug-2026,UTRSUB202608000006,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0007,ORD-SUB-EX-0007,"1,753.00 INR",09-Aug-2026,UTRSUB202608000007,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0008,ORD-SUB-EX-0008,"1,878.50 INR",10-Aug-2026,UTRSUB202608000008,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0009,ORD-SUB-EX-0009,"2,004.00 INR",11-Aug-2026,UTRSUB202608000009,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0010,ORD-SUB-EX-0010,"2,129.50 INR",12-Aug-2026,UTRSUB202608000010,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0011,ORD-SUB-EX-0011,"2,255.00 INR",13-Aug-2026,UTRSUB202608000011,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0012,ORD-SUB-EX-0012,"2,380.50 INR",14-Aug-2026,UTRSUB202608000012,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0013,ORD-SUB-EX-0013,"2,506.00 INR",15-Aug-2026,UTRSUB202608000013,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0014,ORD-SUB-EX-0014,"2,631.50 INR",16-Aug-2026,UTRSUB202608000014,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0015,ORD-SUB-EX-0015,"2,757.00 INR",17-Aug-2026,UTRSUB202608000015,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0016,ORD-SUB-EX-0016,"2,882.50 INR",03-Aug-2026,UTRSUB202608000016,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0017,ORD-SUB-EX-0017,"3,008.00 INR",04-Aug-2026,UTRSUB202608000017,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0018,ORD-SUB-EX-0018,"3,133.50 INR",05-Aug-2026,UTRSUB202608000018,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0019,ORD-SUB-EX-0019,"3,259.00 INR",06-Aug-2026,UTRSUB202608000019,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0020,ORD-SUB-EX-0020,"3,384.50 INR",07-Aug-2026,UTRSUB202608000020,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0021,ORD-SUB-EX-0021,"3,510.00 INR",08-Aug-2026,UTRSUB202608000021,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0022,ORD-SUB-EX-0022,"3,635.50 INR",09-Aug-2026,UTRSUB202608000022,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0023,ORD-SUB-EX-0023,"3,761.00 INR",10-Aug-2026,UTRSUB202608000023,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0024,ORD-SUB-EX-0024,"3,886.50 INR",11-Aug-2026,UTRSUB202608000024,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0025,ORD-SUB-EX-0025,"4,012.00 INR",12-Aug-2026,UTRSUB202608000025,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0026,ORD-SUB-EX-0026,"4,137.50 INR",13-Aug-2026,UTRSUB202608000026,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0027,ORD-SUB-EX-0027,"4,263.00 INR",14-Aug-2026,UTRSUB202608000027,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0028,ORD-SUB-EX-0028,"4,388.50 INR",15-Aug-2026,UTRSUB202608000028,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0029,ORD-SUB-EX-0029,"4,514.00 INR",16-Aug-2026,UTRSUB202608000029,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0030,ORD-SUB-EX-0030,"4,639.50 INR",17-Aug-2026,UTRSUB202608000030,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0031,ORD-SUB-EX-0031,"4,765.00 INR",03-Aug-2026,UTRSUB202608000031,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0032,ORD-SUB-EX-0032,"4,890.50 INR",04-Aug-2026,UTRSUB202608000032,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0033,ORD-SUB-EX-0033,"5,016.00 INR",05-Aug-2026,UTRSUB202608000033,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0034,ORD-SUB-EX-0034,"5,141.50 INR",06-Aug-2026,UTRSUB202608000034,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0035,ORD-SUB-EX-0035,"5,267.00 INR",07-Aug-2026,UTRSUB202608000035,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0036,ORD-SUB-EX-0036,"5,392.50 INR",08-Aug-2026,UTRSUB202608000036,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0037,ORD-SUB-EX-0037,"5,518.00 INR",09-Aug-2026,UTRSUB202608000037,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0038,ORD-SUB-EX-0038,"5,643.50 INR",10-Aug-2026,UTRSUB202608000038,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0039,ORD-SUB-EX-0039,"5,769.00 INR",11-Aug-2026,UTRSUB202608000039,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0040,ORD-SUB-EX-0040,"5,894.50 INR",12-Aug-2026,UTRSUB202608000040,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0041,ORD-SUB-EX-0041,"6,020.00 INR",13-Aug-2026,UTRSUB202608000041,settled,0.00 INR,0.00 INR,0.00 INR
SET-SUB-0042,ORD-SUB-EX-0042,"6,145.50 INR",14-Aug-2026,UTRSUB202608000042,settled,0.00 INR,0.00 INR,0.00 INR
