bank_id,credit_date,narration,utr_number,credit_amount,closing_balance,status
BNK-TRAV-00001,2026-08-04,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000001,UTRTRAV2026080000001,"₹2,500.00","₹5,002,500.00",credited
BNK-TRAV-00002,2026-08-05,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000002,UTRTRAV2026080000002,"₹3,675.00","₹5,006,175.00",credited
BNK-TRAV-00003,2026-08-06,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000003,UTRTRAV2026080000003,"₹4,850.00","₹5,011,025.00",credited
BNK-TRAV-00004,2026-08-07,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000004,UTRTRAV2026080000004,"₹6,025.00","₹5,017,050.00",credited
BNK-TRAV-00005,2026-08-08,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000005,UTRTRAV2026080000005,"₹7,200.00","₹5,024,250.00",credited
BNK-TRAV-00006,2026-08-09,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000006,UTRTRAV2026080000006,"₹8,375.00","₹5,032,625.00",credited
BNK-TRAV-00007,2026-08-10,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000007,UTRTRAV2026080000007,"₹9,550.00","₹5,042,175.00",credited
BNK-TRAV-00008,2026-08-11,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000008,UTRTRAV2026080000008,"₹10,725.00","₹5,052,900.00",credited
BNK-TRAV-00009,2026-08-12,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000009,UTRTRAV2026080000009,"₹11,900.00","₹5,064,800.00",credited
BNK-TRAV-00010,2026-08-13,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000010,UTRTRAV2026080000010,"₹13,075.00","₹5,077,875.00",credited
BNK-TRAV-00011,2026-08-14,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000011,UTRTRAV2026080000011,"₹14,250.00","₹5,092,125.00",credited
BNK-TRAV-00012,2026-08-15,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000012,UTRTRAV2026080000012,"₹15,425.00","₹5,107,550.00",credited
BNK-TRAV-00013,2026-08-16,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000013,UTRTRAV2026080000013,"₹16,600.00","₹5,124,150.00",credited
BNK-TRAV-00014,2026-08-17,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000014,UTRTRAV2026080000014,"₹17,775.00","₹5,141,925.00",credited
BNK-TRAV-00015,2026-08-18,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000015,UTRTRAV2026080000015,"₹18,950.00","₹5,160,875.00",credited
BNK-TRAV-00016,2026-08-19,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000016,UTRTRAV2026080000016,"₹20,125.00","₹5,181,000.00",credited
BNK-TRAV-00017,2026-08-20,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000017,UTRTRAV2026080000017,"₹21,300.00","₹5,202,300.00",credited
BNK-TRAV-00018,2026-08-21,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000018,UTRTRAV2026080000018,"₹22,475.00","₹5,224,775.00",credited
BNK-TRAV-00019,2026-08-22,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000019,UTRTRAV2026080000019,"₹23,650.00","₹5,248,425.00",credited
BNK-TRAV-00020,2026-08-23,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000020,UTRTRAV2026080000020,"₹24,825.00","₹5,273,250.00",credited
BNK-TRAV-00021,2026-08-24,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000021,UTRTRAV2026080000021,"₹26,000.00","₹5,299,250.00",credited
BNK-TRAV-00022,2026-08-25,ACH CR RAZORPAY SETTLEMENT UTRTRAV2026080000022,UTRTRAV2026080000022,"₹27,175.00","₹5,326,425.00",credited
