scenario_id,merchant_type,category,expected_resolution,expected_rule,order_id,invoice_id,settlement_id,bank_txn_id,reference_number,invoice_amount,settlement_amount,bank_amount,explanation,likely_reason,exception_category
SCENARIO-TRAV-00001,travel,exact_match,rule,exact_order_id,ORD-TRAV-EX-00001,INV-TRAV-00001,SET-TRAV-00001,BNK-TRAV-00001,UTRTRAV2026080000001,2500.00,2500.00,2500.00,"Exact match across order ID, UTR, and amount for AeroVoyage Flights & Hospitality.",,
SCENARIO-TRAV-00002,travel,exact_match,rule,exact_order_id,ORD-TRAV-EX-00002,INV-TRAV-00002,SET-TRAV-00002,BNK-TRAV-00002,UTRTRAV2026080000002,3675.00,3675.00,3675.00,"Exact match across order ID, UTR, and amount for AeroVoyage Flights & Hospitality.",,
SCENARIO-TRAV-00003,travel,exact_match,rule,exact_order_id,ORD-TRAV-EX-00003,INV-TRAV-00003,SET-TRAV-00003,BNK-TRAV-00003,UTRTRAV2026080000003,4850.00,4850.00,4850.00,"Exact match across order ID, UTR, and amount for AeroVoyage Flights & Hospitality.",,
SCENARIO-TRAV-00004,travel,exact_match,rule,exact_order_id,ORD-TRAV-EX-00004,INV-TRAV-00004,SET-TRAV-00004,BNK-TRAV-00004,UTRTRAV2026080000004,6025.00,6025.00,6025.00,"Exact match across order ID, UTR, and amount for AeroVoyage Flights & Hospitality.",,
SCENARIO-TRAV-00005,travel,exact_match,rule,exact_order_id,ORD-TRAV-EX-00005,INV-TRAV-00005,SET-TRAV-00005,BNK-TRAV-00005,UTRTRAV2026080000005,7200.00,7200.00,7200.00,"Exact match across order ID, UTR, and amount for AeroVoyage Flights & Hospitality.",,
SCENARIO-TRAV-00006,travel,exact_match,rule,exact_order_id,ORD-TRAV-EX-00006,INV-TRAV-00006,SET-TRAV-00006,BNK-TRAV-00006,UTRTRAV2026080000006,8375.00,8375.00,8375.00,"Exact match across order ID, UTR, and amount for AeroVoyage Flights & Hospitality.",,
SCENARIO-TRAV-00007,travel,exact_match,rule,exact_order_id,ORD-TRAV-EX-00007,INV-TRAV-00007,SET-TRAV-00007,BNK-TRAV-00007,UTRTRAV2026080000007,9550.00,9550.00,9550.00,"Exact match across order ID, UTR, and amount for AeroVoyage Flights & Hospitality.",,
SCENARIO-TRAV-00008,travel,exact_match,rule,exact_order_id,ORD-TRAV-EX-00008,INV-TRAV-00008,SET-TRAV-00008,BNK-TRAV-00008,UTRTRAV2026080000008,10725.00,10725.00,10725.00,"Exact match across order ID, UTR, and amount for AeroVoyage Flights & Hospitality.",,
SCENARIO-TRAV-00009,travel,exact_match,rule,exact_order_id,ORD-TRAV-EX-00009,INV-TRAV-00009,SET-TRAV-00009,BNK-TRAV-00009,UTRTRAV2026080000009,11900.00,11900.00,11900.00,"Exact match across order ID, UTR, and amount for AeroVoyage Flights & Hospitality.",,
SCENARIO-TRAV-00010,travel,exact_match,rule,exact_order_id,ORD-TRAV-EX-00010,INV-TRAV-00010,SET-TRAV-00010,BNK-TRAV-00010,UTRTRAV2026080000010,13075.00,13075.00,13075.00,"Exact match across order ID, UTR, and amount for AeroVoyage Flights & Hospitality.",,
