pnr_ticket_no,booking_id,fare_amount,booking_date,passenger_name,booking_status
INV-TRAV-00001,ORD-TRAV-EX-00001,"₹2,500.00",2026-08-01,Client_TRAV_1,paid
INV-TRAV-00002,ORD-TRAV-EX-00002,"₹3,675.00",2026-08-02,Client_TRAV_2,paid
INV-TRAV-00003,ORD-TRAV-EX-00003,"₹4,850.00",2026-08-03,Client_TRAV_3,paid
INV-TRAV-00004,ORD-TRAV-EX-00004,"₹6,025.00",2026-08-04,Client_TRAV_4,paid
INV-TRAV-00005,ORD-TRAV-EX-00005,"₹7,200.00",2026-08-05,Client_TRAV_5,paid
INV-TRAV-00006,ORD-TRAV-EX-00006,"₹8,375.00",2026-08-06,Client_TRAV_6,paid
INV-TRAV-00007,ORD-TRAV-EX-00007,"₹9,550.00",2026-08-07,Client_TRAV_7,paid
INV-TRAV-00008,ORD-TRAV-EX-00008,"₹10,725.00",2026-08-08,Client_TRAV_8,paid
INV-TRAV-00009,ORD-TRAV-EX-00009,"₹11,900.00",2026-08-09,Client_TRAV_9,paid
INV-TRAV-00010,ORD-TRAV-EX-00010,"₹13,075.00",2026-08-10,Client_TRAV_10,paid
INV-TRAV-00011,ORD-TRAV-EX-00011,"₹14,250.00",2026-08-11,Client_TRAV_11,paid
INV-TRAV-00012,ORD-TRAV-EX-00012,"₹15,425.00",2026-08-12,Client_TRAV_12,paid
INV-TRAV-00013,ORD-TRAV-EX-00013,"₹16,600.00",2026-08-13,Client_TRAV_13,paid
INV-TRAV-00014,ORD-TRAV-EX-00014,"₹17,775.00",2026-08-14,Client_TRAV_14,paid
INV-TRAV-00015,ORD-TRAV-EX-00015,"₹18,950.00",2026-08-15,Client_TRAV_15,paid
INV-TRAV-00016,ORD-TRAV-EX-00016,"₹20,125.00",2026-08-16,Client_TRAV_16,paid
INV-TRAV-00017,ORD-TRAV-EX-00017,"₹21,300.00",2026-08-17,Client_TRAV_17,paid
INV-TRAV-00018,ORD-TRAV-EX-00018,"₹22,475.00",2026-08-18,Client_TRAV_18,paid
INV-TRAV-00019,ORD-TRAV-EX-00019,"₹23,650.00",2026-08-19,Client_TRAV_19,paid
INV-TRAV-00020,ORD-TRAV-EX-00020,"₹24,825.00",2026-08-20,Client_TRAV_20,paid
INV-TRAV-00021,ORD-TRAV-EX-00021,"₹26,000.00",2026-08-21,Client_TRAV_21,paid
INV-TRAV-00022,ORD-TRAV-EX-00022,"₹27,175.00",2026-08-22,Client_TRAV_22,paid
INV-TRAV-00023,ORD-TRAV-EX-00023,"₹28,350.00",2026-08-23,Client_TRAV_23,paid
INV-TRAV-00024,ORD-TRAV-EX-00024,"₹29,525.00",2026-08-24,Client_TRAV_24,paid
INV-TRAV-00025,ORD-TRAV-EX-00025,"₹30,700.00",2026-08-25,Client_TRAV_25,paid
INV-TRAV-00026,ORD-TRAV-EX-00026,"₹31,875.00",2026-08-01,Client_TRAV_26,paid
INV-TRAV-00027,ORD-TRAV-EX-00027,"₹33,050.00",2026-08-02,Client_TRAV_27,paid
INV-TRAV-00028,ORD-TRAV-EX-00028,"₹34,225.00",2026-08-03,Client_TRAV_28,paid
INV-TRAV-00029,ORD-TRAV-EX-00029,"₹35,400.00",2026-08-04,Client_TRAV_29,paid
INV-TRAV-00030,ORD-TRAV-EX-00030,"₹36,575.00",2026-08-05,Client_TRAV_30,paid
INV-TRAV-00031,ORD-TRAV-EX-00031,"₹37,750.00",2026-08-06,Client_TRAV_31,paid
INV-TRAV-00032,ORD-TRAV-EX-00032,"₹38,925.00",2026-08-07,Client_TRAV_32,paid
INV-TRAV-00033,ORD-TRAV-EX-00033,"₹40,100.00",2026-08-08,Client_TRAV_33,paid
INV-TRAV-00034,ORD-TRAV-EX-00034,"₹41,275.00",2026-08-09,Client_TRAV_34,paid
INV-TRAV-00035,ORD-TRAV-EX-00035,"₹42,450.00",2026-08-10,Client_TRAV_35,paid
INV-TRAV-00036,ORD-TRAV-EX-00036,"₹43,625.00",2026-08-11,Client_TRAV_36,paid
INV-TRAV-00037,ORD-TRAV-EX-00037,"₹44,800.00",2026-08-12,Client_TRAV_37,paid
INV-TRAV-00038,ORD-TRAV-EX-00038,"₹45,975.00",2026-08-13,Client_TRAV_38,paid
INV-TRAV-00039,ORD-TRAV-EX-00039,"₹47,150.00",2026-08-14,Client_TRAV_39,paid
INV-TRAV-00040,ORD-TRAV-EX-00040,"₹48,325.00",2026-08-15,Client_TRAV_40,paid
INV-TRAV-00041,ORD-TRAV-EX-00041,"₹49,500.00",2026-08-16,Client_TRAV_41,paid
INV-TRAV-00042,ORD-TRAV-EX-00042,"₹50,675.00",2026-08-17,Client_TRAV_42,paid
INV-TRAV-00043,ORD-TRAV-EX-00043,"₹51,850.00",2026-08-18,Client_TRAV_43,paid
INV-TRAV-00044,ORD-TRAV-EX-00044,"₹53,025.00",2026-08-19,Client_TRAV_44,paid
INV-TRAV-00045,ORD-TRAV-EX-00045,"₹54,200.00",2026-08-20,Client_TRAV_45,paid
INV-TRAV-00046,ORD-TRAV-EX-00046,"₹55,375.00",2026-08-21,Client_TRAV_46,paid
INV-TRAV-00047,ORD-TRAV-EX-00047,"₹56,550.00",2026-08-22,Client_TRAV_47,paid
INV-TRAV-00048,ORD-TRAV-EX-00048,"₹57,725.00",2026-08-23,Client_TRAV_48,paid
INV-TRAV-00049,ORD-TRAV-EX-00049,"₹58,900.00",2026-08-24,Client_TRAV_49,paid
INV-TRAV-00050,ORD-TRAV-EX-00050,"₹60,075.00",2026-08-25,Client_TRAV_50,paid
INV-TRAV-00051,ORD-TRAV-EX-00051,"₹61,250.00",2026-08-01,Client_TRAV_51,paid
INV-TRAV-00052,ORD-TRAV-EX-00052,"₹62,425.00",2026-08-02,Client_TRAV_52,paid
INV-TRAV-00053,ORD-TRAV-EX-00053,"₹63,600.00",2026-08-03,Client_TRAV_53,paid
INV-TRAV-00054,ORD-TRAV-EX-00054,"₹64,775.00",2026-08-04,Client_TRAV_54,paid
INV-TRAV-00055,ORD-TRAV-EX-00055,"₹65,950.00",2026-08-05,Client_TRAV_55,paid
INV-TRAV-00056,ORD-TRAV-EX-00056,"₹67,125.00",2026-08-06,Client_TRAV_56,paid
INV-TRAV-00057,ORD-TRAV-EX-00057,"₹68,300.00",2026-08-07,Client_TRAV_57,paid
INV-TRAV-00058,ORD-TRAV-EX-00058,"₹69,475.00",2026-08-08,Client_TRAV_58,paid
INV-TRAV-00059,ORD-TRAV-EX-00059,"₹70,650.00",2026-08-09,Client_TRAV_59,paid
INV-TRAV-00060,ORD-TRAV-EX-00060,"₹71,825.00",2026-08-10,Client_TRAV_60,paid
INV-TRAV-00061,ORD-TRAV-EX-00061,"₹73,000.00",2026-08-11,Client_TRAV_61,paid
INV-TRAV-00062,ORD-TRAV-EX-00062,"₹74,175.00",2026-08-12,Client_TRAV_62,paid
INV-TRAV-00063,ORD-TRAV-EX-00063,"₹75,350.00",2026-08-13,Client_TRAV_63,paid
INV-TRAV-00064,ORD-TRAV-EX-00064,"₹76,525.00",2026-08-14,Client_TRAV_64,paid
INV-TRAV-00065,ORD-TRAV-EX-00065,"₹77,700.00",2026-08-15,Client_TRAV_65,paid
