invoice_id,order_id,amount,invoice_date,customer_name,status
INV-0001,ORD-2026-EX-0001,1000.00,2026-08-01,Customer_1,paid
INV-0002,ORD-2026-EX-0002,1125.50,2026-08-02,Customer_2,paid
INV-0003,ORD-2026-EX-0003,1251.00,2026-08-03,Customer_3,paid
INV-0004,ORD-2026-EX-0004,1376.50,2026-08-04,Customer_4,paid
INV-0005,ORD-2026-EX-0005,1502.00,2026-08-05,Customer_5,paid
INV-0006,ORD-2026-EX-0006,1627.50,2026-08-06,Customer_6,paid
INV-0007,ORD-2026-EX-0007,1753.00,2026-08-07,Customer_7,paid
INV-0008,ORD-2026-EX-0008,1878.50,2026-08-08,Customer_8,paid
INV-0009,ORD-2026-EX-0009,2004.00,2026-08-09,Customer_9,paid
INV-0010,ORD-2026-EX-0010,2129.50,2026-08-10,Customer_10,paid
INV-0011,ORD-2026-EX-0011,2255.00,2026-08-11,Customer_11,paid
INV-0012,ORD-2026-EX-0012,2380.50,2026-08-12,Customer_12,paid
INV-0013,ORD-2026-EX-0013,2506.00,2026-08-13,Customer_13,paid
INV-0014,ORD-2026-EX-0014,2631.50,2026-08-14,Customer_14,paid
INV-0015,ORD-2026-EX-0015,2757.00,2026-08-15,Customer_15,paid
INV-0016,ORD-2026-EX-0016,2882.50,2026-08-01,Customer_16,paid
INV-0017,ORD-2026-EX-0017,3008.00,2026-08-02,Customer_17,paid
INV-0018,ORD-2026-EX-0018,3133.50,2026-08-03,Customer_18,paid
INV-0019,ORD-2026-EX-0019,3259.00,2026-08-04,Customer_19,paid
INV-0020,ORD-2026-EX-0020,3384.50,2026-08-05,Customer_20,paid
INV-0021,ORD-2026-EX-0021,3510.00,2026-08-06,Customer_21,paid
INV-0022,ORD-2026-EX-0022,3635.50,2026-08-07,Customer_22,paid
INV-0023,ORD-2026-EX-0023,3761.00,2026-08-08,Customer_23,paid
INV-0024,ORD-2026-EX-0024,3886.50,2026-08-09,Customer_24,paid
INV-0025,ORD-2026-EX-0025,4012.00,2026-08-10,Customer_25,paid
INV-0026,ORD-2026-EX-0026,4137.50,2026-08-11,Customer_26,paid
INV-0027,ORD-2026-EX-0027,4263.00,2026-08-12,Customer_27,paid
INV-0028,ORD-2026-EX-0028,4388.50,2026-08-13,Customer_28,paid
INV-0029,ORD-2026-EX-0029,4514.00,2026-08-14,Customer_29,paid
INV-0030,ORD-2026-EX-0030,4639.50,2026-08-15,Customer_30,paid
INV-0031,ORD-2026-EX-0031,4765.00,2026-08-01,Customer_31,paid
INV-0032,ORD-2026-EX-0032,4890.50,2026-08-02,Customer_32,paid
INV-0033,ORD-2026-EX-0033,5016.00,2026-08-03,Customer_33,paid
INV-0034,ORD-2026-EX-0034,5141.50,2026-08-04,Customer_34,paid
INV-0035,ORD-2026-EX-0035,5267.00,2026-08-05,Customer_35,paid
INV-0036,ORD-2026-EX-0036,5392.50,2026-08-06,Customer_36,paid
INV-0037,ORD-2026-EX-0037,5518.00,2026-08-07,Customer_37,paid
INV-0038,ORD-2026-EX-0038,5643.50,2026-08-08,Customer_38,paid
INV-0039,ORD-2026-EX-0039,5769.00,2026-08-09,Customer_39,paid
INV-0040,ORD-2026-EX-0040,5894.50,2026-08-10,Customer_40,paid
INV-0041,ORD-2026-EX-0041,6020.00,2026-08-11,Customer_41,paid
INV-0042,ORD-2026-EX-0042,6145.50,2026-08-12,Customer_42,paid
INV-0043,ORD-2026-EX-0043,6271.00,2026-08-13,Customer_43,paid
INV-0044,ORD-2026-EX-0044,6396.50,2026-08-14,Customer_44,paid
INV-0045,ORD-2026-EX-0045,6522.00,2026-08-15,Customer_45,paid
INV-0046,ORD-2026-EX-0046,6647.50,2026-08-01,Customer_46,paid
INV-0047,ORD-2026-EX-0047,6773.00,2026-08-02,Customer_47,paid
INV-0048,ORD-2026-EX-0048,6898.50,2026-08-03,Customer_48,paid
INV-0049,ORD-2026-EX-0049,7024.00,2026-08-04,Customer_49,paid
INV-0050,ORD-2026-EX-0050,7149.50,2026-08-05,Customer_50,paid
INV-0051,ORD-2026-EX-0051,7275.00,2026-08-06,Customer_51,paid
INV-0052,ORD-2026-EX-0052,7400.50,2026-08-07,Customer_52,paid
INV-0053,ORD-2026-EX-0053,7526.00,2026-08-08,Customer_53,paid
INV-0054,ORD-2026-EX-0054,7651.50,2026-08-09,Customer_54,paid
INV-0055,ORD-2026-EX-0055,7777.00,2026-08-10,Customer_55,paid
INV-0056,ORD-2026-EX-0056,7902.50,2026-08-11,Customer_56,paid
INV-0057,ORD-2026-EX-0057,8028.00,2026-08-12,Customer_57,paid
INV-0058,ORD-2026-EX-0058,8153.50,2026-08-13,Customer_58,paid
INV-0059,ORD-2026-EX-0059,8279.00,2026-08-14,Customer_59,paid
INV-0060,ORD-2026-EX-0060,8404.50,2026-08-15,Customer_60,paid
INV-0061,ORD-2026-EX-0061,8530.00,2026-08-01,Customer_61,paid
INV-0062,ORD-2026-EX-0062,8655.50,2026-08-02,Customer_62,paid
INV-0063,ORD-2026-EX-0063,8781.00,2026-08-03,Customer_63,paid
INV-0064,ORD-2026-EX-0064,8906.50,2026-08-04,Customer_64,paid
INV-0065,ORD-2026-EX-0065,9032.00,2026-08-05,Customer_65,paid
INV-0066,ORD-2026-EX-0066,9157.50,2026-08-06,Customer_66,paid
INV-0067,ORD-2026-EX-0067,9283.00,2026-08-07,Customer_67,paid
INV-0068,ORD-2026-EX-0068,9408.50,2026-08-08,Customer_68,paid
INV-0069,ORD-2026-EX-0069,9534.00,2026-08-09,Customer_69,paid
INV-0070,ORD-2026-EX-0070,9659.50,2026-08-10,Customer_70,paid
INV-0071,ORD-2026-FEE-0071,5000.00,2026-08-01,Customer_71,paid
INV-0072,ORD-2026-FEE-0072,5300.00,2026-08-02,Customer_72,paid
INV-0073,ORD-2026-FEE-0073,5600.00,2026-08-03,Customer_73,paid
INV-0074,ORD-2026-FEE-0074,5900.00,2026-08-04,Customer_74,paid
INV-0075,ORD-2026-FEE-0075,6200.00,2026-08-05,Customer_75,paid
INV-0076,ORD-2026-FEE-0076,6500.00,2026-08-06,Customer_76,paid
INV-0077,ORD-2026-FEE-0077,6800.00,2026-08-07,Customer_77,paid
INV-0078,ORD-2026-FEE-0078,7100.00,2026-08-08,Customer_78,paid
INV-0079,ORD-2026-GST-0079,8000.00,2026-08-01,Customer_79,paid
INV-0080,ORD-2026-GST-0080,8450.00,2026-08-02,Customer_80,paid
INV-0081,ORD-2026-GST-0081,8900.00,2026-08-03,Customer_81,paid
INV-0082,ORD-2026-GST-0082,9350.00,2026-08-04,Customer_82,paid
INV-0083,ORD-2026-GST-0083,9800.00,2026-08-05,Customer_83,paid
INV-0084,ORD-2026-TDS-0084,15000.00,2026-08-01,Customer_84,paid
INV-0085,ORD-2026-TDS-0085,16000.00,2026-08-02,Customer_85,paid
INV-0086,ORD-2026-TDS-0086,17000.00,2026-08-03,Customer_86,paid
INV-0087,ORD-2026-AI-0087,12000.00,2026-08-03,Customer_87,paid
INV-0088,ORD-2026-AI-0088,25000.00,2026-08-03,Customer_88,paid
INV-0089,ORD-2026-AI-0089,18500.00,2026-08-03,Customer_89,paid
INV-0090,ORD-2026-AI-0090,32000.00,2026-08-03,Customer_90,paid
INV-0091,ORD-2026-AI-0091,14200.00,2026-08-03,Customer_91,paid
INV-0092,ORD-2026-AI-0092,21000.00,2026-08-03,Customer_92,paid
INV-0093,ORD-2026-DELAY-0093,9500.00,2026-08-13,Customer_93,pending_settlement
INV-0094,ORD-2026-DELAY-0094,10000.00,2026-08-13,Customer_94,pending_settlement
INV-0095,ORD-2026-REF-0095,3200.00,2026-08-09,Customer_95,refunded
INV-0096,ORD-2026-REF-0096,3600.00,2026-08-09,Customer_96,refunded
INV-0097,ORD-2026-DUP-0097,6800.00,2026-08-06,Customer_97_DUP,paid
INV-0098,ORD-2026-DUP-0097,6800.00,2026-08-06,Customer_98_DUP,paid
INV-0099,ORD-2026-MISS-0099,11000.00,2026-08-04,Customer_99,paid
INV-0100,ORD-2026-UNK-0100,7777.00,2026-08-11,Customer_100_UNKNOWN,paid
