invoice_number,order_number,gross_amount,created_date,buyer_name,status
INV-MARK-00001,ORD-MARK-EX-00001,₹800.00,01/08/2026,Client_MARK_1,paid
INV-MARK-00002,ORD-MARK-EX-00002,"₹1,242.00",02/08/2026,Client_MARK_2,paid
INV-MARK-00003,ORD-MARK-EX-00003,"₹1,684.00",03/08/2026,Client_MARK_3,paid
INV-MARK-00004,ORD-MARK-EX-00004,"₹2,126.00",04/08/2026,Client_MARK_4,paid
INV-MARK-00005,ORD-MARK-EX-00005,"₹2,568.00",05/08/2026,Client_MARK_5,paid
INV-MARK-00006,ORD-MARK-EX-00006,"₹3,010.00",06/08/2026,Client_MARK_6,paid
INV-MARK-00007,ORD-MARK-EX-00007,"₹3,452.00",07/08/2026,Client_MARK_7,paid
INV-MARK-00008,ORD-MARK-EX-00008,"₹3,894.00",08/08/2026,Client_MARK_8,paid
INV-MARK-00009,ORD-MARK-EX-00009,"₹4,336.00",09/08/2026,Client_MARK_9,paid
INV-MARK-00010,ORD-MARK-EX-00010,"₹4,778.00",10/08/2026,Client_MARK_10,paid
INV-MARK-00011,ORD-MARK-EX-00011,"₹5,220.00",11/08/2026,Client_MARK_11,paid
INV-MARK-00012,ORD-MARK-EX-00012,"₹5,662.00",12/08/2026,Client_MARK_12,paid
INV-MARK-00013,ORD-MARK-EX-00013,"₹6,104.00",13/08/2026,Client_MARK_13,paid
INV-MARK-00014,ORD-MARK-EX-00014,"₹6,546.00",14/08/2026,Client_MARK_14,paid
INV-MARK-00015,ORD-MARK-EX-00015,"₹6,988.00",15/08/2026,Client_MARK_15,paid
INV-MARK-00016,ORD-MARK-EX-00016,"₹7,430.00",16/08/2026,Client_MARK_16,paid
INV-MARK-00017,ORD-MARK-EX-00017,"₹7,872.00",17/08/2026,Client_MARK_17,paid
INV-MARK-00018,ORD-MARK-EX-00018,"₹8,314.00",18/08/2026,Client_MARK_18,paid
INV-MARK-00019,ORD-MARK-EX-00019,"₹8,756.00",19/08/2026,Client_MARK_19,paid
INV-MARK-00020,ORD-MARK-EX-00020,"₹9,198.00",20/08/2026,Client_MARK_20,paid
INV-MARK-00021,ORD-MARK-EX-00021,"₹9,640.00",21/08/2026,Client_MARK_21,paid
INV-MARK-00022,ORD-MARK-EX-00022,"₹10,082.00",22/08/2026,Client_MARK_22,paid
INV-MARK-00023,ORD-MARK-EX-00023,"₹10,524.00",23/08/2026,Client_MARK_23,paid
INV-MARK-00024,ORD-MARK-EX-00024,"₹10,966.00",24/08/2026,Client_MARK_24,paid
INV-MARK-00025,ORD-MARK-EX-00025,"₹11,408.00",25/08/2026,Client_MARK_25,paid
INV-MARK-00026,ORD-MARK-EX-00026,"₹11,850.00",01/08/2026,Client_MARK_26,paid
INV-MARK-00027,ORD-MARK-EX-00027,"₹12,292.00",02/08/2026,Client_MARK_27,paid
INV-MARK-00028,ORD-MARK-EX-00028,"₹12,734.00",03/08/2026,Client_MARK_28,paid
INV-MARK-00029,ORD-MARK-EX-00029,"₹13,176.00",04/08/2026,Client_MARK_29,paid
INV-MARK-00030,ORD-MARK-EX-00030,"₹13,618.00",05/08/2026,Client_MARK_30,paid
INV-MARK-00031,ORD-MARK-EX-00031,"₹14,060.00",06/08/2026,Client_MARK_31,paid
INV-MARK-00032,ORD-MARK-EX-00032,"₹14,502.00",07/08/2026,Client_MARK_32,paid
INV-MARK-00033,ORD-MARK-EX-00033,"₹14,944.00",08/08/2026,Client_MARK_33,paid
INV-MARK-00034,ORD-MARK-EX-00034,"₹15,386.00",09/08/2026,Client_MARK_34,paid
INV-MARK-00035,ORD-MARK-EX-00035,"₹15,828.00",10/08/2026,Client_MARK_35,paid
INV-MARK-00036,ORD-MARK-EX-00036,"₹16,270.00",11/08/2026,Client_MARK_36,paid
INV-MARK-00037,ORD-MARK-EX-00037,"₹16,712.00",12/08/2026,Client_MARK_37,paid
INV-MARK-00038,ORD-MARK-EX-00038,"₹17,154.00",13/08/2026,Client_MARK_38,paid
INV-MARK-00039,ORD-MARK-EX-00039,"₹17,596.00",14/08/2026,Client_MARK_39,paid
INV-MARK-00040,ORD-MARK-EX-00040,"₹18,038.00",15/08/2026,Client_MARK_40,paid
INV-MARK-00041,ORD-MARK-EX-00041,"₹18,480.00",16/08/2026,Client_MARK_41,paid
INV-MARK-00042,ORD-MARK-EX-00042,"₹18,922.00",17/08/2026,Client_MARK_42,paid
INV-MARK-00043,ORD-MARK-EX-00043,"₹19,364.00",18/08/2026,Client_MARK_43,paid
INV-MARK-00044,ORD-MARK-EX-00044,"₹19,806.00",19/08/2026,Client_MARK_44,paid
INV-MARK-00045,ORD-MARK-EX-00045,"₹20,248.00",20/08/2026,Client_MARK_45,paid
INV-MARK-00046,ORD-MARK-EX-00046,"₹20,690.00",21/08/2026,Client_MARK_46,paid
INV-MARK-00047,ORD-MARK-EX-00047,"₹21,132.00",22/08/2026,Client_MARK_47,paid
INV-MARK-00048,ORD-MARK-EX-00048,"₹21,574.00",23/08/2026,Client_MARK_48,paid
INV-MARK-00049,ORD-MARK-EX-00049,"₹22,016.00",24/08/2026,Client_MARK_49,paid
INV-MARK-00050,ORD-MARK-EX-00050,"₹22,458.00",25/08/2026,Client_MARK_50,paid
INV-MARK-00051,ORD-MARK-EX-00051,"₹22,900.00",01/08/2026,Client_MARK_51,paid
INV-MARK-00052,ORD-MARK-EX-00052,"₹23,342.00",02/08/2026,Client_MARK_52,paid
INV-MARK-00053,ORD-MARK-EX-00053,"₹23,784.00",03/08/2026,Client_MARK_53,paid
INV-MARK-00054,ORD-MARK-EX-00054,"₹24,226.00",04/08/2026,Client_MARK_54,paid
INV-MARK-00055,ORD-MARK-EX-00055,"₹24,668.00",05/08/2026,Client_MARK_55,paid
INV-MARK-00056,ORD-MARK-EX-00056,"₹25,110.00",06/08/2026,Client_MARK_56,paid
INV-MARK-00057,ORD-MARK-EX-00057,"₹25,552.00",07/08/2026,Client_MARK_57,paid
INV-MARK-00058,ORD-MARK-EX-00058,"₹25,994.00",08/08/2026,Client_MARK_58,paid
INV-MARK-00059,ORD-MARK-EX-00059,"₹26,436.00",09/08/2026,Client_MARK_59,paid
