bill_id,order_id,final_amount,invoice_date,customer_name,status
INV-RETA-00001,ORD-RETA-EX-00001,450.00,2026-08-01,Client_RETA_1,paid
INV-RETA-00002,ORD-RETA-EX-00002,765.50,2026-08-02,Client_RETA_2,paid
INV-RETA-00003,ORD-RETA-EX-00003,1081.00,2026-08-03,Client_RETA_3,paid
INV-RETA-00004,ORD-RETA-EX-00004,1396.50,2026-08-04,Client_RETA_4,paid
INV-RETA-00005,ORD-RETA-EX-00005,1712.00,2026-08-05,Client_RETA_5,paid
INV-RETA-00006,ORD-RETA-EX-00006,2027.50,2026-08-06,Client_RETA_6,paid
INV-RETA-00007,ORD-RETA-EX-00007,2343.00,2026-08-07,Client_RETA_7,paid
INV-RETA-00008,ORD-RETA-EX-00008,2658.50,2026-08-08,Client_RETA_8,paid
INV-RETA-00009,ORD-RETA-EX-00009,2974.00,2026-08-09,Client_RETA_9,paid
INV-RETA-00010,ORD-RETA-EX-00010,3289.50,2026-08-10,Client_RETA_10,paid
INV-RETA-00011,ORD-RETA-EX-00011,3605.00,2026-08-11,Client_RETA_11,paid
INV-RETA-00012,ORD-RETA-EX-00012,3920.50,2026-08-12,Client_RETA_12,paid
INV-RETA-00013,ORD-RETA-EX-00013,4236.00,2026-08-13,Client_RETA_13,paid
INV-RETA-00014,ORD-RETA-EX-00014,4551.50,2026-08-14,Client_RETA_14,paid
INV-RETA-00015,ORD-RETA-EX-00015,4867.00,2026-08-15,Client_RETA_15,paid
INV-RETA-00016,ORD-RETA-EX-00016,5182.50,2026-08-16,Client_RETA_16,paid
INV-RETA-00017,ORD-RETA-EX-00017,5498.00,2026-08-17,Client_RETA_17,paid
INV-RETA-00018,ORD-RETA-EX-00018,5813.50,2026-08-18,Client_RETA_18,paid
INV-RETA-00019,ORD-RETA-EX-00019,6129.00,2026-08-19,Client_RETA_19,paid
INV-RETA-00020,ORD-RETA-EX-00020,6444.50,2026-08-20,Client_RETA_20,paid
INV-RETA-00021,ORD-RETA-EX-00021,6760.00,2026-08-21,Client_RETA_21,paid
INV-RETA-00022,ORD-RETA-EX-00022,7075.50,2026-08-22,Client_RETA_22,paid
INV-RETA-00023,ORD-RETA-EX-00023,7391.00,2026-08-23,Client_RETA_23,paid
INV-RETA-00024,ORD-RETA-EX-00024,7706.50,2026-08-24,Client_RETA_24,paid
INV-RETA-00025,ORD-RETA-EX-00025,8022.00,2026-08-25,Client_RETA_25,paid
INV-RETA-00026,ORD-RETA-EX-00026,8337.50,2026-08-01,Client_RETA_26,paid
INV-RETA-00027,ORD-RETA-EX-00027,8653.00,2026-08-02,Client_RETA_27,paid
INV-RETA-00028,ORD-RETA-EX-00028,8968.50,2026-08-03,Client_RETA_28,paid
INV-RETA-00029,ORD-RETA-EX-00029,9284.00,2026-08-04,Client_RETA_29,paid
INV-RETA-00030,ORD-RETA-EX-00030,9599.50,2026-08-05,Client_RETA_30,paid
INV-RETA-00031,ORD-RETA-EX-00031,9915.00,2026-08-06,Client_RETA_31,paid
INV-RETA-00032,ORD-RETA-EX-00032,10230.50,2026-08-07,Client_RETA_32,paid
INV-RETA-00033,ORD-RETA-EX-00033,10546.00,2026-08-08,Client_RETA_33,paid
INV-RETA-00034,ORD-RETA-EX-00034,10861.50,2026-08-09,Client_RETA_34,paid
