settlement_id,booking_id,net_settlement,payout_date,utr_number,status,convenience_fee,gst_deduction,tds_amount
SET-TRAV-00001,ORD-TRAV-EX-00001,"₹2,500.00",2026-08-04,UTRTRAV2026080000001,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00002,ORD-TRAV-EX-00002,"₹3,675.00",2026-08-05,UTRTRAV2026080000002,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00003,ORD-TRAV-EX-00003,"₹4,850.00",2026-08-06,UTRTRAV2026080000003,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00004,ORD-TRAV-EX-00004,"₹6,025.00",2026-08-07,UTRTRAV2026080000004,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00005,ORD-TRAV-EX-00005,"₹7,200.00",2026-08-08,UTRTRAV2026080000005,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00006,ORD-TRAV-EX-00006,"₹8,375.00",2026-08-09,UTRTRAV2026080000006,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00007,ORD-TRAV-EX-00007,"₹9,550.00",2026-08-10,UTRTRAV2026080000007,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00008,ORD-TRAV-EX-00008,"₹10,725.00",2026-08-11,UTRTRAV2026080000008,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00009,ORD-TRAV-EX-00009,"₹11,900.00",2026-08-12,UTRTRAV2026080000009,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00010,ORD-TRAV-EX-00010,"₹13,075.00",2026-08-13,UTRTRAV2026080000010,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00011,ORD-TRAV-EX-00011,"₹14,250.00",2026-08-14,UTRTRAV2026080000011,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00012,ORD-TRAV-EX-00012,"₹15,425.00",2026-08-15,UTRTRAV2026080000012,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00013,ORD-TRAV-EX-00013,"₹16,600.00",2026-08-16,UTRTRAV2026080000013,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00014,ORD-TRAV-EX-00014,"₹17,775.00",2026-08-17,UTRTRAV2026080000014,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00015,ORD-TRAV-EX-00015,"₹18,950.00",2026-08-18,UTRTRAV2026080000015,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00016,ORD-TRAV-EX-00016,"₹20,125.00",2026-08-19,UTRTRAV2026080000016,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00017,ORD-TRAV-EX-00017,"₹21,300.00",2026-08-20,UTRTRAV2026080000017,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00018,ORD-TRAV-EX-00018,"₹22,475.00",2026-08-21,UTRTRAV2026080000018,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00019,ORD-TRAV-EX-00019,"₹23,650.00",2026-08-22,UTRTRAV2026080000019,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00020,ORD-TRAV-EX-00020,"₹24,825.00",2026-08-23,UTRTRAV2026080000020,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00021,ORD-TRAV-EX-00021,"₹26,000.00",2026-08-24,UTRTRAV2026080000021,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00022,ORD-TRAV-EX-00022,"₹27,175.00",2026-08-25,UTRTRAV2026080000022,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00023,ORD-TRAV-EX-00023,"₹28,350.00",2026-08-26,UTRTRAV2026080000023,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00024,ORD-TRAV-EX-00024,"₹29,525.00",2026-08-27,UTRTRAV2026080000024,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00025,ORD-TRAV-EX-00025,"₹30,700.00",2026-08-28,UTRTRAV2026080000025,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00026,ORD-TRAV-EX-00026,"₹31,875.00",2026-08-04,UTRTRAV2026080000026,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00027,ORD-TRAV-EX-00027,"₹33,050.00",2026-08-05,UTRTRAV2026080000027,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00028,ORD-TRAV-EX-00028,"₹34,225.00",2026-08-06,UTRTRAV2026080000028,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00029,ORD-TRAV-EX-00029,"₹35,400.00",2026-08-07,UTRTRAV2026080000029,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00030,ORD-TRAV-EX-00030,"₹36,575.00",2026-08-08,UTRTRAV2026080000030,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00031,ORD-TRAV-EX-00031,"₹37,750.00",2026-08-09,UTRTRAV2026080000031,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00032,ORD-TRAV-EX-00032,"₹38,925.00",2026-08-10,UTRTRAV2026080000032,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00033,ORD-TRAV-EX-00033,"₹40,100.00",2026-08-11,UTRTRAV2026080000033,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00034,ORD-TRAV-EX-00034,"₹41,275.00",2026-08-12,UTRTRAV2026080000034,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00035,ORD-TRAV-EX-00035,"₹42,450.00",2026-08-13,UTRTRAV2026080000035,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00036,ORD-TRAV-EX-00036,"₹43,625.00",2026-08-14,UTRTRAV2026080000036,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00037,ORD-TRAV-EX-00037,"₹44,800.00",2026-08-15,UTRTRAV2026080000037,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00038,ORD-TRAV-EX-00038,"₹45,975.00",2026-08-16,UTRTRAV2026080000038,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00039,ORD-TRAV-EX-00039,"₹47,150.00",2026-08-17,UTRTRAV2026080000039,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00040,ORD-TRAV-EX-00040,"₹48,325.00",2026-08-18,UTRTRAV2026080000040,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00041,ORD-TRAV-EX-00041,"₹49,500.00",2026-08-19,UTRTRAV2026080000041,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00042,ORD-TRAV-EX-00042,"₹50,675.00",2026-08-20,UTRTRAV2026080000042,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00043,ORD-TRAV-EX-00043,"₹51,850.00",2026-08-21,UTRTRAV2026080000043,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00044,ORD-TRAV-EX-00044,"₹53,025.00",2026-08-22,UTRTRAV2026080000044,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00045,ORD-TRAV-EX-00045,"₹54,200.00",2026-08-23,UTRTRAV2026080000045,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00046,ORD-TRAV-EX-00046,"₹55,375.00",2026-08-24,UTRTRAV2026080000046,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00047,ORD-TRAV-EX-00047,"₹56,550.00",2026-08-25,UTRTRAV2026080000047,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00048,ORD-TRAV-EX-00048,"₹57,725.00",2026-08-26,UTRTRAV2026080000048,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00049,ORD-TRAV-EX-00049,"₹58,900.00",2026-08-27,UTRTRAV2026080000049,settled,₹0.00,₹0.00,₹0.00
SET-TRAV-00050,ORD-TRAV-EX-00050,"₹60,075.00",2026-08-28,UTRTRAV2026080000050,settled,₹0.00,₹0.00,₹0.00
