settlement_id,order_id,amount,settlement_date,reference_number,status,fees,gst,tds
SET-0001,ORD-2026-EX-0001,1000.00,2026-08-02,UTR202608000001,settled,0.00,0.00,0.00
SET-0002,ORD-2026-EX-0002,1125.50,2026-08-03,UTR202608000002,settled,0.00,0.00,0.00
SET-0003,ORD-2026-EX-0003,1251.00,2026-08-04,UTR202608000003,settled,0.00,0.00,0.00
SET-0004,ORD-2026-EX-0004,1376.50,2026-08-05,UTR202608000004,settled,0.00,0.00,0.00
SET-0005,ORD-2026-EX-0005,1502.00,2026-08-06,UTR202608000005,settled,0.00,0.00,0.00
SET-0006,ORD-2026-EX-0006,1627.50,2026-08-07,UTR202608000006,settled,0.00,0.00,0.00
SET-0007,ORD-2026-EX-0007,1753.00,2026-08-08,UTR202608000007,settled,0.00,0.00,0.00
SET-0008,ORD-2026-EX-0008,1878.50,2026-08-09,UTR202608000008,settled,0.00,0.00,0.00
SET-0009,ORD-2026-EX-0009,2004.00,2026-08-10,UTR202608000009,settled,0.00,0.00,0.00
SET-0010,ORD-2026-EX-0010,2129.50,2026-08-11,UTR202608000010,settled,0.00,0.00,0.00
SET-0011,ORD-2026-EX-0011,2255.00,2026-08-12,UTR202608000011,settled,0.00,0.00,0.00
SET-0012,ORD-2026-EX-0012,2380.50,2026-08-13,UTR202608000012,settled,0.00,0.00,0.00
SET-0013,ORD-2026-EX-0013,2506.00,2026-08-14,UTR202608000013,settled,0.00,0.00,0.00
SET-0014,ORD-2026-EX-0014,2631.50,2026-08-15,UTR202608000014,settled,0.00,0.00,0.00
SET-0015,ORD-2026-EX-0015,2757.00,2026-08-16,UTR202608000015,settled,0.00,0.00,0.00
SET-0016,ORD-2026-EX-0016,2882.50,2026-08-02,UTR202608000016,settled,0.00,0.00,0.00
SET-0017,ORD-2026-EX-0017,3008.00,2026-08-03,UTR202608000017,settled,0.00,0.00,0.00
SET-0018,ORD-2026-EX-0018,3133.50,2026-08-04,UTR202608000018,settled,0.00,0.00,0.00
SET-0019,ORD-2026-EX-0019,3259.00,2026-08-05,UTR202608000019,settled,0.00,0.00,0.00
SET-0020,ORD-2026-EX-0020,3384.50,2026-08-06,UTR202608000020,settled,0.00,0.00,0.00
SET-0021,ORD-2026-EX-0021,3510.00,2026-08-07,UTR202608000021,settled,0.00,0.00,0.00
SET-0022,ORD-2026-EX-0022,3635.50,2026-08-08,UTR202608000022,settled,0.00,0.00,0.00
SET-0023,ORD-2026-EX-0023,3761.00,2026-08-09,UTR202608000023,settled,0.00,0.00,0.00
SET-0024,ORD-2026-EX-0024,3886.50,2026-08-10,UTR202608000024,settled,0.00,0.00,0.00
SET-0025,ORD-2026-EX-0025,4012.00,2026-08-11,UTR202608000025,settled,0.00,0.00,0.00
SET-0026,ORD-2026-EX-0026,4137.50,2026-08-12,UTR202608000026,settled,0.00,0.00,0.00
SET-0027,ORD-2026-EX-0027,4263.00,2026-08-13,UTR202608000027,settled,0.00,0.00,0.00
SET-0028,ORD-2026-EX-0028,4388.50,2026-08-14,UTR202608000028,settled,0.00,0.00,0.00
SET-0029,ORD-2026-EX-0029,4514.00,2026-08-15,UTR202608000029,settled,0.00,0.00,0.00
SET-0030,ORD-2026-EX-0030,4639.50,2026-08-16,UTR202608000030,settled,0.00,0.00,0.00
SET-0031,ORD-2026-EX-0031,4765.00,2026-08-02,UTR202608000031,settled,0.00,0.00,0.00
